"item_id","note","crystal_count"
"20267","精神のアミュレット ","1000"
"20268","体力のアミュレット ","1000"
"20281","変身 コントロール リング ","100000"
"20284","サモンコントロール リング ","8000"
"20285","ウォーター リング ","250"
"20288","テレポート コントロール リング ","200000"
"20289","アビス リング ","10000"
"20293","呪われたダイアモンド リング ","2000"
"20294","呪われたルビー リング ","2000"
"20295","呪われたサファイア リング ","2000"
"20296","呪われたエメラルド リング ","2000"
"20300","アース リング ","250"
"20302","ウィンド リング ","250"
"20303","マジック レジスト リング ","200"
"20304","ファイアー リング ","250"
"20306","マイナー ボディ ベルト","1500"
"20307","マイナー ソウル ベルト","1500"
"20308","マイナー マインド ベルト","1500"
"20309","シャイニング ボディ ベルト ","1000"
"20310","シャイニング ソウル ベルト ","1000"
"20311","シャイニング マインド ベルト ","1000"
"20312","ボディ ベルト ","3000"
"20313","ダーク ベルト ","1000"
"20316","ソウル ベルト ","3000"
"20317","オーガ ベルト ","3000"
"20319","マインド ベルト ","3000"
"20321","トロール ベルト ","3000"
"20412","苦悩のアミュレット ","1000"
"40001","ランプ","1"
"40002","ランタン","7"
"40006","異界のコール ライトニング ワンド","2"
"40007","コール ライトニング ワンド","2"
"40008","変身バー","2"
"40010","レッド ポーション","3"
"40011","オレンジ ポーション","25"
"40012","クリアー ポーション","37"
"40013","ヘイスト ポーション","20"
"40014","ブレイブ ポーション","80"
"40015","魔力回復 ポーション","100"
"40016","ウィズダム ポーション","60"
"40017","シアン ポーション","7"
"40018","強化 ヘイスト ポーション","150"
"40019","濃縮体力回復剤","4"
"40020","濃縮高級体力回復剤","25"
"40021","濃縮強力体力回復剤","56"
"40022","迅速体力回復剤","5"
"40023","迅速高級体力回復剤","31"
"40024","迅速強力体力回復剤","62"
"40041","マーメイドの鱗","20"
"40044","ダイアモンド","50"
"40045","ルビー","50"
"40046","サファイア","50"
"40047","エメラルド","50"
"40048","高級 ダイアモンド","100"
"40049","高級 ルビー","100"
"40050","高級 サファイア","100"
"40051","高級 エメラルド","100"
"40053","最高級 ルビー","115"
"40054","最高級 サファイア","100"
"40055","最高級 エメラルド","107"
"40068","エルヴン ワッフル","50"
"40074","防具強化スクロール","3100"
"40079","帰還スクロール","9"
"40087","武器強化スクロール","7500"
"40088","変身スクロール","130"
"40089","復活スクロール","150"
"40090","ブランク スクロール(Lv1)","10"
"40091","ブランク スクロール(Lv2)","40"
"40092","ブランク スクロール(Lv3)","100"
"40093","ブランク スクロール(Lv4)","180"
"40094","ブランク スクロール(Lv5)","500"
"40100","テレポート スクロール","7"
"40104","","20"
"40105","","20"
"40106","","20"
"40107","","20"
"40108","","20"
"40109","","20"
"40110","","20"
"40111","","20"
"40112","","20"
"40119","解呪スクロール","11"
"40126","確認スクロール","6"
"40163","ゴールデン キー","1"
"40164","技術書(ショック スタン)","1000"
"40170","魔法書(ファイアー ボール)","160"
"40171","魔法書(フィジカル エンチャント：DEX)","160"
"40172","魔法書(ウェポン ブレイク)","160"
"40173","魔法書(バンパイアリック タッチ)","160"
"40174","魔法書(スロー)","160"
"40175","魔法書(カウンター マジック)","160"
"40176","魔法書(メディテーション)","160"
"40177","魔法書(アース ジェイル)","160"
"40178","魔法書(カーズ パラライズ)","180"
"40179","魔法書(コール ライトニング)","180"
"40180","魔法書(グレーター ヒール)","180"
"40181","魔法書(テイミング モンスター)","180"
"40182","魔法書(リムーブ カーズ)","180"
"40183","魔法書(コーン オブ コールド)","180"
"40184","魔法書(マナ ドレイン)","180"
"40185","魔法書(ダークネス)","180"
"40186","魔法書(クリエイト ゾンビ)","200"
"40187","魔法書(フィジカル エンチャント：STR)","200"
"40188","魔法書(ヘイスト)","200"
"40189","魔法書(キャンセレーション)","200"
"40190","魔法書(イラプション)","200"
"40191","魔法書(サン バースト)","200"
"40192","魔法書(ウィークネス)","200"
"40193","魔法書(ブレス ウェポン)","200"
"40210","魔法書(ライトニング ストーム)","280"
"40211","魔法書(フォグ オブ スリーピング)","280"
"40212","魔法書(シェイプ チェンジ)","280"
"40213","魔法書(イミューン トゥ ハーム)","280"
"40214","魔法書(マス テレポート)","280"
"40215","魔法書(ファイアー ストーム)","280"
"40216","魔法書(ディケイポーション)","280"
"40217","魔法書(カウンター ディテクション)","280"
"40218","魔法書(クリエイト マジカル ウェポン)","280"
"40219","魔法書(メテオ ストライク)","280"
"40220","魔法書(グレーター リザレクション)","280"
"40221","魔法書(グレーター スロー)","280"
"40222","\aE魔法書(ディスインテグレート)","280"
"40223","魔法書(アブソルートバリア)","280"
"40224","魔法書(アドバンスド スピリッツ)","280"
"40225","魔法書(アイス スパイク)","280"
"40232","精霊の水晶(レジスト マジック)","100"
"40233","精霊の水晶(ボディ トゥ マインド)","100"
"40234","精霊の水晶(テレポート トゥ マザー)","100"
"40235","精霊の水晶(クリアー マインド)","200"
"40236","精霊の水晶(レジスト エレメント)","200"
"40237","精霊の水晶(リターン トゥ ネイチャー)","300"
"40238","精霊の水晶(ブラッディ ソウル)","300"
"40239","精霊の水晶(エレメンタル プロテクション)","300"
"40240","精霊の水晶(トリプル アロー)","300"
"40241","精霊の水晶(エレメンタル フォールダウン)","500"
"40242","精霊の水晶(イレース マジック)","500"
"40243","精霊の水晶(サモン レッサー エレメンタル)","500"
"40244","精霊の水晶(エリア サイレンス)","700"
"40245","精霊の水晶(グレーター エレメンタル)","700"
"40246","精霊の水晶(カウンター ミラー)","700"
"40247","精霊の水晶(アース スキン)","300"
"40248","精霊の水晶(エンタングル)","300"
"40249","精霊の水晶(アース バインド)","500"
"40250","精霊の水晶(アース ガーディアン)","500"
"40251","精霊の水晶(アイアン スキン)","700"
"40252","精霊の水晶(エキゾチック バイタライズ)","700"
"40253","精霊の水晶(ウォーター ライフ)","300"
"40254","精霊の水晶(ネイチャーズ タッチ)","500"
"40255","精霊の水晶(ネイチャーズ ブレッシング)","700"
"40256","精霊の水晶(ファイアー ウェポン)","300"
"40257","精霊の水晶(ダンシングブレイズ)","500"
"40258","精霊の水晶(バーニング ウェポン)","700"
"40259","精霊の水晶(エレメンタル ファイアー)","700"
"40260","精霊の水晶(ウィンド ショット)","300"
"40261","精霊の水晶(ウィンド ウォーク)","300"
"40262","精霊の水晶(ストーム アイ)","500"
"40263","精霊の水晶(ストーム ショット)","700"
"40264","精霊の水晶(ウィンド シャックル)","700"
"40265","闇精霊の水晶(ブラインド ハイディング)","50"
"40266","闇精霊の水晶(エンチャント ベノム)","50"
"40267","闇精霊の水晶(シャドウ アーマー)","50"
"40268","闇精霊の水晶(ブリング ストーン)","50"
"40269","闇精霊の水晶(ドレス マイティー)","50"
"40270","闇精霊の水晶(ムービング アクセレーション)","200"
"40271","闇精霊の水晶(バーニング スピリッツ)","200"
"40272","闇精霊の水晶(シャドウ スリープ)","200"
"40273","闇精霊の水晶(ベノム レジスト)","200"
"40274","闇精霊の水晶(ドレス デクスタリティー)","200"
"40275","闇精霊の水晶(ダブル ブレイク)","500"
"40276","闇精霊の水晶(アンキャニー ドッジ)","500"
"40277","闇精霊の水晶(シャドウ ファング)","500"
"40278","闇精霊の水晶(ファイナル バーン)","500"
"40279","闇精霊の水晶(ドレス イベイジョン)","500"
"40304","マーブルの遺産","100"
"40305","ファアグリオの遺産","100"
"40306","エヴァの遺産","100"
"40307","サイハの遺産","100"
"40317","砥石","15"
"40329","原住民のトーテム","10"
"40330","無限の矢筒","3000"
"40397","キメラの皮：ドラゴン","2"
"40398","キメラの皮：ヤギ","2"
"40399","キメラの皮：ライオン","2"
"40400","キメラの皮：スネーク","2"
"40406","高級皮革","4"
"40408","ランプ メタル","2"
"40432","ディアド スクロールの切れ端","5"
"40442","ブロッブの胃液","2"
"40443","ブラックミスリル","120"
"40444","ブラックミスリルの原石","80"
"40453","ビースト サマナー ウィップ","3"
"40458","シャイニング スケイル","2"
"40459","スコーピオンの殻","10"
"40460","アシタジオの灰","150"
"40470","エレメンタル ピース","300"
"40471","ソウル ピース","10"
"40486","火山灰","2"
"40490","黒精霊石","8"
"40496","ミスリルの原石","6"
"40499","きのこの胞子液","2"
"40510","汚れたエントの皮","3"
"40511","汚れたエントの実","105"
"40512","汚れたエントの枝","2"
"40514","精霊の涙","10"
"40515","精霊の石","10"
"40516","高級グリーンクリスタル","10"
"40517","高級レッドクリスタル","10"
"40518","高級ブルークリスタル","10"
"40524","黒い血痕","2"
"40675","闇の鉱石","75"
"40676","闇の息吹","75"
"40678","ソウルクリスタルの欠片","1000"
"40718","ブラッドクリスタルの欠片","1000"
"40899","鋼鉄の原石","2"
"40978","シバインの尾：地","100"
"40979","シバインの尾：水","100"
"40980","シバインの尾：火","100"
"40981","シバインの尾：風","100"
"40982","シバインの皮：地","200"
"40983","シバインの皮：水","200"
"40984","シバインの皮：火","200"
"40985","シバインの皮：風","200"
"40986","シバインの牙","50"
"40999","ダークエルフ ソルジャー バッジ","2"
"41038","航海日誌 1ページ","10"
"41039","航海日誌 2ページ","10"
"41040","航海日誌 3ページ","10"
"41041","航海日誌 4ページ","10"
"41042","航海日誌 5ページ","10"
"41043","航海日誌 6ページ","10"
"41044","航海日誌 7ページ","10"
"41045","航海日誌 8ページ","10"
"41046","航海日誌 9ページ","10"
"41047","航海日誌 10ページ","10"
"41149","\aE精霊の水晶(ソウル オブ フレイム)","700"
"41150","精霊の水晶(アディショナル ファイアー)","700"
"41151","精霊の水晶(アクア プロテクター)","200"
"41152","精霊の水晶(ポルート ウォーター)","700"
"41153","精霊の水晶(ストライカー ゲイル)","700"
"41154","闇の鱗","50"
"41206","刃の欠けた武器","600"
"41207","船員の屍","3"
"41221","ダークエルフの袋","100"
"41243","ラスタバド補給品の袋","1000"
"41342","メデューサの血","200"
"41343","パプリオンの血痕","2"
"100025","シルバー ソード","180"
"100027","シミター","150"
"100029","シルバー ロングソード","1300"
"100037","ダマスカス ソード","500"
"100041","刀","2000"
"100052","ツーハンド ソード","1800"
"100064","グレートソード","8000"
"100095","ランス","6"
"100098","グレイブ","15"
"100102","ルチェルン ハンマー","1000"
"100103","ハルバード","200"
"100107","クリムゾン ランス","5000"
"100132","ビショップ スタッフ","5000"
"100143","バトル アックス","70"
"100146","モーニングスター","350"
"100151","デーモン アックス","20000"
"100169","ハンターボウ","500"
"100172","ボウ","5"
"120011","マジック ヘルム ","250"
"120016","マンボ ハット ","10000"
"120043","ヘルム ","20"
"120056","マジック クローク ","20"
"120101","バンデッド メイル ","2500"
"120115","","2000"
"120149","ブロンズ プレート メイル ","1600"
"120154","プレート メイル ","3700"
"120182","グローブ ","800"
"120242","ラージ シールド ","150"
"120244","マイナー 魅力のアミュレット","500"
"120245","マイナー 機敏のアミュレット","500"
"120246","マイナー 腕力のアミュレット","500"
"120247","マイナー 知力のアミュレット","500"
"120248","マイナー 精神のアミュレット","500"
"120249","マイナー 体力のアミュレット","500"
"120254","魅力のアミュレット ","1000"
"120256","機敏のアミュレット ","1000"
"120264","腕力のアミュレット ","1000"
"120266","知力のアミュレット ","1000"
"120267","精神のアミュレット ","1000"
"120268","体力のアミュレット ","1000"
"120281","","100000"
"120285","ウォーター リング ","250"
"120288","","200000"
"120289","アビス リング ","5000"
"120300","アース リング ","250"
"120302","ウィンド リング ","250"
"120304","ファイアー リング ","250"
"120306","マイナー ボディ ベルト","1500"
"120307","マイナー ソウル ベルト","1500"
"120308","マイナー マインド ベルト","1500"
"120309","シャイニング ボディ ベルト ","1000"
"120310","シャイニング ソウル ベルト ","1000"
"120311","シャイニング マインド ベルト ","1000"
"120312","ボディ ベルト ","3000"
"120316","ソウル ベルト ","3000"
"120317","オーガ ベルト ","3000"
"120319","マインド ベルト ","3000"
"120321","トロール ベルト ","3000"
"140006","異界のコール ライトニング ワンド","2"
"140008","変身バー","2"
"140010","レッド ポーション","3"
"140011","オレンジ ポーション","25"
"140012","クリアー ポーション","37"
"140013","ヘイスト ポーション","20"
"140014","ブレイブ ポーション","80"
"140015","ブルー ポーション","100"
"140016","ウィズダム ポーション","60"
"140018","強化 ヘイスト ポーション","150"
"140068","エルヴン ワッフル","50"
"140074","防具強化スクロール","3100"
"140087","武器強化スクロール","7500"
"140088","変身スクロール","130"
"140089","復活スクロール","150"
"140100","テレポート スクロール","7"
"140119","解呪スクロール","11"
"140329","原住民のトーテム","10"
"200001","オーキッシュ ダガー","2"
"200002","ダイス ダガー","2"
"200027","シミター","150"
"200032","グラディウス","250"
"200041","刀","2000"
"200052","ツーハンド ソード","1800"
"200171","オーキッシュ ボウ","3"
"210000","記憶の水晶(ミラー イメージ)","20"
"210001","記憶の水晶(コンフュージョン)","20"
"210002","記憶の水晶(スマッシュ エネルギー)","20"
"210003","記憶の水晶(イリュージョン[オーガ])","20"
"210004","記憶の水晶(キューブ[イグニション])","20"
"210005","記憶の水晶(コンセントレーション)","20"
"210006","記憶の水晶(マインド ブレイク)","20"
"210007","記憶の水晶(ボーン ブレイク)","20"
"210008","記憶の水晶(イリュージョン[リッチ])","20"
"210009","記憶の水晶(キューブ[クエイク])","20"
"210010","記憶の水晶(ペイシェンス)","20"
"210011","記憶の水晶(ファンタズム)","20"
"210012","記憶の水晶(アイズ ブレイカー)","20"
"210013","記憶の水晶(イリュージョン[ダイア ゴーレム])","20"
"210014","記憶の水晶(キューブ[ショック])","20"
"210015","記憶の水晶(インサイト)","20"
"210016","記憶の水晶(パニック)","20"
"210017","記憶の水晶(リデュース ウェイト)","20"
"210018","記憶の水晶(イリュージョン[アバター])","20"
"210019","記憶の水晶(キューブ[バランス])","20"
"210020","ドラゴンナイトの書板(ドラゴン スキン)","20"
"210021","ドラゴンナイトの書板(バーニング スラッシュ)","20"
"210022","ドラゴンナイトの書板(ガード ブレイク)","20"
"210023","ドラゴンナイトの書板(マグマ ブレス)","20"
"210024","ドラゴンナイトの書板(覚醒[アンタラス])","20"
"210025","ドラゴンナイトの書板(ブラッドラスト)","20"
"210026","ドラゴンナイトの書板(フォー スレイヤー)","20"
"210027","ドラゴンナイトの書板(フィアー)","20"
"210028","ドラゴンナイトの書板(マグマ アロー)","20"
"210029","ドラゴンナイトの書板(覚醒[パプリオン])","20"
"210030","ドラゴンナイトの書板(モータル ボディ)","20"
"210031","ドラゴンナイトの書板(サンダー グラップ)","20"
"210032","ドラゴンナイトの書板(ホラー オブ デス)","20"
"210033","ドラゴンナイトの書板(アイ オブ ドラゴン)","20"
"210034","ドラゴンナイトの書板(覚醒[ヴァラカス])","20"
"210036","ユグドラの実","50"
"220034","オーキッシュ ヘルム ","15"
"220043","ヘルム ","20"
"220056","マジック クローク ","20"
"220101","バンデッド メイル ","2500"
"220115","スプリント メイル ","2000"
"220122","スケイル メイル ","200"
"220125","チェーン メイル ","600"
"220135","オーキッシュ リング メイル ","20"
"220136","オーキッシュ チェーン メイル ","80"
"220147","スタデッド レザー アーマー ","30"
"220154","プレート メイル ","2200"
"220237","オーキッシュ シールド ","9"
"240010","レッド ポーション","3"
"240074","防具強化スクロール","3100"
"240087","武器強化スクロール","7500"
