"monsternumber","monstername","monster_id","locx","locy","mapid","type","marterial","note"
"95","コカトリス","707018","33431","33499","4","0","140100","忘れられた島"
"96","オーガ","707038","33431","33499","4","0","140100","忘れられた島"
"97","ゴーレムガーディアン","707003","33431","33499","4","0","140100","忘れられた島"
"98","ガスト","707010","33431","33499","4","0","140100","忘れられた島"
"99","オルディン","91235","32574","32930","0","0","140100","マルソム村"
"100","大王イカ","91200","32574","32930","0","0","140100","マルソム村"
"101","ウラパ","14900",,,,"0",,"地下通路"
"102","カウル","14902",,,,"0",,"地下通路"
"103","毒の花","14903",,,,"0",,"地下通路"
"104","ウラパ","14900",,,,"0",,"地下通路"
"105","タパナ","14904",,,,"0",,"地下通路"
"106","グリーディー アビッシー","14905",,,,"0",,"地下通路"
"107","グリーディー サンジバー","14906",,,,"0",,"地下通路"
"108","グリーディー アスモダン","14907",,,,"0",,"地下通路"
"109","狼","76001","32604","32842","0","0","140100","マルソムフィールド"
"110","ライカンスロープ","76015","32604","32842","0","0","140100","マルソムフィールド"
"111","ノーム ソードマン","5055","32604","32842","0","0","140100","マルソム北"
"112","ノーム パイクマン","5056","32604","32842","0","0","140100","マルソム北"
"113","ノーム アーチャー","5057","32604","32842","0","0","140100","マルソム北"
"114","ノーム シャーマン","5054","32604","32842","0","0","140100","マルソム北"
"115","ゴースト","45174","32604","32842","0","0","140100","マルソム北"
"116","","1","32604","32842","0","0","140100","マルソム北"
"117","ストーンゴーレム","5026","32604","32842","0","0","140100","マルソム北"
"118","オーク","5038","32454","32931","0","0","140100","マルソムフィールド"
"119","オークアーチャー","5035","32454","32931","0","0","140100","マルソムフィールド"
"120","オーク ファイター","45082","32454","32931","0","0","140100","マルソムフィールド"
"121","オークスピアマン","202061","32454","32931","0","0","140100","マルソムフィールド"
"122","オークウィザード","5036","32444","32930","0","0","140100","マルソムフィールド"
"123","オーク ゾンビ","45109","32460","32932","0","0","140100","マルソムフィールド"
"124","ジャイアント スパイダー","45136","32419","33129","0","0","140100","マルソムフィールド"
"125","ドレッドスパイダー","45184","32419","33129","0","0","140100","マルソムフィールド"
"126","アルフィア","5047","32419","33129","0","0","140100","マルソムフィールド"
"127","フローティング アイ","45068","32620","33210","0","0","140100","マルソムフィールド"
"128","エルダー","45215","32620","33210","0","0","140100","マルソムフィールド"
"129","裏切り者の長老","5039","32620","33210","0","0","140100","マルソムフィールド"
"130","ダイアーウルフ","45396","32620","33210","0","0","140100","マルソムフィールド"
"131","ブラックナイト","5017","32620","33210","0","0","140100","マルソムフィールド"
"132","","1",,,"0","0","140100",""
"133","ブラックナイト チーフ カーツ","45600",,,"0","0","140100","マルソムフィールド"
"137","けパレ","5046","0","0","0","0","140100","マルソムフィールド"
"139","リカント","5134","0","0","0","0","140100","マルソムフィールド"
"140","トロール","45280","32623","33090","4","0","140100","ウィンダウッド"
"141","ゾンビ","45065","32880","32650","4","0","140100","死の廃墟"
"142","スパルトイ","45161","32880","32650","4","0","140100","死の廃墟"
"143","スケルトン アーチャー","45122","32880","32650","4","0","140100","死の廃墟"
"144","スケルトン パイク","45131","32880","32650","4","0","140100","死の廃墟"
"145","スケルトン アックス","45130","32880","32650","4","0","140100","死の廃墟"
"146","グール","45157","32880","32650","4","0","140100","死の廃墟"
"147","バグベアー","45223","32880","32650","4","0","140100","死の廃墟"
"148","キング バグベアー","45298","32880","32650","4","0","140100","死の廃墟"
"149","","1","32880","32650","4","0","140100","死の廃墟"
"150","","1","32876","32923","4","0","140100","亡者の墓"
"151","","1","32876","32923",,,,"亡者の墓"
"152","","1","33056","32432","4","0","140100","ヨスプ"
"153","フォーノースオークアックス","5022","32666","32408","4","0","140100","オークの森"
"154","フォーノースオーク弓兵","5023","32666","32408","4","0","140100","オークの森"
"155","フォーノースオークシャーマン","5024","32666","32408","4","0","140100","オークの森"
"156","フォーノースオークゴムビョン","5021","32666","32408","4","0","140100","オークの森"
"157","","1","32666","32408",,,,"オークの森"
"158","","1","32666","32408",,,,"オークの森"
"159","ネクロス","5048","32666","32408","4","0","140100","オークの森"
"160","上りス","5044","32666","32408","4","0","140100","オークの森"
"161","アリゲーター","45101","33052","33207","4","0","140100","経荒野"
"162","","1","33052","33207",,,,"経荒野"
"163","","1","33052","33207",,,,"経荒野"
"164","リザードマン","76016","32789","33446","4","0","140100","荒れ地"
"165","砂場$1176","75000","32789","33446","4","0","140100","荒れ地"
"166","怒っ$960","75004","32863","33260","4","0","140100","砂漠"
"167","怒っ$961","75005","32863","33260","4","0","140100","砂漠"
"168","怒った巨大火蟻","75006","32863","33260",,,,"砂漠"
"169","ホワイト アントの群れ","45946","32863","33260","4","0","140100","砂漠"
"170","ジャイアント ホワイト アント","45947","32863","33260","4","0","140100","砂漠"
"171","暗黒の$966","75010","32863","33260","4","0","140100","砂漠"
"172","暗黒の砂$966","75011","32863","33260","4","0","140100","砂漠"
"173","暗黒の$962","75012","32863","33260","4","0","140100","砂漠"
"174","","1","32863","33260",,,,"砂漠"
"175","暗黒の$4331","75009","32863","33260","4","0","140100","砂漠"
"176","ジャイアント ガード アント","45952","32863","33260","4","0","140100","砂漠"
"177","エルシャベ","5136","32863","33260","4","0","140100","砂漠"
"178","サンドワーム","5135","32622","33179","4","0","140100","ウッドベック"
"179","","1","33152","32932","4","0","140100","ケント"
"180","アイドロン","45027","33613","32883","4","0","140100","ギラン"
"181","インプ","45033","33613","32883","4","0","140100","ギラン"
"182","","1","33613","32883","4","0","140100","ギラン"
"183","","1","33613","32883","4","0","140100","ギラン"
"184","","1","33613","32883","4","0","140100","ギラン"
"185","","1","33696","32562","4","0","140100","ウェルダン"
"186","","1","33696","32562","4","0","140100","ウェルダン"
"187","","1","33696","32562",,,,"ウェルダン"
"188","","1","33696","32562",,,,"ウェルダン"
"189","","1","33696","32562","4","0","140100","ウェルダン"
"190","","1","33696","32562",,,,"ウェルダン"
"191","","1","33656","33052",,,,"ハイネ"
"192","","1","33656","33052",,,,"ハイネ"
"193","","1","33754","32792",,,,"密林"
"194","","1","33754","32792",,,,"密林"
"195","","1","33754","32792",,,,"密林"
"196","","1","33754","32792",,,,"密林"
"197","","1","33754","32792",,,,"密林"
"198","","1","33754","32792",,,,"密林"
"199","","1","33754","32792","4","0","140100","密林"
"200","","1","33754","32792",,,,"密林"
"201","","1","33754","32792","4","0","140100","密林"
"202","","1","33774","33322","4","0","140100","鏡の森"
"203","クラブマン","45806","33399","33199","4","0","140100","ハイネ"
"204","ゲイザー","45349","33399","33199","4","0","140100","ハイネ"
"205","","1","33399","33199","4","0","140100","ハイネ"
"206","","1","33399","33199","4","0","140100","ハイネ"
"207","","1","33399","33199","4","0","140100","ハイネ"
"208","","1","33399","33199","4","0","140100","ハイネ"
"209","","1","33399","33199","4","0","140100","ハイネ"
"210","","1","33774","33322","4","0","140100","鏡の森"
"211","スケルトン ファイター","45286","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"212","スケルトン マークスマン","45270","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"213","スケルトン ガード","45269","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"214","","1","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"215","","1","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"216","","1","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"217","巨大スケルトンファイター","7000088","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"218","巨大スケルトンマークスマン","7000089","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"219","巨大スケルトンガード","7000090","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"220","巨大オーガ","7000091","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"221","巨大コカトリス","7000092","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"222","ドレイク","45578","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"223","大ブラックエルダー","7000094","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"224","巨大ドレイク","45529","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"225","ゼロス","7000093","33334","32447","4","0","140100","ドラゴンバレーフィールド"
"226","ファイアー エッグ","45206","33619","32414","4","0","140100","火竜の巣"
"227","ボム フラワー","45263","33619","32414","4","0","140100","火竜の巣"
"228","ドラゴン フライ","45257","33619","32414","4","0","140100","火竜の巣"
"229","バーニング ウォリアー","45284","33619","32414","4","0","140100","火竜の巣"
"230","バーニング アーチャー","45291","33619","32414","4","0","140100","火竜の巣"
"231","サラマンダー","45203","33619","32414","4","0","140100","火竜の巣"
"232","ラヴァ ゴーレム","45365","33619","32414","4","0","140100","火竜の巣"
"233","ホーン ケルベロス","45341","33619","32414","4","0","140100","火竜の巣"
"234","アシタジオ","45359","33619","32414","4","0","140100","火竜の巣"
"235","","1","33619","32414","4","0","140100","火竜の巣"
"236","火炎の支配者","7310092","33619","32414","4","0","140100","火竜の巣"
"237","フェニックス","45617","33619","32414","4","0","140100","火竜の巣"
"238","","1","33619","32414","4","0","140100","火竜の巣"
"239","","1","33619","32414","4","0","140100","火竜の巣"
"240","","1","33619","32414","4","0","140100","火竜の巣"
"241","","1","33875","32317","4","0","140100","オーレンフィールド"
"242","","1","33875","32317","4","0","140100","オーレンフィールド"
"243","","1","33875","32317","4","0","140100","オーレンフィールド"
"244","","1","33875","32317","4","0","140100","オーレンフィールド"
"245","","1","33875","32317","4","0","140100","オーレンフィールド"
"246","","1","33875","32317","4","0","140100","オーレンフィールド"
"247","エルモア ソルジャー","5059","34070","32613","4","0","140100","エルモアの激戦地"
"248","エルモア ウィザード","5060","34070","32613","4","0","140100","エルモアの激戦地"
"249","エルモア ジェネラル","5061","34070","32613","4","0","140100","エルモアの激戦地"
"250","","1","34070","32613","4","0","140100","エルモアの激戦地"
"251","","1","34070","32613","4","0","140100","エルモアの激戦地"
"252","","1","34070","32613","4","0","140100","エルモアの激戦地"
"253","","1","34070","32613","4","0","140100","エルモアの激戦地"
"254","嵐のシャースキー","5020","34070","32613","4","0","140100","エルモアの激戦地"
"255","疾風のシャースキー","5019","34070","32613","4","0","140100","エルモアの激戦地"
"256","","1","34140","32392","4","0","140100","オーレン雪壁"
"257","","1","34140","32392","4","0","140100","オーレン雪壁"
"258","","1","34140","32392","4","0","140100","オーレン雪壁"
"259","","1","34140","32392","4","0","140100","オーレン雪壁"
"260","","1","34140","32392","4","0","140100","オーレン雪壁"
"261","","1","34140","32392","4","0","140100","オーレン雪壁"
"262","","1","34140","32392","4","0","140100","オーレン雪壁"
"263","ビッグフット マーヨ","5146","34140","32392","4","0","140100","オーレン雪壁"
"264","","1","34041","32861","4","0","140100","アデンフィールド"
"265","","1","34041","32861","4","0","140100","アデンフィールド"
"266","","1","34041","32861","4","0","140100","アデンフィールド"
"267","","1","34041","32861","4","0","140100","アデンフィールド"
"268","巨人","45337","34269","33115","4","0","140100","夕暮れ山脈"
"269","巨人戦士","45295","34269","33115","4","0","140100","夕暮れ山脈"
"270","巨人シャーマン","45351","34269","33115","4","0","140100","夕暮れ山脈"
"271","巨人モーニングスター","45610","34269","33115","4","0","140100","夕暮れ山脈"
"272","ノール","45079","34225","32845","4","0","140100","風竜の巣"
"273","キラービー","45554","34225","32845","4","0","140100","風竜の巣"
"274","ハーピー","45264","34225","32845","4","0","140100","風竜の巣"
"275","アイランド ガースト ロード","45081","34225","32845","4","0","140100","風竜の巣"
"276","クリッピング クロウ","45083","34225","32845","4","0","140100","風竜の巣"
"277","","1","34225","32845","4","0","140100","風竜の巣"
"278","クリッピング クロウ","45084","34225","32845","4","0","140100","風竜の巣"
"279","ワイバーン","46067","34225","32845","4","0","140100","風竜の巣"
"280","","1","34225","32845","4","4","140100","風竜の巣"
"281","マイノ シャーマンのストーン ゴーレム","45796","34225","32845","4","0","140100","風竜の巣"
"282","","1","34225","32845","4","0","140100","風竜の巣"
"283","","1","34225","32845","4","0","140100","風竜の巣"
"284","","1","34225","32845","4","0","140100","風竜の巣"
"285","腐食した$987","77003","32476","32854","4","0","140100","マルソムダンジョン"
"286","腐食した$988","77004","32476","32854","4","0","140100","マルソムダンジョン"
"287","腐食した$986","77002","32476","32854","4","0","140100","マルソムダンジョン"
"288","腐食した$4794","77007","32476","32854","0","0","140100","マルソムダンジョン"
"289","腐食した$4796","77005","32476","32854","0","0","140100","マルソムダンジョン"
"290","腐食した$4795","77006","32476","32854","0","0","140100","マルソムダンジョン"
"291","バフォメット","45573","32476","32854","0","0","140100","マルソムダンジョン"
"292","邪悪なゴーレム","76007","32727","32928","4","0","140100","メインランドのダンジョン"
"293","邪悪なバグベア","76011","32727","32928","4","0","140100","メインランドのダンジョン"
"294","セマ","45464","32727","32928","4","0","140100","メインランドのダンジョン"
"295","メルキオール","45497","32727","32928","4","0","140100","メインランドのダンジョン"
"296","バルタザール","45473","32727","32928","4","0","140100","メインランドのダンジョン"
"297","カスパー","45488","32727","32928","4","0","140100","メインランドのダンジョン"
"298","漆黒のスケルトンファイター","7000068","32727","32928","4","0","140100","メインランドのダンジョン"
"299","漆黒のスケルトンマークスマン","7000067","32727","32928","4","0","140100","メインランドのダンジョン"
"300","漆黒のスケルトンガード","7000069","32727","32928","4","0","140100","メインランドのダンジョン"
"301","ケルベロス","76012","32727","32928","4","0","140100","メインランドのダンジョン"
"302","漆黒の書き込む","7000056","32727","32928","4","0","140100","メインランドのダンジョン"
"303","漆黒のバグベア","76018","32727","32928","4","0","140100","メインランドのダンジョン"
"304","デスナイト","45601","32727","32928","4","0","140100","メインランドのダンジョン"
"305","漆黒のシェルローブ","7000060","32727","32928","4","0","140100","メインランドのダンジョン"
"306","漆黒のドレッドスパイダー","7000063","32727","32928","4","0","140100","メインランドのダンジョン"
"307","漆黒のケルベロス","76019","32727","32928","4","0","140100","メインランドのダンジョン"
"308","漆黒のキングバグベア","76020","32727","32928","4","0","140100","メインランドのダンジョン"
"309","ネクロマンサー","45456","32727","32928","4","0","140100","メインランドのダンジョン"
"310","クリッピング クロウ","45083","32727","32928","4","0","140100","メインランドのダンジョン"
"311","ブロッブ","45032","32938","32281","4","0","140100","エルフの森ダンジョン"
"312","汚れたファングス","45103","32938","32281","4","0","140100","エルフの森ダンジョン"
"313","汚れたオーク","45117","32938","32281","4","0","140100","エルフの森ダンジョン"
"314","汚れたオーク アーチャー","45118","32938","32281","4","0","140100","エルフの森ダンジョン"
"315","汚れたオーク ファイター","45128","32938","32281","4","0","140100","エルフの森ダンジョン"
"316","汚れた オーク アックスマン","45791","32938","32281","4","0","140100","エルフの森ダンジョン"
"317","汚れたオーク パイクマン","45793","32938","32281","4","0","140100","エルフの森ダンジョン"
"318","汚れたオーク ファイター","45792","32938","32281","4","0","140100","エルフの森ダンジョン"
"319","汚れた オーク ウィザード","45770","32938","32281","4","0","140100","エルフの森ダンジョン"
"320","","1","32938","32281","4","0","140100","エルフの森ダンジョン"
"321","汚れたサイクロプス","45137","32938","32281","4","0","140100","エルフの森ダンジョン"
"322","","1","32938","32281","4","0","140100","エルフの森ダンジョン"
"323","","1","32938","32281","4","0","140100","エルフの森ダンジョン"
"324","","1","32938","32281","4","0","140100","エルフの森ダンジョン"
"325","","1","32938","32281","4","0","140100","エルフの森ダンジョン"
"326","","1","32938","32281","4","0","140100","エルフの森ダンジョン"
"327","","1","32938","32281","4","0","140100","エルフの森ダンジョン"
"328","ガーゴイル","76017","33140","33356","4","0","140100","修練ケイブ"
"329","邪悪なキングバグベア","76013","33140","33356","4","0","140100","修練ケイブ"
"330","邪悪な黒騎士","76014","33140","33356","4","0","140100","修練ケイブ"
"331","キメラグレード","76021","33140","33356","4","0","140100","修練ケイブ"
"332","レッサー デーモン","45736","32757","33461","4","0","140100","欲望の洞窟"
"333","火の シバイン","45741","32757","33461","4","0","140100","欲望の洞窟"
"334","風の シバイン","45742","32757","33461","4","0","140100","欲望の洞窟"
"335","水の シバイン","45740","32757","33461","4","0","140100","欲望の洞窟"
"336","","1","32757","33461","4","0","140100","欲望の洞窟"
"337","ジュディゴ","45744","32757","33461","4","0","140100","欲望の洞窟"
"338","ディゴ","45745","32757","33461","4","0","140100","欲望の洞窟"
"339","","1","32757","33461","4","0","140100","欲望の洞窟"
"340","パーズ","45748","32757","33461","4","0","140100","欲望の洞窟"
"341","パーサズ","45750","32757","33461","4","0","140100","欲望の洞窟"
"342","ディアンガス","45746","32757","33461","4","0","140100","欲望の洞窟"
"343","アンガス","45747","32757","33461","4","0","140100","欲望の洞窟"
"344","","1","32757","33461","4","0","140100","欲望の洞窟"
"345","","1","32757","33461","4","0","140100","欲望の洞窟"
"346","","1","32757","33461","4","0","140100","欲望の洞窟"
"347","","1","32757","33461","4","0","140100","欲望の洞窟"
"348","バルログ","45752","32757","33461","4","0","140100","欲望の洞窟"
"349","ファウストの悪霊","4037103","33432","32825","4","0","140100","ギラン"
"350","ファウストの悪霊","4037105","33432","32825","4","0","140100","ギラン"
"351","ファウストの悪霊","4037104","33432","32825","4","0","140100","ギラン"
"352","ファウストの悪霊","4037407","33432","32825","4","0","140100","ギラン"
"353","飢えた罪人","4037207","33432","32825","4","0","140100","ギラン"
"354","飢えた罪人","4037208","33432","32825","4","0","140100","ギラン"
"355","ファウスト","4037001","33432","32825","4","0","140100","ギラン"
"356","グリーディー ソルジャー","46020","33432","32825","4","0","140100","ギラン"
"357","グリーディー アーチャー","46023","33432","32825","4","0","140100","ギラン"
"358","グリーディー ファイター","46022","33432","32825","4","0","140100","ギラン"
"359","グリーディー ウィザード","46021","33432","32825","4","0","140100","ギラン"
"360","タロス伯爵","46025","33432","32825","4","0","140100","ギラン"
"361","ヴァリアント アリゲーター","45814","33621","33507","4","0","140100","ハイネ"
"362","トロッグ","45921","33621","33507","4","0","140100","ハイネ"
"363","邪悪なリザードマン","45930","33621","33507","4","0","140100","ハイネ"
"364","バクーク","45920","33621","33507","4","0","140100","ハイネ"
"365","ヌートリア","45922","33621","33507","4","0","140100","ハイネ"
"366","エヴァの王国の悪霊","45923","33621","33507","4","0","140100","ハイネ"
"367","邪悪なラットマン","45924","33621","33507","4","0","140100","ハイネ"
"368","呪われたメデューサ","45935","33621","33507","4","0","140100","ハイネ"
"369","邪悪なラミア","45928","33621","33507","4","0","140100","ハイネ"
"370","呪われた ラミア","45929","33621","33507","4","0","140100","ハイネ"
"371","呪われた水の大精霊","45942","33621","33507","4","0","140100","ハイネ"
"372","シーラカンス","45089","33621","33507","4","0","140100","ハイネ"
"373","マーメイド","45154","33621","33507","4","0","140100","ハイネ"
"374","クラゲ","45925","33621","33507","4","0","140100","ハイネ"
"375","アカレフ","81042","33621","33507","4","0","140100","ハイネ"
"376","呪われた巫女 サエル","45941","33621","33507","4","0","140100","ハイネ"
"377","マーマン","45940","33621","33507","4","0","140100","ハイネ"
"378","シーダンサー","45936","33621","33507","4","0","140100","ハイネ"
"379","サメ","45933","33621","33507","4","0","140100","ハイネ"
"380","アステ","45934","33621","33507","4","0","140100","ハイネ"
"381","海タートルドラゴン","45937","33621","33507","4","0","140100","ハイネ"
"382","イレッカドム","45938","33621","33507","4","0","140100","ハイネ"
"383","クラスタシアン","45939","33621","33507","4","0","140100","ハイネ"
"384","スケルトン イール","45726","33621","33507","4","0","140100","ハイネ"
"385","深海魚","45728","33621","33507","4","0","140100","ハイネ"
"386","アロフォスメガ","7210002","33621","33507","4","0","140100","ハイネ"
"387","アロフォスビア","7210003","33621","33507","4","0","140100","ハイネ"
"388","","1","33621","33507","4","0","140100","ハイネ"
"389","カープ","45943","33621","33507","4","0","140100","ハイネ"
"390","ジャイアント ワーム","45944","33621","33507","4","0","140100","ハイネ"
"391","","1","33621","33507","4","0","140100","ハイネ"
"392","","1","33621","33507","4","0","140100","ハイネ"
"393","","1","33621","33507","4","0","140100","ハイネ"
"394","ハイトロール","7127","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"395","地竜の子分(ブルー)","7113","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"396","地竜の子分(レッド)","7114","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"397","","46236","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"398","","1","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"399","地竜のスケルトンマークスマン","7119","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"400","地竜のスケルトンファイター","7118","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"401","地竜のスケルトンガード","7117","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"402","地竜のサキュバス","7120","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"403","地竜の群れない","7121","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"404","地竜のブルート","7122","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"405","地竜の門番","7124","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"406","地竜のサキュバスクイーン","7125","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
"407","地竜のエリート","7126","33401","32410","4","0","140100","ドラゴンバレーのダンジョン"
