"id","note","sets","polyid","ac","hp","mp","hpr","mpr","mr","str","dex","con","wis","cha","intl","sp","shorthitup","shortdmgup","longhitup","longdmgup","earth","fire","wind","water"
"22","Red Oak","20382","6010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","Captain Drake","20452","6089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Iris","20453","4001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Nightvald","20454","4000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Circulator Basque","20455","4004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Red Jersey","20456","5184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Blue uniform","20457","5186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Red Oak (Red Oak Mask)","20458","6010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Horse Helm","20383","6080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Halloween Blessing Heart","20380","5645","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","High Bear Choker","20419","5976","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Leather Set","20001,20090,20193,20219","-1","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Oak Set","20034,20072,20135,20237","-1","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Dwarf Set","20007,20052,20223","-1","-1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Jinpaku Leather Set","20038,20148,20241,20212","-1","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","Bone set","20045,20124,20221","-1","-2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Expedition Member's Belongings Set","20389,20393,20401,20409,20406","-1","-2","15","10","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Wizard Set","20012,20111","-1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","steel set","20003,20091,20163,20194,20220","-1","-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Blue Pirate Set","20044,20155,20188,20217","-1","-1","10","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"42","Yahiset","20031,20069,20083,20131,20179,20209,20290,20261","-1","-88","100","100","15","15","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0"
"43","Underworld King Set","20057,20109,20178,20200","-1","0","30","30","10","10","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"44","True King Set","20390,20395,20402,20410,20408","-1","-20","100","20","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Pitching Poison Set","21053,21054,21055,21052,21051","-1","-10","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","Hope Set","20413,20428","-1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","Lucky Set","20414,20430","-1","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Passion Set","20415,20429","-1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","Truth Set","20416,20431","-1","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Miracle Set","20417,20432","-1","0","15","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","Compassion Container Set","20418,20433","-1","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","Special Amulet - Purifying Ear Ring","20423,21019","-1","0","0","0","0","0","0","2","0","-2","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Sake Amulet and Purifying Ear Ring","20424,21019","-1","0","0","0","0","0","0","0","0","0","-2","0","2","0","0","0","0","0","0","0","0","0"
"54","Rock Caution Amulet and Purifying Earring","20425,21019","-1","0","0","0","0","0","0","0","2","0","0","-2","0","0","0","0","0","0","0","0","0","0"
"128","Repaired set","21048,21049,21050","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Aden Guard 10800","22013","6406","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","Aden's Guard 18,000","22014","6406","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","Aden's Guard 36,000","22015","6406","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","Wizard 10800","22016","6698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Wizard 18000","22017","6698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Wizard 36000","22018","6698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Harpy 10800","22019","6697","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Harpy 18000","22020","6697","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Harpy 36000","22021","6697","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Drake 10800","22022","6089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","Drake 18000","22023","6089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Drake 36000","22024","6089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","Iris 10800","22025","4001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","Iris 18000","22026","4001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","Iris 36000","22030","4001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","Nightvald 10800","22028","4000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","Knight Bald 18000","22029","4000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","Knight Bald 36000","22030","4000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","Circus 10800","22031","4004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","Circus 18000","22032","4004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","Circus 36000","22033","4004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","Aulakia Throw (Behemoth Man)","22069","7126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","Throwing a solid Aura (Behemoth Woman)","22070","7127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","Shilen's Leaf Crown (Silveria Male)","22071","7128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","Shining Shilen Crown (Silveria Female)","22072","7129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","11th Anniversary (Earrings + Black Necklace)","423020,423021","-1","0","55","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","11th Anniversary (Earrings + White Necklace)","423020,423022","-1","0","0","33","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"132","11th Anniversary (Earrings + Red Necklace)","423020,423023","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0","0"
"134","Heavenly Article 10800","421021","7968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"135","Heavenly Articles 18,000","421022","7968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"136","Heavenly Articles 36,000","421023","7968","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"137","Santa Transformation Turban","421024","7925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","Hat Poison Set","21093,21053,21052,21054,21055","-1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0"
"139","Food Toxic Set","21094,21053,21052,21054,21055","-1","0","0","50","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"140","Extreme Set","22257,22258,22259","-1","-5","100","0","8","4","15","0","0","3","0","0","0","0","0","0","0","0","0","0","0","20"
"141","Arnyoseto","20134,20211,22260","-1","-5","100","0","0","4","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"142","chef's hat","21092","5957","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","Initiate Set","21099,21100,21101","-1","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","Halloween celebration hat","21123","13140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"145","Clipboard Sema Accessory Set","222310,222311","-1","-5","50","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0"
"146","Black moon necklace, luminous earrings","21173,21176","-1","0","55","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"147","White moon necklace, luminous earrings","21174,21176","-1","0","0","33","3","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"148","Red moon necklace, luminous earrings","21175,21176","-1","0","0","0","3","1","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0","0"
"149","Nutritious set","20262,20291,20315","-1","0","50","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"150","Wizard 28800","21256","6698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151","Harpy 28800","21257","6697","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"152","GM Transformation Ring","9500","1080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
