"id","location","cycle_type","count","npc_id","group_id","locx","locy","randomx","randomy","locx1","locy1","locx2","locy2","heading","mapid","respawn_screen","movement_distance","rest","spawn_type","percentage"
"81","Cursed Medusa","DK1","1","45935","0","32700","32830","0","0","0","0","0","0","0","60","0","0","0","0","100"
"82","Cursed Great Spirit of Water","DK1","1","45942","0","32700","32830","0","0","0","0","0","0","0","61","0","0","0","0","100"
"83","Cursed Shrine Maiden Sael","DK1","1","45941","0","32735","32799","0","0","0","0","0","0","0","63","0","0","0","0","100"
"84","Water Spirit","DK1","1","45931","0","32735","32799","0","0","0","0","0","0","0","63","0","0","0","0","100"
"85","Carp","DK1","1","45943","0","32735","32799","0","0","32576","32640","32895","32959","0","63","0","0","0","0","100"
"86","Giant Worm","DK1","1","45944","0","32735","32799","0","0","32735","32640","32895","32799","0","63","0","0","0","0","100"
"99","Schnova","DK1","1","45492","49","32767","32899","0","0","32660","32791","32875","33007","0","480","0","0","0","0","100"
"105","Bandit Boss Klein","dun","1","4037000","0","32769","32769","0","0","0","0","0","0","0","54","0","0","0","0","100"
"106","Bandit Boss Klein","dun","1","4037000","0","32765","32769","0","0","0","0","0","0","0","56","0","0","0","0","100"
"114","Giltas","Dragon","1","81163","0","32866","32862","0","0","0","0","0","0","6","535","1","0","0","0","100"
"126","Recanto","dun","1","5134","0","32674","32857","0","0","32654","32833","32695","32881","0","0","1","100","0","0","100"
"127","Kepare","dun","1","5046","0","32502","32929","0","0","32488","32915","32517","32943","0","0","1","100","0","0","100"
"128","Sharsky the Gale","dun","1","5019","0","34051","32475","0","0","0","0","0","0","0","4","1","100","0","0","100"
"129","Storm Sharsky","dun","1","5020","0","34052","32476","0","0","0","0","0","0","0","4","1","100","0","0","100"
"130","Alfia","dun","1","5047","0","32505","33060","0","0","0","0","0","0","0","0","1","100","0","0","100"
"131","Fearful Antharas","dun","1","7000098","0","32697","32823","3","3","0","0","0","0","0","37","1","100","0","0","100"
"132","Ancient Guardian","Dragon","1","707026","0","32907","32781","0","0","0","0","0","0","6","1700","0","0","0","0","100"
"133","Titan Golem","dun","1","707037","0","32822","32925","30","30","0","0","0","0","5","1703","0","0","0","0","100"
"134","Harpy Queen","dun","1","707023","0","32921","32735","10","10","0","0","0","0","5","1700","0","0","0","0","100"
"135","Cockatrice King","dun","1","707024","0","32823","32739","10","10","0","0","0","0","5","1700","0","0","0","0","100"
"136","Ogre King","dun","1","707025","0","32911","32868","10","10","0","0","0","0","5","1700","0","0","0","0","100"
"137","Great Minotaur","dun","1","707022","0","32672","32735","10","10","0","0","0","0","5","1700","0","0","0","0","100"
"138","Drake King","dun","1","707017","0","32817","32946","10","10","0","0","0","0","5","1700","0","0","0","0","100"
"139","Chimera Grade","dun","1","76021","0","32758","32756","30","30","0","0","0","0","5","28","0","100","0","0","100"
