"id","npc_id","memo","name","locx","locy","mapid","heading","title","shop_name"
"21","4000021","ノンヒョンドン","Nonhyeon-dong","32777","32937","800","3","","\\f3f38크로/8레이/9일도/팜"
"22","4000022","ボギョン廃人","Bogyeong addict","32779","32934","800","4","","7마사 젤ㅍㅍㅍㅍㅍ"
"23","4000023","本叩き","Book bashing","32814","32915","800","5","","\\f3f39싸울7골무7강부7마망이반오벨"
"24","4000024","領v","territory v","32778","32931","800","6","","\\f3f37무양7엘름7요티[급처]"
"25","4000025","多v","Multi-v","32790","32923","800","1","","\\f0fZ축순,젤데이,결정체"
"26","4000026","きれいな成","Beautiful growth","32797","32908","800","2","","\\f0fZ7요티/7엘름/7골무/5각반/5전사단"
"27","4000027","故郷エルフの森","Hometown: Elven Forest","32788","32940","800","3","","\\f2f2러쉬용 신투 신부 신마"
"28","4000028","ソウル面牧洞(ミョンモットン)","Myeongmot-dong, Seoul","32788","32938","800","4","","\\fRf=인첸된 신관셋 팝니다"
"29","4000029","領収ために","For receipt","32781","32923","800","5","","5마투 / 젤 ㅍㅍㅍ"
"30","4000030","ミンジよどこ","Minji, where are you?","32810","32903","800","6","","[대박러쉬]45마투 축젤 팜."
"31","4000031","チョルユ私のもの","Cheolyu is mine","32788","32931","800","1","","얼지데지무양왕도달장파장블서냉키극체"
"32","4000032","パーキングの達人","Parking Master","32816","32916","800","2","","\\f0f=오벨 떠리요~!"
"33","4000033","魅力ミント","Charm Mint","32819","32930","800","3","","\\f0f=ㄴ7강도7살천7해신7파대7쿠창7질풍7뇌신"
"34","4000034","そこにぴったり立て","Stand right there","32788","32921","800","4","","5마망5마투5티5강부5파글5골무5마사5전사"
"35","4000035","待機組","Waiting group","32788","32917","800","5","","\\f0f4고비늘 떠리"
"36","4000036","木洞","Kido","32788","32913","800","6","","\\f0f4고롭 파라영"
"37","4000037","ガムジャオフ","Gamjaof","32780","32920","800","1","","\\f0f4고대의 판금갑옷 팝니다"
"38","4000038","エント収集","Ent Collection","32819","32908","800","2","","567 파글 ㅍㅍㅍ"
"39","4000039","STR","STR","32782","32915","800","3","","\\f0f4마부 싸게 팝니다"
"40","4000040","ガイデン","Gaiden","32778","32918","800","4","","데지7얼지7무양7왕도7달장7파장7블서7극체"
"41","4000041","ガッツ","guts","32795","32908","800","5","","5돌장5타장5타부5은망5완부5민부5지부5마각"
"42","4000042","UDT","UDT","32792","32917","800","6","","7엘름7요티7무장7무부7무투5각반7쿠방"
"43","4000043","お知らせ","notice","32810","32912","800","1","","가더류 하딘완본팜!!!"
"44","4000044","ソヌよどこ","Where is Sunwoo?","32792","32913","800","2","","\\f0f2[[[무양전문]]]"
"45","4000045","キム・ゴンモ","Kim Gun-mo","32790","32931","800","3","","전사인장팜타이탄락팜"
"46","4000046","塩","salt","32820","32905","800","4","","\\f0f3이뮨홀리앱솔미티어어밴아이스"
"47","4000047","アドルフライド","Adolf Fried","32821","32921","800","5","","\\f0f3인첸+신마 팝니다 +신관마력서"
"48","4000048","シイプセヤ","Shipseya","32824","32922","800","6","","\\f0f2신관로브 파라요"
"49","4000049","フレイムブレード知ら","Flame Blade","32822","32917","800","1","","\\f0f3신투팝니다"
"50","4000050","カステルバジャク","Castelbajac","32823","32936","99","2","","\\f0f2무관부츠 무부 파파파"
"51","4000051","ヒョジンが補助","Hyojin assists","32820","32916","800","3","","\\f0f2축순 젤 데이 ㅍㅍ"
"52","4000052","ハンドローション","hand lotion","32806","32936","800","4","","오만층줌 장인줌서"
"53","4000053","サーバー商売人","Server merchant","32813","32947","800","6","","맘보셋 팝니닥!!"
"54","4000054","ナナナ","Nanana","32808","32941","800","2","","\\f0f1마돌 혈흔 축순 ㅍㅍ"
"55","4000055","してワンス","And once","32810","32941","800","2","","\\f0f1파톰 뮨 각종법서 팜팜"
"56","4000056","会話にしよう","Let's make it a conversation","32797","32948","800","2","","데이 축데이 축젤 팔아요~"
"57","4000057","ドラゴンフォース","Dragon Force","32819","32935","800","2","","\\f0f2젤 축젤 저젤 사주센!"
"58","4000058","滅v","Destruction","32811","32935","800","2","","오만층줌 1층부터"
"59","4000059","ネズミ","rat","32791","32946","800","2","","7수단 축젤 ㅍ"
"60","4000060","ボディガード","Bodyguard","32814","32931","800","2","","요정마법"
