"id","item_id","char_id","item_name","count","is_equipped","enchantlvl","is_id","durability","charge_count","remaining_time","last_used","bless","attr_enchantlvl","special_enchant","end_time","package","buy_time"
"907812790","22039","907646107","Heavensward Leather Armor","1","0","4","1","0","0","0",,"129","0","0",,"0",
"907812791","22040","907646107","Heavensward Hood","1","0","4","1","0","0","0",,"129","0","0",,"0",
"907812792","22062","907646107","Heavenly Ring","1","0","0","0","0","0","0",,"129","0","0",,"0",
"907812793","22062","907646107","Heavenly Ring","1","0","0","0","0","0","0",,"129","0","0",,"0",
"907812794","22063","907646107","Blue Sky Earrings","1","0","0","0","0","0","0",,"129","0","0",,"0",
"907812795","22064","907646107","Azure Necklace","1","0","0","0","0","0","0",,"129","0","0",,"0",
"907812796","22312","907646107","Initiate T-Shirt","1","0","4","1","0","0","0",,"129","0","0",,"0",
"907812797","22337","907646107","Initiate's Belt","1","0","0","0","0","0","0",,"129","0","0",,"0",
"907812798","20232","907646107","Initiate's Shield","1","0","4","1","0","0","0",,"129","0","0",,"0",
"907812799","321515","907646107","Initiate's Sturdy Gaiters","1","0","4","1","0","0","0",,"129","0","0",,"0",
"907813216","3000027","907646107","Server Blessing","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907813818","1120","907646107","Cold Key Link","1","0","7","1","0","0","0",,"129","3","0",,"0",
"907813819","22203","907646107","Papilion Hydro Robe","1","0","5","1","0","0","0",,"129","0","0",,"0",
"907813820","20050","907646107","Ant Queen Silver Wing","1","0","5","1","0","0","0",,"129","0","0",,"0",
"907813821","202022","907646107","Great Wizard's Hat","1","0","5","1","0","0","0",,"129","0","0",,"0",
"907813822","20085","907646107","T-shirt","1","0","5","1","0","0","0",,"129","0","0",,"0",
"907813823","222327","907646107","steel gaiters","1","0","5","1","0","0","0",,"129","0","0",,"0",
"907813824","20274","907646107","Shining Magical Gloves","1","0","5","1","0","0","0",,"129","0","0",,"0",
"907813825","222309","907646107","Boots of Knowledge","1","0","5","1","0","0","0",,"129","0","0",,"0",
"907813826","22255","907646107","Wizard's Guard","1","0","3","1","0","0","0",,"129","0","0",,"0",
"907816914","46162","907646107","NPC confirmation bar","1","0","0","1","0","0","0",,"1","0","0",,"0",
