"area","note","locx","locy","mapid"
"456","ラスターバソン：魔獣召喚室1F","32694","32796","450"
"460","ラスターバソン：黒魔法の訓練場2F","32667","32863","457"
"461","ラスターバソン：黒魔法研究室2F","32678","32803","450"
"462","ラスターバソン：魔霊国王の執務室2F","32678","32803","450"
"463","ラスターバソン：魔霊軍王の書斎2F","32667","32863","457"
"464","ラスターバソン：精霊召喚室2F","32667","32863","457"
"465","ラスターバソン：精霊の生息地2F","32667","32863","457"
"466","ラスターバソン：がんの精霊研究室2F","32667","32863","457"
"470","ラスターバソン：悪霊の祭壇3F","32671","32855","467"
"471","ラスターバソン：デビルロードの祭壇3F","32678","32803","450"
"472","ラスターバソン：傭兵訓練場3F","32671","32855","467"
"473","ラスターバソン：人ボプグンの訓練場3F","32671","32855","467"
"474","ラスターバソン：オーム実験室3F","32671","32855","467"
"475","ラスターバソン：冥法軍王の執務室3F","32678","32803","450"
"476","ラスターバソン：中央制御室3F","32671","32855","467"
"477","ラスターバソン：デビルロードのための病室3F","32671","32855","467"
"478","ラスターバソン：立ち入り禁止エリア3F","32671","32855","467"
"479","ラスターバソン：中央広場","32678","32803","450"
"490","ラスターバソン：地下訓練場B1F","32744","32818","450"
"491","ラスターバソン：地下通路B1F","32744","32818","450"
"492","ラスターバソン：暗殺軍王の執務室B1F","32678","32803","450"
"493","ラスターバソン：地下コントロールルームB1F","32744","32818","450"
"494","ラスターバソン：地下処刑場B1F","32744","32818","450"
"495","ラスターバソン：地下決闘B1F","32678","32803","450"
"496","ラスターバソン：地下牢B1F","32744","32818","450"
"530","ラスターバソン：グランカインの神殿/ケイ私の部屋","33425","32813","4"
"531","ラスターバソン：ビールス/右メス/エンディアスの部屋","33425","32813","4"
"532","ラスターバソン：ガーデン/イデアの部屋","33425","32813","4"
"533","ラスターバソン：ティアメス/ラミアス/まさにドの部屋","33425","32813","4"
"534","ラスターバソン：カサンドラ/ダンテスの部屋","33425","32813","4"
"535","ダークエルフの聖地","32744","32792","536"
"537","ギルタス","32598","33182","4"
"550","船の墓地：地上階","32844","32694","550"
"551","船の墓地：大型船内1階","32844","32694","550"
"552","船の墓地：大型船内1階（水中）","32844","32694","550"
"554","船の墓地：大型船内2階","32844","32694","550"
"555","船の墓地：大型船内2階（水中）","32844","32694","550"
"557","船の墓地：船内","32844","32694","550"
"558","船の墓地：深海層","32844","32694","550"
"600","欲望の洞窟外周部","32608","33178","4"
"601","欲望の洞窟ロビー","32608","33178","4"
"608","ヤヒの実験室","34053","32284","4"
"777","ポタン（スペース外）","34043","32184","4"
"778","ポタン（次元扉地上）","32608","33178","4"
"779","ポタン（次元扉海底）","32608","33178","4"
"780","テーベ砂漠","32614","32735","4"
"781","テーベピラミッド","32614","32735","4"
"782","テーベ祭壇","32614","32735","4"
"783","ティカル寺院","32614","32735","4"
"784","ククルカンの祭壇","32614","32735","4"
"785","狩猟イベント","33416","32802","4"
"786","狩猟イベント","33416","32802","4"
"787","狩猟イベント","33416","32802","4"
"788","狩猟イベント","33416","32802","4"
"789","狩猟イベント","33416","32802","4"
"814","水竜の後オス","33618","33247","4"
"1005","アンタラスレア","33703","32502","4"
"1011","パプリオンレア","33703","32502","4"
"1017","リンドビオルレア","33703","32502","4"
"1700","忘れられた島","33440","32805","4"
"1701","忘れられた島","33440","32805","4"
"1702","忘れられた島","33440","32805","4"
"1703","忘れられた島","33440","32805","4"
"1704","忘れられた島","33440","32805","4"
"1705","忘れられた島","33440","32805","4"
"1707","忘れられた島","33440","32805","4"
"1708","忘れられた島1","33440","32805","4"
"1711","イッソム控室","33440","32805","4"
"2100","氷の女王の城の入り口","34047","32283","4"
"5124","Fishing place","32815","32809","5124"
"5125","petmatch place","32628","32781","4"
"5131","petmatch place","32628","32781","4"
"5132","petmatch place","32628","32781","4"
"5133","petmatch place","32628","32781","4"
"5134","petmatch place","32628","32781","4"
"5140","お化け屋敷","32624","32813","4"
"5143","ペットレーシング","32614","32735","4"
"5153","デスマッチ","32614","32735","4"
"5167","悪魔王の領土","34053","32284","4"
"9000","マルソムあるた","32582","32927","0"
"9101","海上前","32582","32927","0"
"12005","象牙の塔：ヤヒ陣営4階（PC）","34057","32282","4"
"12006","象牙の塔：ヤヒ陣営5階（PC）","34057","32282","4"
"12007","象牙の塔：ヤヒ陣営6階（PC）","34057","32282","4"
"12008","象牙の塔：ヤヒ陣営7階（PC）","34057","32282","4"
"12009","象牙の塔：ヤヒ陣営8階（PC）","34057","32282","4"
"15401","支配者の結界1階","33442","32798","4"
"15402","支配者の結界2階","33442","32798","4"
"15403","支配者の結界1階","33703","32496","4"
"15404","支配者の結界2階","33703","32496","4"
"16384","Talking Island Hotel","32599","32931","0"
"16896","Talking Island Hotel","32599","32931","0"
"17408","Gludio Hotel","32631","32761","4"
"17920","Gludio Hotel","32631","32761","4"
"18432","Giran Hotel","33437","32790","4"
"18944","Giran Hotel","33437","32790","4"
"19456","Oren Hotel","34067","32254","4"
"19968","Oren Hotel","34067","32254","4"
"20480","Windawood Hotel","32627","33167","4"
"20992","Windawood Hotel","32627","33167","4"
"21504","SKT Hotel","33115","33379","4"
"22016","SKT Hotel","33115","33379","4"
"22528","Heine Hotel","33604","33276","4"
"23040","Heine Hotel","33604","33276","4"
