"id","note","trapId","mapId","locX","locY","locRndX","locRndY","count","span"
"43","傲慢の塔","14","134","32670","32861","100","100","20","0"
"44","傲慢の塔","2","134","32670","32861","100","100","20","0"
"45","傲慢の塔","3","134","32670","32861","100","100","20","0"
"46","傲慢の塔","4","134","32670","32861","100","100","20","0"
"47","傲慢の塔","5","134","32670","32861","100","100","20","0"
"48","傲慢の塔","6","134","32670","32861","100","100","20","0"
"49","傲慢の塔","7","134","32670","32861","100","100","20","0"
"50","傲慢の塔","15","138","32670","32861","100","100","20","0"
"51","傲慢の塔","2","138","32670","32861","100","100","20","0"
"52","傲慢の塔","3","138","32670","32861","100","100","20","0"
"53","傲慢の塔","4","138","32670","32861","100","100","20","0"
"54","傲慢の塔","5","138","32670","32861","100","100","20","0"
"55","傲慢の塔","6","138","32670","32861","100","100","20","0"
"56","傲慢の塔","7","138","32670","32861","100","100","20","0"
"57","傲慢の塔","16","144","32670","32861","100","100","20","0"
"58","傲慢の塔","2","144","32670","32861","100","100","20","0"
"59","傲慢の塔","3","144","32670","32861","100","100","20","0"
"60","傲慢の塔","4","144","32670","32861","100","100","20","0"
"61","傲慢の塔","5","144","32670","32861","100","100","20","0"
"62","傲慢の塔","6","144","32670","32861","100","100","20","0"
"63","傲慢の塔","7","144","32670","32861","100","100","20","0"
"64","傲慢の塔","17","148","32670","32861","100","100","20","0"
"65","傲慢の塔","2","148","32670","32861","100","100","20","0"
"66","傲慢の塔","3","148","32670","32861","100","100","20","0"
"67","傲慢の塔","4","148","32670","32861","100","100","20","0"
"68","傲慢の塔","5","148","32670","32861","100","100","20","0"
"69","傲慢の塔","6","148","32670","32861","100","100","20","0"
"70","傲慢の塔","7","148","32670","32861","100","100","20","0"
"71","傲慢の塔","18","154","32798","32798","100","100","20","0"
"72","傲慢の塔","2","154","32798","32798","100","100","20","0"
"73","傲慢の塔","3","154","32798","32798","100","100","20","0"
"74","傲慢の塔","4","154","32798","32798","100","100","20","0"
"75","傲慢の塔","5","154","32798","32798","100","100","20","0"
"76","傲慢の塔","6","154","32798","32798","100","100","20","0"
"77","傲慢の塔","7","154","32798","32798","100","100","20","0"
"78","傲慢の塔","18","158","32670","32861","100","100","20","0"
"79","傲慢の塔","2","158","32670","32861","100","100","20","0"
"80","傲慢の塔","3","158","32670","32861","100","100","20","0"
"81","傲慢の塔","4","158","32670","32861","100","100","20","0"
"82","傲慢の塔","5","158","32670","32861","100","100","20","0"
"83","傲慢の塔","6","158","32670","32861","100","100","20","0"
"84","傲慢の塔","7","158","32670","32861","100","100","20","0"
"85","傲慢の塔","19","164","32798","32798","100","100","20","0"
"86","傲慢の塔","2","164","32798","32798","100","100","20","0"
"87","傲慢の塔","3","164","32798","32798","100","100","20","0"
"88","傲慢の塔","4","164","32798","32798","100","100","20","0"
"89","傲慢の塔","5","164","32798","32798","100","100","20","0"
"90","傲慢の塔","6","164","32798","32798","100","100","20","0"
"91","傲慢の塔","7","164","32798","32798","100","100","20","0"
"92","傲慢の塔","19","168","32670","32861","100","100","20","0"
"93","傲慢の塔","2","168","32670","32861","100","100","20","0"
"94","傲慢の塔","3","168","32670","32861","100","100","20","0"
"95","傲慢の塔","4","168","32670","32861","100","100","20","0"
"96","傲慢の塔","5","168","32670","32861","100","100","20","0"
"97","傲慢の塔","6","168","32670","32861","100","100","20","0"
"98","傲慢の塔","7","168","32670","32861","100","100","20","0"
"99","傲慢の塔","20","174","32798","32798","100","100","20","0"
"100","傲慢の塔","2","174","32798","32798","100","100","20","0"
"101","傲慢の塔","3","174","32798","32798","100","100","20","0"
"102","傲慢の塔","4","174","32798","32798","100","100","20","0"
"103","傲慢の塔","5","174","32798","32798","100","100","20","0"
"104","傲慢の塔","6","174","32798","32798","100","100","20","0"
"105","傲慢の塔","7","174","32798","32798","100","100","20","0"
"106","傲慢の塔","21","178","32670","32861","100","100","20","0"
"107","傲慢の塔","2","178","32670","32861","100","100","20","0"
"108","傲慢の塔","3","178","32670","32861","100","100","20","0"
"109","傲慢の塔","4","178","32670","32861","100","100","20","0"
"110","傲慢の塔","5","178","32670","32861","100","100","20","0"
"111","傲慢の塔","6","178","32670","32861","100","100","20","0"
"112","傲慢の塔","7","178","32670","32861","100","100","20","0"
"113","傲慢の塔","22","184","32798","32798","100","100","20","0"
"114","傲慢の塔","2","184","32798","32798","100","100","20","0"
"115","傲慢の塔","3","184","32798","32798","100","100","20","0"
"116","傲慢の塔","4","184","32798","32798","100","100","20","0"
"117","傲慢の塔","5","184","32798","32798","100","100","20","0"
"118","傲慢の塔","6","184","32798","32798","100","100","20","0"
"119","傲慢の塔","7","184","32798","32798","100","100","20","0"
"120","傲慢の塔","22","188","32670","32861","100","100","20","0"
"121","傲慢の塔","2","188","32670","32861","100","100","20","0"
"122","傲慢の塔","3","188","32670","32861","100","100","20","0"
"123","傲慢の塔","4","188","32670","32861","100","100","20","0"
"124","傲慢の塔","5","188","32670","32861","100","100","20","0"
"125","傲慢の塔","6","188","32670","32861","100","100","20","0"
"126","傲慢の塔","7","188","32670","32861","100","100","20","0"
"127","傲慢の塔","23","194","32798","32798","100","100","20","0"
"128","傲慢の塔","2","194","32798","32798","100","100","20","0"
"129","傲慢の塔","3","194","32798","32798","100","100","20","0"
"130","傲慢の塔","4","194","32798","32798","100","100","20","0"
"131","傲慢の塔","5","194","32798","32798","100","100","20","0"
"132","傲慢の塔","6","194","32798","32798","100","100","20","0"
"133","傲慢の塔","7","194","32798","32798","100","100","20","0"
"134","傲慢の塔","23","198","32670","32861","100","100","20","0"
"135","傲慢の塔","2","198","32670","32861","100","100","20","0"
"136","傲慢の塔","3","198","32670","32861","100","100","20","0"
"137","傲慢の塔","4","198","32670","32861","100","100","20","0"
"138","傲慢の塔","5","198","32670","32861","100","100","20","0"
"139","傲慢の塔","6","198","32670","32861","100","100","20","0"
"140","傲慢の塔","7","198","32670","32861","100","100","20","0"
"141","お化け屋敷","44","5140","32818","32821","76","53","100","0"
"142","お化け屋敷","45","5140","32818","32821","76","53","100","0"
"143","お化け屋敷","46","5140","32818","32821","76","53","100","0"
"144","お化け屋敷","47","5140","32818","32821","76","53","100","0"
"145","お化け屋敷","48","5140","32818","32821","76","53","10","0"
"146","お化け屋敷","49","5140","32818","32821","76","53","10","0"
"147","お化け屋敷","50","5140","32818","32821","76","53","10","0"
"148","お化け屋敷","51","5140","32818","32821","76","53","10","0"
"149","お化け屋敷","52","5140","32818","32821","76","53","10","0"
"150","ペットレーシング","57","5143","32764","32845","0","0","1","0"
"151","ペットレーシング","57","5143","32764","32846","0","0","1","0"
"152","ペットレーシング","57","5143","32764","32847","0","0","1","0"
"153","ペットレーシング","57","5143","32764","32848","0","0","1","0"
"154","ペットレーシング","57","5143","32764","32849","0","0","1","0"
"155","ペットレーシング","57","5143","32764","32850","0","0","1","0"
"156","ペットレーシング","57","5143","32764","32851","0","0","1","0"
"157","ペットレーシング","57","5143","32764","32852","0","0","1","0"
"158","ペットレーシング","58","5143","32770","32811","0","0","1","0"
"159","ペットレーシング","58","5143","32770","32812","0","0","1","0"
"160","ペットレーシング","58","5143","32770","32813","0","0","1","0"
"161","ペットレーシング","58","5143","32770","32814","0","0","1","0"
"162","ペットレーシング","58","5143","32770","32815","0","0","1","0"
"163","ペットレーシング","58","5143","32770","32816","0","0","1","0"
"164","ペットレーシング","58","5143","32770","32817","0","0","1","0"
"165","ペットレーシング","58","5143","32770","32818","0","0","1","0"
"166","ペットレーシング","59","5143","32735","32833","0","0","1","0"
"167","ペットレーシング","59","5143","32736","32833","0","0","1","0"
"168","ペットレーシング","59","5143","32737","32833","0","0","1","0"
"169","ペットレーシング","59","5143","32738","32833","0","0","1","0"
"170","ペットレーシング","59","5143","32739","32833","0","0","1","0"
"171","ペットレーシング","59","5143","32740","32833","0","0","1","0"
"172","ペットレーシング","59","5143","32741","32833","0","0","1","0"
"173","ペットレーシング","59","5143","32742","32833","0","0","1","0"
"174","ペットレーシング","60","5143","32793","32828","0","0","1","0"
"175","ペットレーシング","60","5143","32794","32828","0","0","1","0"
"176","ペットレーシング","60","5143","32795","32828","0","0","1","0"
"177","ペットレーシング","60","5143","32796","32828","0","0","1","0"
"178","ペットレーシング","60","5143","32797","32828","0","0","1","0"
"179","ペットレーシング","60","5143","32798","32828","0","0","1","0"
"180","ペットレーシング","60","5143","32799","32828","0","0","1","0"
"181","ペットレーシング","60","5143","32800","32828","0","0","1","0"
"182","ペットレーシング - スピードトラップ","53","5143","32748","32851","0","0","1","0"
"183","ペットレーシング - スピードトラップ","53","5143","32748","32849","0","0","1","0"
"184","ペットレーシング - スピードトラップ","53","5143","32748","32847","0","0","1","0"
"185","ペットレーシング - スピードトラップ","53","5143","32748","32845","0","0","1","0"
"186","ペットレーシング - スピードトラップ","53","5143","32762","32811","0","0","1","0"
"187","ペットレーシング - スピードトラップ","53","5143","32800","32830","0","0","1","0"
"188","ペットレーシング - スピードトラップ","54","5143","32748","32850","0","0","1","0"
"189","ペットレーシング - スピードトラップ","54","5143","32748","32846","0","0","1","0"
"190","ペットレーシング - スピードトラップ","54","5143","32748","32848","0","0","1","0"
"191","ペットレーシング - スピードトラップ","54","5143","32748","32852","0","0","1","0"
"192","ペットレーシング - スピードトラップ","54","5143","32761","32812","0","0","1","0"
"193","ペットレーシング - スピードトラップ","54","5143","32762","32812","0","0","1","0"
"194","ペットレーシング - スピードトラップ","54","5143","32799","32830","0","0","1","0"
"195","ペットレーシング - スピードトラップ","54","5143","32799","32831","0","0","1","0"
"196","ペットレーシング - 変身トラップ","55","5143","32737","32840","0","0","1","0"
"197","ペットレーシング - 変身トラップ","55","5143","32739","32840","0","0","1","0"
"198","ペットレーシング - 変身トラップ","55","5143","32741","32840","0","0","1","0"
"199","ペットレーシング - 変身トラップ","55","5143","32749","32811","0","0","1","0"
"200","ペットレーシング - 変身トラップ","55","5143","32749","32813","0","0","1","0"
"201","ペットレーシング - 変身トラップ","55","5143","32749","32815","0","0","1","0"
"202","ペットレーシング - 変身トラップ","55","5143","32749","32817","0","0","1","0"
"203","ペットレーシング - 変身トラップ","55","5143","32790","32812","0","0","1","0"
"204","ペットレーシング - 変身トラップ","55","5143","32794","32831","0","0","1","0"
"205","ペットレーシング - 変身トラップ","56","5143","32736","32840","0","0","1","0"
"206","ペットレーシング - 変身トラップ","56","5143","32738","32840","0","0","1","0"
"207","ペットレーシング - 変身トラップ","56","5143","32740","32840","0","0","1","0"
"208","ペットレーシング - 変身トラップ","56","5143","32749","32813","0","0","1","0"
"209","ペットレーシング - 変身トラップ","56","5143","32749","32818","0","0","1","0"
"210","ペットレーシング - 変身トラップ","56","5143","32749","32814","0","0","1","0"
"211","ペットレーシング - 変身トラップ","56","5143","32749","32816","0","0","1","0"
"212","ペットレーシング - 変身トラップ","56","5143","32749","32812","0","0","1","0"
"213","ペットレーシング - 変身トラップ","56","5143","32793","32832","0","0","1","0"
"214","ペットレーシング - 変身トラップ","56","5143","32794","32832","0","0","1","0"
"215","ペットレーシング - 変身トラップ","56","5143","32790","32813","0","0","1","0"
"216","象牙の塔：4階ドルゴールレム","61","78","32902","32767","100","100","15","1000"
"217","象牙の塔：4階アイアンゴーレム","62","78","32902","32767","100","100","15","1000"
"218","象牙の塔：4階ゼラチンキューブ","63","78","32902","32767","100","100","15","1000"
"219","象牙の塔：4階リビングアーマー（小）","64","78","32902","32767","100","100","15","1000"
"220","象牙の塔：4階リビングアーマー（大）","65","78","32902","32767","100","100","15","1000"
"221","象牙の塔：4階ダンシングソード","66","78","32902","32767","100","100","15","1000"
"222","象牙の塔：4階ボールライトニング","67","78","32902","32767","100","100","15","1000"
"223","象牙の塔：5階長老","68","79","32776","32830","100","100","15","1000"
"224","象牙の塔：5階ラミア","69","79","32776","32830","100","100","15","1000"
"225","象牙の塔：5階ブラックエルダー","70","79","32776","32830","100","100","15","1000"
"226","象牙の塔：5階キメラ","71","79","32776","32830","100","100","15","1000"
"227","象牙の塔：5階黒ウィザード","72","79","32776","32830","100","100","15","1000"
"228","象牙の塔：6階デス","73","80","32775","32833","100","100","15","1000"
"229","象牙の塔：6階シルエット","74","80","32775","32833","100","100","15","1000"
"230","象牙の塔：6階幽霊","75","80","32775","32833","100","100","15","1000"
"231","象牙の塔：6階落ち魂","76","80","32775","32833","100","100","15","1000"
"232","象牙の塔：6階ベレスの分身","77","80","32775","32833","100","100","15","1000"
"233","象牙の塔：6階ハーディンの分身","78","80","32775","32833","100","100","15","1000"
"234","象牙の塔：7階バルログの信者","79","81","32774","32832","100","100","15","1000"
"235","象牙の塔：7階バフォメットの分身","80","81","32774","32832","100","100","15","1000"
"236","象牙の塔：7階レッサーデーモン","81","81","32774","32832","100","100","15","1000"
"237","象牙の塔：8階ガーゴイル","82","82","32709","32828","100","100","15","1000"
"238","象牙の塔：8階パーサズ","83","82","32709","32828","100","100","15","1000"
"239","#デストラップ#","53","2005","32685","32857","0","0","1","0"
"240","#デストラップ#","53","2005","32688","32854","0","0","1","0"
"241","#デストラップ#","53","2005","32691","32851","0","0","1","0"
"242","#デストラップ#","53","2005","32694","32848","0","0","1","0"
"243","#デストラップ#","53","2005","32694","32845","0","0","1","0"
"244","#デストラップ#","53","2005","32694","32842","0","0","1","0"
"245","#デストラップ#","53","2005","32697","32839","0","0","1","0"
"246","#デストラップ#","53","2005","32700","32836","0","0","1","0"
"247","#デストラップ#","53","2005","32701","32832","0","0","1","0"
"248","#デストラップ#","53","2005","32704","32829","0","0","1","0"
"249","#デストラップ#","53","2005","32707","32826","0","0","1","0"
"250","#デストラップ#","53","2005","32710","32823","0","0","1","0"
