"skill_id","name","skill_level","skill_number","mpConsume","hpConsume","itemConsumeId","itemConsumeCount","reuseDelay","buffDuration","target","target_to","damage_value","damage_dice","damage_dice_count","probability_value","probability_dice","limit","attr","type","lawful","ranged","area","through","id","nameid","action_id","action_id2","action_id3","castgfx","castgfx2","castgfx3","sysmsgID_happen","sysmsgID_stop","sysmsgID_fail"
"69","Mass Teleport","9","4","60","0","40318","1","0","0","none","4","0","0","0","0","0","0","0","128","0","0","2","0","16","$1,480 ","19","0","0","2236","0","0","0","0","0"
"70","Firestorm","9","5","48","0","0","0","400","0","none","3","30","15","8","0","0","0","2","64","0","0","3","0","32","$1,975 ","18","0","0","1819","0","0","0","0","0"
"71","Decay Potion","9","6","20","0","40318","2","500","16","buff","3","0","0","0","25","20","0","0","1","0","3","0","0","64","$1,990 ","19","0","0","2232","0","0","0","0","280"
"72","Counter Detection","9","7","30","0","0","0","0","0","none","3","30","10","4","0","0","0","0","64","0","0","-1","0","128","$1,991 ","19","0","0","3934","0","0","0","0","0"
"73","Death Heal","10","0","60","0","40318","1","0","0","buff","1","0","0","0","10","10","0","0","1","0","10","0","0","1","$1481","19","0","0","14501","0","0","4737","4744","280"
"74","Meteor Strike","10","1","60","0","0","0","1500","0","attack","3","35","15","8","0","0","0","2","64","0","10","3","0","2","$1,482 ","18","0","0","762","0","0","0","0","0"
"75","Greater Resurrection","10","2","100","0","40318","1","0","0","buff","3","0","0","0","0","0","0","0","32","0","-1","0","0","4","$1,483 ","19","0","0","3944","0","0","0","0","280"
"76","Greater Slow","10","3","20","0","40318","2","3000","64","buff","3","0","0","0","0","9","0","1","1","0","-1","3","0","8","$1,484 ","19","0","0","3932","0","0","0","0","280"
"77","Disintegrate","10","4","70","0","0","0","4000","0","attack","3","200","250","0","0","0","0","16","64","1","10","0","0","16","$1,485 ","18","0","0","11746","0","0","0","0","0"
"78","Absolute Barrier","10","5","30","0","40318","2","12000","12","none","0","0","0","0","0","0","0","0","2","0","0","0","0","32","$1,992 ","19","0","0","2234","0","0","0","0","0"
"79","Advanced Spirits","10","6","20","0","0","0","0","1200","none","0","0","0","0","0","0","0","0","2","0","-1","0","0","64","$1,993 ","19","0","0","3935","0","0","0","0","280"
"80","Ice Spikes","10","7","30","0","0","0","800","0","attack","3","50","10","2","0","0","0","4","64","0","8","0","0","128","$1,994 ","18","0","0","3687","0","0","0","0","0"
"81","none","7","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","19","0","0","0","0","0","0","0","0"
"82","none","7","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","10","","19","0","0","0","0","0","0","0","0"
"83","none","7","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","3","","19","0","0","0","0","0","0","0","0"
"84","none","7","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","19","0","0","0","0","0","0","0","0"
"85","none","7","0","0","0","0","0","0","900","none","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","19","0","0","2059","0","0","0","0","0"
"86","none","7","0","0","0","0","0","0","30","none","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","19","0","0","760","0","0","0","0","0"
"87","Shock Stun","11","6","13","0","0","0","7000","3","buff","3","0","0","0","50","20","0","0","1","0","1","0","0","64","","19","0","0","4434","0","0","0","0","280"
"88","Reduction Armor","11","7","7","50","0","0","3000","192","none","0","0","0","0","0","0","0","0","2","0","0","0","0","128","","19","0","0","4824","0","0","0","0","0"
"89","Bounce Attack","12","0","10","60","0","0","5000","64","none","0","5","0","0","5","0","0","0","2","0","0","0","0","1","","19","0","0","11728","0","0","0","0","0"
"90","Solid Carriage","12","1","10","100","0","0","3000","192","none","0","0","0","0","0","0","0","0","2","0","0","0","0","2","","19","0","0","2510","0","0","0","0","0"
"91","Counter Barrier","12","2","10","100","0","0","0","64","none","0","0","0","0","50","12","0","0","2","0","0","0","0","4","","19","0","0","10709","0","0","0","0","0"
"92","Absolute Blade","12","3","7","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","8","","19","0","0","14499","0","0","4735","4742","0"
"93","none","7","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","19","0","0","0","0","0","0","0","0"
"94","none","7","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","19","0","0","0","0","0","0","0","0"
"95","none","7","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","19","0","0","0","0","0","0","0","0"
"96","none","7","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","19","0","0","0","0","0","0","0","0"
"97","Blind Hiding","13","0","10","0","0","0","10000","32","none","0","0","0","0","0","0","0","0","2","0","0","0","0","1","$2,504 ","19","0","0","2941","0","0","0","0","0"
"98","Enchant Venom","13","1","10","1","40321","1","0","320","none","0","0","0","0","0","0","0","0","2","0","0","0","0","2","$2,505 ","19","0","0","2942","0","0","814","827","0"
"99","Shadow Armor","13","2","10","5","0","0","0","960","none","0","0","0","0","0","0","0","0","2","0","0","0","0","4","$2,506 ","19","0","0","8977","0","0","0","0","0"
"100","Bling Stone","13","3","5","0","0","0","0","0","none","0","0","0","0","0","0","0","0","2","0","0","0","0","8","$2,507 ","19","0","0","2944","0","0","0","0","0"
"101","Moving Acceleration","13","4","10","0","0","0","0","960","none","0","0","0","0","0","0","0","0","2","0","0","0","0","16","$2,508 ","19","0","0","2945","0","0","0","0","0"
"102","Burning Spirits","13","5","20","0","0","0","3000","320","none","0","0","0","0","0","0","0","0","2","0","0","0","0","32","$2,509 ","19","0","0","11773","0","0","0","0","0"
"103","Shadow Sleep","13","6","20","0","40321","1","1000","64","buff","3","0","0","0","40","10","0","0","4","-10","0","0","0","64","$2,510 ","19","0","0","2947","0","0","147","148","280"
"104","Venom Resist","13","7","20","0","0","0","0","320","none","0","0","0","0","0","0","0","0","2","0","0","0","0","128","$2,511 ","19","0","0","2948","0","0","0","831","0"
"105","Double Break","14","0","30","0","40321","1","0","192","none","0","0","0","0","0","0","0","0","2","0","0","0","0","1","$2,512 ","19","0","0","2949","0","0","823","829","0"
"106","Uncanny Dodge","14","1","20","0","0","0","0","192","none","0","0","0","0","0","0","0","0","2","0","0","0","0","2","$2,513 ","19","0","0","2510","0","0","0","0","0"
"107","Shadow Fang","14","2","30","0","40321","1","0","192","none","0","0","0","0","0","0","0","0","2","0","0","0","0","4","$2,514 ","19","0","0","2951","0","0","0","0","0"
"108","Final Burn","14","3","1","100","40321","3","0","0","attack","3","0","0","0","0","0","0","0","64","0","1","0","0","8","$2,515 ","18","0","0","2952","0","0","0","0","0"
"109","Dress Mighty","14","4","10","0","0","0","0","960","none","0","0","0","0","0","0","0","0","2","0","0","0","0","16","","19","0","0","3909","0","0","292","293","0"
"110","Dress Dexterity","14","5","10","0","0","0","0","960","none","0","0","0","0","0","0","0","0","2","0","0","0","0","32","","19","0","0","3910","0","0","294","295","0"
"111","Dress Evasion","14","6","20","0","0","0","0","192","none","0","0","0","0","0","0","0","0","2","0","0","0","0","64","","19","0","0","3911","0","0","0","0","0"
"112","Armor Break","14","7","40","30","40321","2","500","8","buff","3","0","0","0","60","25","0","0","1","0","2","0","0","128","","19","0","0","3400","0","0","0","0","280"
"113","True Target","15","0","1","0","0","0","0","16","buff","3","0","0","0","0","0","0","0","2","0","-1","0","0","1","$1,995 ","19","0","0","2510","0","0","0","0","0"
"114","Glowing Weapon","15","1","25","0","0","0","0","640","none","0","0","0","0","0","0","0","0","2","0","0","-1","0","2","$1,996 ","19","0","0","11772","0","0","0","0","0"
"115","Shining Shield","15","2","25","0","0","0","0","640","none","0","0","0","0","0","0","0","0","2","0","0","-1","0","4","$1,977 ","19","0","0","10165","0","0","0","0","0"
"116","Cole Cran","15","3","30","0","0","0","0","0","buff","0","0","0","0","0","0","0","0","2","0","0","0","0","8","","19","0","0","0","0","0","0","0","280"
"117","Brave Mentality","15","4","25","0","0","0","0","640","none","0","0","0","0","0","0","0","0","2","0","0","-1","0","16","$3,178 ","19","0","0","3942","0","0","0","0","0"
"118","Ran Clan","15","5","30","0","0","0","0","0","buff","0","0","0","0","0","0","0","0","2","0","0","0","0","32","","19","0","0","0","0","0","0","0","280"
"119","none","15","6","1","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","64","","19","0","0","2510","0","0","0","0","0"
"120","none","15","7","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","128","","19","0","0","2510","0","0","0","0","0"
"121","Brave Avatar","16","8","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","19","0","0","0","0","0","0","0","0"
"122","Grace Avatar","16","9","15","0","0","0","0","15","none","0","0","0","0","0","0","0","0","2","0","0","-1","0","2","","19","0","0","14495","0","0","4734","4741","0"
"123","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","19","0","0","0","0","0","0","0","0"
"124","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","4","","19","0","0","0","0","0","0","0","0"
"125","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","8","","19","0","0","0","0","0","0","0","0"
"126","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","16","","19","0","0","0","0","0","0","0","0"
"127","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","32","","19","0","0","0","0","0","0","0","0"
"128","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","64","","19","0","0","0","0","0","0","0","0"
"129","Resist Magic","17","0","5","0","40319","1","0","1200","none","0","0","0","0","0","0","0","0","2","0","0","0","0","1","","19","0","0","2186","0","0","0","719","0"
"130","Body to Mind","17","1","0","8","0","0","400","0","none","0","0","0","0","0","0","0","0","2","0","0","0","0","2","","19","0","0","2179","0","0","702","0","0"
"131","Teleport to Mother","17","2","10","0","0","0","0","0","none","0","0","0","0","0","0","0","0","128","0","0","0","0","4","","19","0","0","169","0","0","0","0","0"
"132","Triple Arrow","17","3","15","0","0","0","400","0","attack","3","0","0","0","0","0","0","0","64","0","-1","0","0","8","","18","0","0","0","0","0","0","0","0"
"133","Elemental Falldown","17","4","10","0","0","0","0","32","buff","3","0","0","0","30","30","0","0","1","0","-1","0","0","16","","19","0","0","4396","0","0","0","0","280"
"134","Counter Mirror","17","5","20","0","40319","1","0","8","none","0","0","0","0","0","0","0","0","2","0","0","0","0","32","","19","0","0","4395","0","0","0","0","280"
"135","Soul Barrier","17","6","30","0","40319","2","0","600","none","0","0","0","0","0","0","0","0","0","0","0","0","0","64","","19","0","0","14503","0","0","4736","4743","0"
"136","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","128","","19","0","0","0","0","0","0","0","0"
"137","Clear Mind","18","0","10","0","40319","1","0","1200","none","0","0","0","0","0","0","0","0","2","0","0","0","0","1","","19","0","0","2180","0","0","0","722","0"
"138","Resist Element","18","1","10","0","40319","1","0","1200","none","0","0","0","0","0","0","0","0","2","0","0","0","0","2","","19","0","0","2184","0","0","0","721","0"
"139","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","4","","19","0","0","0","0","0","0","0","0"
"140","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","8","","19","0","0","0","0","0","0","0","0"
"141","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","16","","19","0","0","0","0","0","0","0","0"
"142","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","32","","19","0","0","0","0","0","0","0","0"
"143","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","64","","19","0","0","0","0","0","0","0","0"
"144","none","11","0","0","0","0","0","0","0","none","0","0","0","0","0","0","0","0","0","0","0","0","0","128","","19","0","0","0","0","0","0","0","0"
"145","Return to Nature","19","0","30","0","40319","2","0","0","buff","16","0","0","0","30","30","0","0","1","0","-1","0","0","1","","19","0","0","2245","0","0","0","0","280"
"146","Bloody Soul","19","1","0","40","0","0","1200","0","none","0","0","0","0","0","0","0","0","2","0","0","0","0","2","","19","0","0","2178","0","0","0","0","0"
"147","Elemental Protection","19","2","6","0","40319","1","0","64","none","0","0","0","0","0","0","0","0","2","0","0","0","0","4","","19","0","0","2285","0","0","0","0","0"
"148","Fire Weapon","19","3","15","0","0","0","0","960","none","0","0","0","0","0","0","0","2","2","0","-1","0","0","8","","19","0","0","11774","0","0","0","723","280"
"149","Wind Shot","19","4","15","0","0","0","0","960","buff","1","0","0","0","0","0","0","8","2","0","-1","0","0","16","","19","0","0","11729","0","0","0","724","280"
"150","Wind Walk","19","5","15","0","0","0","0","960","none","0","0","0","0","0","0","0","8","2","0","0","0","0","32","","19","0","0","11730","0","0","0","0","0"
"151","Earth Skin","19","6","15","0","0","0","0","960","buff","0","0","0","0","0","0","0","1","2","0","-1","0","0","64","","19","0","0","2249","0","0","725","280","0"
"152","Entanglement","19","7","20","0","40319","1","0","64","buff","3","0","0","0","30","30","0","1","1","0","10","0","0","128","","19","0","0","2250","0","0","711","0","280"
"153","Erase Magic","20","0","20","0","40319","1","0","32","buff","3","0","0","0","35","25","0","0","1","0","-1","0","0","1","","19","0","0","10706","0","0","0","0","280"
"154","Summon Lesser Elemental","20","1","20","0","40319","2","0","0","none","0","0","0","0","0","0","0","0","128","0","0","0","0","2","","19","0","0","2510","0","0","0","0","0"
"155","Dancing Blaze","20","2","40","0","40068","1","0","480","none","0","0","0","0","0","0","0","2","2","0","0","-1","0","4","","19","0","0","11775","0","0","0","723","0"
"156","Storm Eye","20","3","40","0","0","0","0","960","none","8","0","0","0","0","0","0","8","2","0","0","-1","0","8","","19","0","0","11731","0","0","0","724","0"
"157","Earthbound","20","4","18","0","40319","2","0","8","buff","3","0","0","0","35","30","0","1","1","0","-1","0","0","16","","19","0","0","2251","0","0","0","0","280"
"158","Nature's Touch","20","5","20","0","0","0","0","320","buff","1","0","0","0","0","0","0","4","2","0","-1","0","0","32","","19","0","0","2243","0","0","0","0","280"
"159","Earth Guardian","20","6","40","0","0","0","0","960","none","0","0","0","0","0","0","0","1","2","0","0","-1","0","64","","19","0","0","2287","0","0","0","725","0"
"160","Aqua Protector","20","7","30","0","0","0","0","960","buff","1","0","0","0","0","0","0","4","2","0","-1","0","0","128","","19","0","0","5829","0","0","0","0","0"
"161","Area Silence","21","0","40","0","40319","8","9000","16","none","3","0","0","0","30","30","0","0","1","0","0","-1","1","1","","19","0","0","10707","0","0","0","0","0"
"162","Greater Elemental","21","1","20","0","40319","4","0","0","none","0","0","0","0","0","0","0","0","128","0","0","0","0","2","","19","0","0","2510","0","0","0","0","0"
"163","Burning Weapon","21","2","30","0","0","0","0","960","none","0","0","0","0","0","0","0","2","2","0","0","0","0","4","","19","0","0","11776","0","0","0","723","280"
"164","Nature's Blessing","21","3","30","0","0","0","0","0","none","8","10","12","0","0","0","0","4","16","0","0","-1","0","8","","19","0","0","2244","0","0","0","0","0"
"165","Call of Nature","21","4","50","0","40319","1","0","0","buff","3","0","0","0","0","0","0","4","32","0","10","0","0","16","","19","0","0","2245","0","0","0","0","280"
"166","Storm Shot","21","5","30","0","0","0","0","960","none","0","0","0","0","0","0","0","8","2","0","0","0","0","32","","19","0","0","11732","0","0","0","724","280"
"167","Wind Shackle","21","6","15","0","40319","1","0","16","buff","3","0","0","0","30","30","0","8","1","0","-1","0","0","64","","19","0","0","11733","0","0","1001","0","280"
"168","Iron Skin","21","7","30","0","0","0","0","960","none","0","0","0","0","0","0","0","1","2","0","0","0","0","128","","19","0","0","2252","0","0","714","725","280"
