"npcid","normal_action","caotic_action","teleport_url","teleport_urla"
"50004","htel","htel","htel1",""
"50005","karen3","karen3","karen1",""
"50006","coco4","coco4","coco1",""
"50007","esmereld","esmereld","esmereld",""
"50008","aghvout","aghvout","agout",""
"50009","ishtar1","ishtar1","ishtar",""
"50010","stel","stel","stel1",""
"50011","kun4","kun4","kun2",""
"50012","kiyari4","kiyari4","kiyari2",""
"50013","agsiout","agsiout","agout",""
"50014","dilong2","dilong2","dilongs",""
"50016","zeno","zeno","zeno2",""
"50017","telefire1","telefire2","telefire3",""
"50018","colos","colos","colos1",""
"50019","colusher","colusher","",""
"50021","teleckent1","teleckent1","teleckent2",""
"50022","telefire1","telefire2","telefire3",""
"50023","kentober1","kentober1","kentober2",""
"50025","gltzguard","gltzguard","gltzguard1",""
"50026","telegltz1","telegltz1","telegltz2",""
"50027","gltztele","gltztele","gltztele1",""
"50028","colos","colos","colos1",""
"50029","colusher","colusher","",""
"50030","telefire1","telefire2","telefire3",""
"50031","sepia2","sepia2","",""
"50032","grtzguard","grtzguard","grtzguard1",""
"50033","telegrtz1","telegrtz1","telegrtz2",""
"50034","grtztele","grtztele","grtztele1",""
"50035","telecgiran1","telecgiran1","telecgiran2",""
"50037","colos","colos","colos1",""
"50038","colusher","colusher","",""
"50040","telecdwarf1","telecdwarf1","telecdwarf2",""
"50041","colos","colos","colos1",""
"50042","colusher","colusher","",""
"50043","ramudap2","ramudap2","ramudap1",""
"50045","edlen1","edlen1","",""
"50047","telecaden1","telecaden1","telecaden2",""
"50048","ortzguard","ortzguard","ortzguard1",""
"50049","teleortz1","teleortz1","teleortz2",""
"50050","ortztele","ortztele","ortztele1",""
"50052","telecwoods1","telecwoods1","telecwoods2",""
"50053","telefire1","telefire2","telefire3",""
"50055","drist2","drist2","",""
"50057","telefire1","telefire2","telefire3",""
"50058","sktzguard","sktzguard","sktzguard1",""
"50059","telesktz1","telesktz1","telesktz2",""
"50060","sktztele","sktztele","sktztele1",""
"50061","colos","colos","colos1",""
"50062","colusher","colusher","",""
"50063","telecorc1","telecorc1","telecorc2",""
"50064","duvall1","duvall1","duvall3",""
"50065","ribian4","ribian4","",""
"50067","telecheine1","telecheine1","telecheine2",""
"50068","telescave1","telescave1","telescave2",""
"50069","enya3","enya3","enya1",""
"50070","chisvall1","chisvall1","escapefi2",""
"50071","escapefi1","escapefi1","escapefi2",""
"50072","teleoum1","teleoum1","teleoum2",""
"50073","telediad1","telediad1","telediad2",""
"50074","telecavern1","telecavern1","telecavern2",""
"50075","telecdiad1","telecdiad1","telecdiad2",""
"50076","telgrave1","telgrave1","telgrave2",""
"50077","telabyss1","telabyss1","telabyss2",""
"50078","picrystal","picrystal","picrystal1",""
"50080","paul1","paul1","teleorcbdg1",""
"50081","subinvest1","subinvest1","",""
"50084","exitghost1","exitghost1","",""
"50111","orenc14","orenc14","",""
"50112","orenb1","orenb1","orenb0",""
"50113","orena1","orena1","orena0",""
"50114","orenh1","orenh1","orenh0",""
"50115","oreno1","oreno1","oreno0",""
"50116","orend1","orend1","orend0",""
"50117","orene1","orene1","orene0",""
"50118","niki","niki","",""
"50119","orenf1","orenf1","orenf0",""
"50120","oreni1","oreni1","oreni0",""
"50121","oreng1","oreng1","oreng0",""
"50122","orenj1","orenj1","orenj0",""
"50123","orenk1","orenk1","orenk0",""
"50124","orenm1","orenm1","orenm0",""
"50125","orenl1","orenl1","orenl0",""
"50126","orenn1","orenn1","orenn0",""
"50127","consul2","consul2","consul1",""
"50501","agit","agit","agtel0",""
"50502","agit","agit","agtel0",""
"50503","agit","agit","agtel0",""
"50504","agit","agit","agtel0",""
"50505","agit","agit","agtel0",""
"50506","agit","agit","agtel0",""
"50507","agit","agit","agtel0",""
"50508","agit","agit","agtel0",""
"50509","agit","agit","agtel0",""
"50510","agit","agit","agtel0",""
"50511","agit","agit","agtel0",""
"50512","agit","agit","agtel0",""
"50513","agit","agit","agtel0",""
"50514","agit","agit","agtel0",""
"50515","agit","agit","agtel0",""
"50516","agit","agit","agtel0",""
"50517","agit","agit","agtel0",""
"50518","agit","agit","agtel0",""
"50519","agit","agit","agtel0",""
"50520","agit","agit","agtel0",""
"50521","agit","agit","agtel0",""
"50522","agit","agit","agtel0",""
"50523","agit","agit","agtel0",""
"50524","agit","agit","agtel0",""
"50525","agit","agit","agtel0",""
"50526","agit","agit","agtel0",""
"50527","agit","agit","agtel0",""
"50528","agit","agit","agtel0",""
"50529","agit","agit","agtel0",""
"50530","agit","agit","agtel0",""
"50531","agit","agit","agtel0",""
"50532","agit","agit","agtel0",""
"50533","agit","agit","agtel0",""
"50534","agit","agit","agtel0",""
"50535","agit","agit","agtel0",""
"50536","agit","agit","agtel0",""
"50537","agit","agit","agtel0",""
"50538","agit","agit","agtel0",""
"50539","agit","agit","agtel0",""
"50540","agit","agit","agtel0",""
"50541","agit","agit","agtel0",""
"50542","agit","agit","agtel0",""
"50543","agit","agit","agtel0",""
"50544","agit","agit","agtel0",""
"50545","agit","agit","agtel0",""
"50546","agit","agit","agtel0",""
"50547","agit","agit","agtel0",""
"50548","agit","agit","agtel0",""
"50549","agit","agit","agtel0",""
"50550","agit","agit","agtel0",""
"50551","agit","agit","agtel0",""
"50552","agit","agit","agtel0",""
"50553","agit","agit","agtel0",""
"50554","agit","agit","agtel0",""
"50555","agit","agit","agtel0",""
"50556","agit","agit","agtel0",""
"50557","agit","agit","agtel0",""
"50558","agit","agit","agtel0",""
"50559","agit","agit","agtel0",""
"50560","agit","agit","agtel0",""
"50561","agit","agit","agtel0",""
"50562","agit","agit","agtel0",""
"50563","agit","agit","agtel0",""
"50564","agit","agit","agtel0",""
"50565","agit","agit","agtel0",""
"50566","agit","agit","agtel0",""
"50567","agit","agit","agtel0",""
"50568","agit","agit","agtel0",""
"50569","agit","agit","agtel0",""
"50570","agit","agit","agtel0",""
"50571","agit","agit","agtel0",""
"50572","agit","agit","agtel0",""
"50573","agit","agit","agtel0",""
"50574","agit","agit","agtel0",""
"50575","agit","agit","agtel0",""
"50576","agit","agit","agtel0",""
"50577","agit","agit","agtel0",""
"50578","agit","agit","agtel0",""
"50579","agit","agit","agtel0",""
"50580","agit","agit","agtel0",""
"50581","agit","agit","agtel0",""
"50582","agit","agit","agtel0",""
"50583","agit","agit","agtel0",""
"50584","agit","agit","agtel0",""
"50585","agit","agit","agtel0",""
"50586","agit","agit","agtel0",""
"50587","agit","agit","agtel0",""
"50588","agit","agit","agtel0",""
"50589","agit","agit","agtel0",""
"50590","agit","agit","agtel0",""
"50591","agit","agit","agtel0",""
"50592","agit","agit","agtel0",""
"50593","agit","agit","agtel0",""
"50594","agit","agit","agtel0",""
"50595","agit","agit","agtel0",""
"50596","agit","agit","agtel0",""
"50597","agit","agit","agtel0",""
"50598","agit","agit","agtel0",""
"50599","agit","agit","agtel0",""
"50600","agit","agit","agtel0",""
"50601","agit","agit","agtel0",""
"50602","agit","agit","agtel0",""
"50603","agit","agit","agtel0",""
"50604","agit","agit","agtel0",""
"50605","agit","agit","agtel0",""
"50606","agit","agit","agtel0",""
"50607","agit","agit","agtel0",""
"50608","kinin2","kinin2","",""
"50609","agit","agit","agtel0",""
"50610","agit","agit","agtel0",""
"50611","agit","agit","agtel0",""
"50612","agit","agit","agtel0",""
"50613","agit","agit","agtel0",""
"50614","agit","agit","agtel0",""
"50615","agit","agit","agtel0",""
"50616","agit","agit","agtel0",""
"50617","agit","agit","agtel0",""
"50618","agit","agit","agtel0",""
"50619","agit","agit","agtel0",""
"50620","agit","agit","agtel0",""
"50621","agit","agit","agtel0",""
"50622","agit","agit","agtel0",""
"50623","agit","agit","agtel0",""
"50624","agit","agit","agtel0",""
"50625","acient1","acient1","",""
"50626","agit","agit","agtel0",""
"50627","agit","agit","agtel0",""
"50628","agit","agit","agtel0",""
"50629","agit","agit","agtel0",""
"50630","agit","agit","agtel0",""
"50631","agit","agit","agtel0",""
"60001","nuriel","nuriel","",""
"60002","nuriel","nuriel","",""
"60003","nuriel","nuriel","",""
"60004","nuriel","nuriel","",""
"60005","nuriel","nuriel","",""
"60006","nuriel","nuriel","",""
"60007","nuriel","nuriel","",""
"60008","nuriel","nuriel","",""
"60009","nuriel","nuriel","",""
"60010","nuriel","nuriel","",""
"60011","nuriel","nuriel","",""
"60012","nuriel","nuriel","",""
"60013","nuriel","nuriel","",""
"60014","nuriel","nuriel","",""
"60015","nuriel","nuriel","",""
"60016","nuriel","nuriel","",""
"60017","nuriel","nuriel","",""
"60018","nuriel","nuriel","",""
"60019","nuriel","nuriel","",""
"60020","nuriel","nuriel","",""
"60021","nuriel","nuriel","",""
"60022","nuriel","nuriel","",""
"60023","nuriel","nuriel","",""
"60024","nuriel","nuriel","",""
"60025","nuriel","nuriel","",""
"60026","orclon","orclon","porclon",""
"60027","nuriel","nuriel","",""
"60028","elE1","elE1","elCE1",""
"60029","nuriel","nuriel","",""
"60030","nuriel","nuriel","",""
"60031","nuriel","nuriel","",""
"60032","garin","garinl","pgarin",""
"60033","gawl","gawll","pgawl",""
"60034","nuriel","nuriel","",""
"60035","zidar","zadarl","pgawl",""
"60036","tigus","tigusl","pgawl",""
"60037","en1011","en1011","",""
"60169","gunterdg1","gunterdg1","",""
"60501","patguard","patguard","",""
"60502","patguard","patguard","",""
"60506","","","",""
"60507","","","",""
"60508","","","",""
"60509","","","",""
"60510","","","",""
"60513","","","",""
"60514","ktguard6","ktguard6","ktguard6",""
"60515","","","",""
"60516","","","",""
"60517","","","",""
"60522","","","",""
"60523","","","",""
"60524","grguard6","grguard6","grguard6",""
"60525","grguard6","grguard6","grguard6",""
"60526","","","",""
"60527","","","",""
"60528","","","",""
"60529","grguard6","grguard6","grguard6",""
"60530","dcguard6","dcguard6","dcguard6",""
"60531","dcguard6","dcguard6","dcguard6",""
"60533","adguard6","adguard6","adguard6",""
"60534","adguard6","adguard6","adguard6",""
"60537","adguard6","adguard6","adguard6",""
"60538","adguard6","adguard6","adguard6",""
"60539","adguard6","adguard6","adguard6",""
"60540","adguard6","adguard6","adguard6",""
"60551","","","",""
"60552","wdguard6","wdguard6","wdguard6",""
"60553","","","",""
"60554","","","",""
"60558","sdummy1","sdummy1","",""
"60559","sdummy1","sdummy1","",""
"60560","orcguard6","orcguard6","orcguard6",""
"60563","heguard6","heguard6","heguard6",""
"60565","wdguard4","wdguard4","wdguard5",""
"70000","marbinquest7","marbinquest7","",""
"70001","rose1","rose1","rose6",""
"70002","sasha","sasha","",""
"70003","siriss","siriss","sirissmg",""
"70004","johan","johan","johan1",""
"70005","en0131","en0131","",""
"70006","kiris","kiris","",""
"70007","tina1","tina1","tina6",""
"70008","fraoun","fraoun","",""
"70009","","","",""
"70010","balsim","balsim","",""
"70011","shipEvI3","shipEvI1","",""
"70012","inn","Inn1","",""
"70013","cold1","cold2","",""
"70014","pandora","pandora5","",""
"70015","arieh1","arieh1","arieh6",""
"70016","andyn","andyn","andyn3",""
"70017","orim1","orim1","orim2",""
"70018","ysorya","ysorya","ysorya3",""
"70019","inn","Inn1","",""
"70020","rrollko","rrollko","rrollko1",""
"70021","luth","luth","luth3",""
"70022","shipEvM1","shipEvM1","shipEvM2",""
"70023","tzmerchant","tzmerchant","",""
"70024","catty","catty","catty3",""
"70025","pasim","pasim","pasim2",""
"70026","derek1","derek1","derek2",""
"70027","crafttable","crafttable","0",""
"70028","crafttable","crafttable","",""
"70029","margaret1","margaret1","margaret2",""
"70030","mayer","mayer","mayer3",""
"70031","inn","Inn1","",""
"70032","vergil","vergil","vergil3",""
"70033","verita","verita","verita3",""
"70034","vincent1","vincent1","vincent2",""
"70035","raymond1","raymond1","",""
"70036","stella1","stella1","stella6",""
"70037","tzmerchant","tzmerchant","",""
"70038","evert1","evert1","evert2",""
"70039","werner","werner","werner3",""
"70040","jason1","jason1","jason2",""
"70041","raymond1","raymond1","",""
"70042","raymond1","raymond1","",""
"70043","philip1","philip1","philip2",""
"70044","ralf1","ralf1","ralf6",""
"70045","berry1","berry1","berry6",""
"70046","pandora","pandora","",""
"70047","defman","defman","defman3",""
"70048","raon","raon","raon3",""
"70049","rozen1","rozen1","rozen2",""
"70050","ruky1","ruky1","ruky6",""
"70051","magus","magus","magus2",""
"70052","mellisa","mellisa","mellisa3",""
"70053","sharu1","sharu1","sharu2",""
"70054","inn","Inn1","",""
"70055","ashinnue","ashinnue","",""
"70056","jode","jode","jode1",""
"70057","catherine","catherine","catherine3",""
"70058","fega","fega","fega3",""
"70059","dico","dico","dico3",""
"70060","rinda","rinda","rinda3",""
"70061","mandra","mandra","mandra3",""
"70062","varyeth","varyeth","varyeth3",""
"70063","bius","bius","bius3",""
"70064","tzmerchant","tzmerchant","",""
"70065","inn","Inn1","",""
"70066","kreister","kreister","kreister3",""
"70067","pagoru","pagoru","pagoru3",""
"70068","franko","franko","franko1",""
"70069","momo1","momo1","momo6",""
"70070","inn","Inn1","",""
"70071","ashur","ashur","ashur3",""
"70072","elmina","elmina","elmina3",""
"70073","glen","glen1","",""
"70074","mellin","mellin1","",""
"70075","inn","Inn1","",""
"70076","tzmerchant","tzmerchant","",""
"70077","dogdealer","dogdealer","rodney",""
"70078","orcm1","orcm1","orcm6",""
"70079","jackson","jackson","jackson3",""
"70080","horunev1","horunev1","horunev2",""
"70081","buakheu1","buakheu1","buakheu2",""
"70082","britt","britt","britt3",""
"70083","shivan","shivan","shivan3",""
"70084","inn","Inn1","",""
"70085","old1","old1","old6",""
"70086","chisvall1","chisvall1","",""
"70087","sedia4","sedia4","",""
"70088","scwaty1","scwaty1","scwaty2",""
"70089","oblivion1","oblivion1","oblivion2",""
"70090","chiky1","chiky1","chiky3",""
"70091","tilon1","tilon1","tilon13",""
"70092","emart","emart","",""
"70093","karupu","karupu","",""
"70094","duran","duran","duran2",""
"70095","duron1","duron1","",""
"70096","inn","Inn1","",""
"70097","foni1","foni1","",""
"70098","bobo1","bobo1","",""
"70099","kuper2","kuper2","",""
"70100","lengo1","lengo1","",""
"70101","fiin1","fiin1","",""
"70102","judice1","judice1","",""
"70503","goodman","goodman","",""
"70504","neutralman","neutralman","",""
"70506","en0101","en0101","",""
"70507","rion1","rion1","rion2",""
"70508","enchanterw1","enchanterw1","encw",""
"70509","enchantera1","enchantera1","enca",""
"70510","newgypsy","newgypsy","gypsy1",""
"70511","evilman","evilman","",""
"70512","noved","noved","",""
"70513","peria1","peria1","peria2",""
"70514","freehaste","freehaste","",""
"70517","cuse1","cuse1","cuse3",""
"70518","tio","tio","",""
"70519","peria1","peria1","peria2",""
"70520","alchemy1","alchemy1","alchemy4",""
"70522","","","",""
"70523","ladar1","ladarC1","",""
"70524","lavienue9","lavienue9","lavienue2",""
"70525","lien1","lienC1","",""
"70526","raiders1","raiders1","raiders3",""
"70527","lengo1","lengo1","",""
"70528","othertown","othertown","othertownh",""
"70529","mona1","mona1","",""
"70530","restore1pk","restore1pk","helppk",""
"70531","jem2","jem2","",""
"70532","johnson1","johnson1","",""
"70533","judice1","judice1","",""
"70534","secretary1","secretary1","secretary4",""
"70535","kuper1","kuper1","",""
"70536","touma1","touma1","touma2",""
"70537","farlin1","farlinC1","",""
"70538","bpledge2","bpledge2","bpledge1",""
"70539","fiin1","fiin1","",""
"70540","alchemy1","alchemy1","alchemy4",""
"70544","dick1","dick1","dick2",""
"70545","richard3","richard3","",""
"70546","othertown","othertown","othertownh",""
"70547","encwc","encwc","",""
"70549","gatekeeperop","gatekeeperop","gatekeeperop",""
"70550","encac","encac","",""
"70553","ishmael1","ishmael1","ishmael2",""
"70554","zero2","zero2","",""
"70555","","","",""
"70556","secretary1","secretary1","secretary4",""
"70560","bpledge2","bpledge2","bpledge1",""
"70562","hunt1","hunt1","hunt2",""
"70563","alchemy1","alchemy1","alchemy4",""
"70567","othertown","othertown","othertownh",""
"70568","yuno","yuno","",""
"70572","secretary1","secretary1","secretary4",""
"70574","alchemy1","alchemy1","alchemy4",""
"70577","auction1","auction1","auction3",""
"70594","othertown","othertown","othertownh",""
"70598","moria1","moria1","moria4",""
"70599","encwc","encwc","",""
"70600","orckeeperop","orckeeperop","orckeeperop",""
"70601","encac","encac","",""
"70605","blaise1","blaise1","blaise4",""
"70607","sarsha1","sarsha1","sarsha2",""
"70611","restore1pk","restore1pk","",""
"70614","anton3","anton3","",""
"70617","almon1","almon1","almon2",""
"70623","orville1","orville1","orville2",""
"70631","secretary4","secretary4","secretary1",""
"70632","kevin1","kevin1","kevin2",""
"70633","colbert1","colbert1","colbert2",""
"70641","crafttable","crafttable","",""
"70642","crafttable","crafttable","",""
"70644","bpledge2","bpledge2","bpledge1",""
"70645","alchemy1","alchemy1","alchemy4",""
"70652","laryaide1","laryaide1","",""
"70653","masha","masha","",""
"70654","othertown","othertown","othertownh",""
"70655","encwc","encwc","",""
"70656","gatekeeperop","gatekeeperop","gatekeeperop",""
"70657","encac","encac","",""
"70658","restore1pk","restore1pk","",""
"70660","gdummyc1","gdummyc1","",""
"70661","gdummy1","gdummy1","",""
"70662","crafttable","crafttable","0",""
"70663","secretary1","secretary1","secretary4",""
"70664","cove1","cove1","cove2",""
"70665","potempin1","potempin1","potempin2",""
"70666","freckson1","freckson1","freckson2",""
"70667","bpledge2","bpledge2","bpledge1",""
"70668","alchemy1","alchemy1","alchemy4",""
"70670","citizen8","citizen8","",""
"70671","nose","nose","nose1",""
"70674","reona1","reona1","reona2",""
"70675","citizen1","citizen1","",""
"70676","ryumiel1","ryumiel1","",""
"70683","montes2","montes2","montes4",""
"70686","encwc","encwc","",""
"70687","gatekeeperop","gatekeeperop","gatekeeperop",""
"70688","citizen10","citizen10","",""
"70690","crafttable","crafttable","",""
"70692","encac","encac","",""
"70695","biust1","biust1","biust2",""
"70701","restore","restore","",""
"70702","ring1","ring1","",""
"70707","eno1","eno1","enoc1",""
"70711","giantk1","giantk1","giantk2",""
"70715","jimuk1","jimuk1","jimuk2",""
"70721","timon1","timon1","timon2",""
"70722","paruit01","paruit01","paruitC",""
"70723","pau1","pau1","pau2",""
"70724","heit4","heit4","",""
"70725","bpledge2","bpledge2","bpledge1",""
"70734","alchemy1","alchemy1","alchemy4",""
"70739","dicardinge1","dicardinge1","dicardinge2",""
"70740","zero2","zero2","",""
"70742","detecter1","detecter1","detecter2",""
"70744","roje16","roje16","",""
"70748","othertown","othertown","othertownh",""
"70749","mild1","mild1","mild2",""
"70751","newbrad1","newbrad1","",""
"70757","restore1pk","restore1pk","",""
"70758","sabin","sabin","",""
"70760","ellyonne","ellyonne","ellyonne4",""
"70761","secretary1","secretary1","secretary4",""
"70762","karif1","karif1","",""
"70763","crafttable","crafttable","",""
"70764","taus","taus","",""
"70768","alchemy1","alchemy1","alchemy4",""
"70771","randith1","randith1","randith2",""
"70772","ladar1","ladarC1","",""
"70773","marbin1","marbin1","marbin2",""
"70774","othertown","othertown","othertownh",""
"70775","mark1","mark1","mark2",""
"70776","meg4","meg4","",""
"70777","encwc","encwc","",""
"70778","gatekeeperop","gatekeeperop","gatekeeperop",""
"70779","ants2","ants2","antss",""
"70780","encac","encac","",""
"70781","restore1pk","restore1pk","",""
"70782","ant2","ant2","",""
"70783","aria4","aria4","",""
"70784","othmond1","othmond1","othmond2",""
"70788","secretary1","secretary1","secretary4",""
"70789","halt1","halt1","halt2",""
"70790","bpledge2","bpledge2","bpledge1",""
"70792","alchemy1","alchemy1","alchemy4",""
"70794","","","",""
"70796","dunham2","dunham2","",""
"70797","drist","drist","",""
"70798","newbiegate1","newbiegate1","",""
"70799","othertown","othertown","othertownh",""
"70800","gatekeeperop","gatekeeperop","gatekeeperop",""
"70801","restore1pk","restore1pk","",""
"70802","aanon1","aanon1","",""
"70804","lien1","lienC1","",""
"70805","ladar1","ladarC1","",""
"70806","secretary1","secretary1","secretary4",""
"70807","farlin1","farlinC1","",""
"70808","alchemy1","alchemy1","alchemy4",""
"70809","","","",""
"70811","crafttable","crafttable","",""
"70815","othertown","othertown","othertownh",""
"70816","encwc","encwc","",""
"70817","gatekeeperop","gatekeeperop","gatekeeperop",""
"70820","encac","encac","",""
"70822","seghem1","seghem1","seghem2",""
"70823","restore1pk","restore1pk","",""
"70824","assassin4","assassin4","",""
"70826","oth2","oth2","",""
"70830","secretary1","secretary1","secretary4",""
"70831","kentu1","kentu1","kentu2",""
"70836","hans1","hans1","hans2",""
"70837","narhenE3","narhenE3","narhenE1",""
"70838","nerupaE1","nerupaE1","nerupaCE1",""
"70839","doettE1","doettE1","",""
"70840","robinwood1","robinwood1","robinwood3",""
"70841","luudiel1","luudiel1","",""
"70842","marba3","marba3","",""
"70843","morienE1","morienE1","",""
"70844","","","",""
"70846","arachnee1","arachnee1","arachnem1",""
"70847","estE1","estE1","estCE1",""
"70848","ente1","ente1","entm1",""
"70849","theodorE1","theodorE1","",""
"70850","pane1","pane1","panm1",""
"70851","fairye1","fairye1","fairym1",""
"70852","fairyqe1","fairyqe1","fairyqm1",""
"70853","fairyp3","fairyp3","",""
"70854","hurinE1","hurinE1","",""
"70855","alchemy1","alchemy1","alchemy4",""
"70857","heguard6","heguard6","heguard6",""
"70860","othertown","othertown","othertownh",""
"70861","encwc","encwc","",""
"70862","gatekeeperop","gatekeeperop","gatekeeperop",""
"70863","gatekeeperop","gatekeeperop","gatekeeperop",""
"70865","encac","encac","",""
"70872","eveurol1","eveurol1","eveurol5",""
"70873","ellan1","ellan1","ellan2",""
"70876","secretary1","secretary1","secretary4",""
"70880","fisher1","fisher1","fisher2",""
"70881","","","",""
"70882","vaiger1","vaiger1","vaiger2",""
"70884","bpledge2","bpledge2","bpledge1",""
"70885","kanguard4","kanguard4","",""
"70889","citizen6","citizen6","",""
"70890","rabor","rabor","",""
"70892","ronde6","ronde6","",""
"70894","rondedum","rondedum","",""
"70895","bluedikaq4","bluedikaq4","",""
"70896","bluedum","bluedum","",""
"70898","inn","Inn1","",""
"70903","kandum","kandum","",""
"70904","crafttable","crafttable","",""
"70906","kimaq1","kimaq1","kimaq2",""
"70908","piers05","piers05","",""
"70909","pierot1","pierot1","",""
"70910","hadesty1","hadesty1","hadesty2",""
"70912","woumsix1","woumsix1","",""
"70913","woumfour1","woumfour1","",""
"70916","redin1","redin1","",""
"70917","burns1","burns1","",""
"70919","smiter1","smiter1","",""
"70920","dfguard1","dfguard1","",""
"70922","credonas1","credonas1","",""
"70923","olle1","olle1","",""
"70924","genes1","genes1","",""
"70925","elderoum1","elderoum1","",""
"70927","coderage1","coderage1","",""
"70928","tristan1","tristan1","",""
"70934","lesta","lesta","",""
"70953","alchemy1","alchemy1","alchemy4",""
"70964","basch","basch","",""
"70970","clalchemist1","clalchemist1","clalchemist2",""
"70971","sialchemist1","sialchemist1","sialchemist2",""
"70980","orenc0","orenc0","",""
"70981","hen1","hen1","",""
"70983","pig1","pig1","",""
"70984","milkcow1","milkcow1","none",""
"70985","gatekeeperop","gatekeeperop","gatekeeperop",""
"70986","orckeeperop","orckeeperop","orckeeperop",""
"70987","gatekeeperop","gatekeeperop","gatekeeperop",""
"70988","gatekeeperop","gatekeeperop","gatekeeperop",""
"70989","gatekeeperop","gatekeeperop","gatekeeperop",""
"70990","gatekeeperop","gatekeeperop","gatekeeperop",""
"70991","gatekeeperop","gatekeeperop","gatekeeperop",""
"70992","gatekeeperop","gatekeeperop","gatekeeperop",""
"70993","gatekeeperop","gatekeeperop","gatekeeperop",""
"70994","gatekeeperop","gatekeeperop","gatekeeperop",""
"70995","gatekeeperop","gatekeeperop","gatekeeperop",""
"70996","gatekeeperop","gatekeeperop","gatekeeperop",""
"70998","en0307","en0307","",""
"71005","jpe0041","jpe0041","",""
"71006","jpe0051","jpe0051","",""
"71007","en0031","en0031","",""
"71013","karen2","karen2","",""
"71018","jpe0134","jpe0134","",""
"71019","jpe0115","jpe0115","",""
"71020","jpe0121","jpe0121","",""
"71021","en0197","en0197","",""
"71022","jpe0151","jpe0151","",""
"71023","jpe0141","jpe0141","",""
"71024","garret1","garret1","",""
"71025","jpe0086","jpe0086","",""
"71028","en0121","en0121","",""
"71029","en0291","en0291","",""
"71031","en0085","en0085","",""
"71036","kamyla000","kamyla000","",""
"71038","orcfnoname1","orcfnoname1","",""
"71039","orcfbuwoo1","orcfbuwoo1","",""
"71040","orcfnoa2","orcfnoa2","",""
"71041","orcfhuwoomo1","orcfhuwoomo1","",""
"71042","orcfbakumo1","orcfbakumo1","",""
"71043","orcfbuka1","orcfbuka1","",""
"71044","orcfkame1","orcfkame1","",""
"71045","orcfbawoo1","orcfbawoo1","",""
"71046","roberto","roberto","",""
"71047","lupus","lupus","",""
"71048","karu","karu","",""
"71051","monett","monett","",""
"71052","enishia","enishia","",""
"71053","berik1","berik1","",""
"71054","roxxan","roxxan","",""
"71055","lukein1","lukein1","",""
