"mapid","locationname","startX","endX","startY","endY","monster_amount","drop_rate","underwater","markable","teleportable","escapable","resurrection","painwand","penalty","take_pets","recall_pets","usable_item","usable_skill"
"58","隠された渓谷","32512","32831","32704","33023","1","1","0","0","1","1","1","0","1","0","0","1","1"
"59","水中ダンジョン1階","32640","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"60","水中ダンジョン2階","32640","32767","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"61","水中ダンジョン3階","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"62","エヴァの神殿","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"63","エヴァの王国","32576","32895","32640","32959","1","1","1","0","1","1","1","0","1","1","1","1","1"
"64","ハイネ耐性","32512","32639","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"65","パプリオンの巣","32704","32831","32768","32895","1","1","1","0","0","0","1","1","1","0","0","1","1"
"66","ドワーフ性","32704","32895","32768","32959","1","1","0","1","0","1","1","1","1","1","1","1","1"
"67","ヴァラカスの巣","32640","32831","32704","32895","1","1","0","0","0","0","1","1","1","1","1","1","1"
"68","歌う島(new)削除","32576","33023","32512","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"69","隠された谷(new)削除","32512","32831","32704","33023","1","1","0","0","1","1","1","1","1","1","1","1","1"
"70","忘れられた島","32576","33023","32640","33087","1","1","0","0","0","0","1","1","1","1","1","1","1"
"72","修正洞窟1階","32704","32895","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"73","修正洞窟2階","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"74","修正洞窟3階","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"75","象牙の塔1階","32704","32831","32768","32959","1","1","0","0","1","1","1","1","1","1","1","1","1"
"76","象牙の塔2階","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"77","象牙の塔3階","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"78","象牙の塔4階","32832","32959","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"79","象牙の塔5階","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"80","象牙の塔6階","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"81","象牙の塔7階","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"82","象牙の塔8階","32640","32767","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"83","本土→イッソム倍","32704","32767","32768","32831","1","1","0","0","0","1","1","0","1","1","1","1","1"
"84","イッソム→本土倍","32704","32767","32768","32831","1","1","0","0","0","1","1","0","1","1","1","1","1"
"85","歌う島のダンジョン - 削除","32576","32767","32704","32895","1","1","0","0","1","1","1","0","1","1","1","1","1"
"86","隠された渓谷の地下牢 - 削除","32768","32959","32704","32895","1","1","0","0","1","1","1","0","1","1","1","1","1"
"87","掘りの部屋","32704","32767","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"88","ギランコロシアム","33472","33535","32704","32767","1","1","0","0","0","1","0","1","1","1","0","1","1"
"89","ギランコロシアム","32640","32767","32832","32959","1","1","0","0","0","1","0","1","1","1","0","1","1"
"90","ギランコロシアム","32640","32767","32832","32959","1","1","0","0","0","1","0","1","1","1","0","1","1"
"91","話せる島コロシアム","32640","32767","32832","32959","1","1","0","0","0","1","0","1","1","0","0","1","1"
"92","グルーディンコロシアム","32640","32767","32832","32959","1","1","0","0","0","1","0","1","1","0","0","1","1"
"93","ケントコロシアム","32640","32767","32832","32959","1","1","0","0","0","1","0","1","1","1","0","1","1"
"94","ウィンダウッドコロシアム","32640","32767","32832","32959","1","1","0","0","0","1","0","1","1","1","0","1","1"
"95","はナイトの村コロシアム","32640","32767","32832","32959","1","1","0","0","0","1","0","1","1","0","0","1","1"
"96","華東コロシアム","32640","32767","32832","32959","1","1","0","0","0","1","0","1","1","1","0","1","1"
"97","ハイネコロシアム","32640","32767","32832","32959","1","1","0","0","0","1","0","1","1","1","0","1","1"
"98","ウェルダンコロシアム","32640","32767","32832","32959","1","1","0","0","0","1","0","1","1","0","0","1","1"
"99","Gm Room","32704","32767","32768","32831","1","1","0","0","0","0","1","0","1","0","0","1","1"
"100","性(グラフィック壊れところ)","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"101","傲慢の塔1階","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"102","傲慢の塔2階","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"103","傲慢の塔3階","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"104","傲慢の塔4階","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"105","傲慢の塔5階","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"106","傲慢の塔6階","32576","33855","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"107","傲慢の塔7階","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"108","傲慢の塔8階","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"109","傲慢の塔9階","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"110","傲慢の塔10階","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"111","傲慢の塔上層","32576","32831","32768","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"112","傲慢の塔：12系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"113","傲慢の塔：13系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"114","傲慢の塔：14系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"115","傲慢の塔15系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"116","傲慢の塔：16系","32704","32831","32832","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"117","傲慢の塔：17系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"118","傲慢の塔：18系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"119","傲慢の塔：19系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"120","傲慢の塔20系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"121","傲慢の塔：21系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"122","傲慢の塔：22系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"123","傲慢の塔：23系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"124","傲慢の塔：24系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"125","傲慢の塔：25系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"126","傲慢の塔：26系","32704","32831","32832","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"127","傲慢の塔：27系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"128","傲慢の塔：28系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"129","傲慢の塔：29系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"130","傲慢の塔30系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"131","傲慢の塔：31系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"132","傲慢の塔：32系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"133","傲慢の塔：33系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"134","傲慢の塔：34系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"135","傲慢の塔35系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"136","傲慢の塔：36系","32704","32831","32832","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"137","傲慢の塔：37系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"138","傲慢の塔：38系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"139","傲慢の塔：39系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"140","傲慢の塔40系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"141","傲慢の塔：41系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"142","傲慢の塔：42系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"143","傲慢の塔：43系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"144","傲慢の塔：44系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"145","傲慢の塔45系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"146","傲慢の塔：46系","32576","32831","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"147","傲慢の塔：47系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"148","傲慢の塔：48系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"149","傲慢の塔：49系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"150","傲慢の塔50系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"151","傲慢の塔：51系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"152","傲慢の塔：52系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"153","傲慢の塔：53系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"154","傲慢の塔：54系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"155","傲慢の塔：55系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"156","傲慢の塔：56系","32704","32831","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"157","傲慢の塔：57系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"158","傲慢の塔：58系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"159","傲慢の塔：59系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"160","傲慢の塔60系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"161","傲慢の塔：61系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"162","傲慢の塔：62系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"163","傲慢の塔：63系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"164","傲慢の塔：64系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"165","傲慢の塔：65系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"166","傲慢の塔：66系","32704","32831","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"167","傲慢の塔：67系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"168","傲慢の塔：68系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"169","傲慢の塔：69系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"170","傲慢の塔：70系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"171","傲慢の塔：71系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"172","傲慢の塔：72系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"173","傲慢の塔：73系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"174","傲慢の塔：74系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"175","傲慢の塔：75系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"176","傲慢の塔：76系","32704","32831","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"177","傲慢の塔：77系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"178","傲慢の塔：78系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"179","傲慢の塔：79系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"180","傲慢の塔：80系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"181","傲慢の塔：81系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"182","傲慢の塔：82系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"183","傲慢の塔：83系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"184","傲慢の塔：84系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"185","傲慢の塔：85系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"186","傲慢の塔：86系","32704","32831","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"187","傲慢の塔：87系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"188","傲慢の塔：88系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"189","傲慢の塔：89系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"190","傲慢の塔：90系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"191","傲慢の塔：91系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"192","傲慢の塔：92系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"193","傲慢の塔：93系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"194","傲慢の塔：94系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"195","傲慢の塔：95系","32704","32895","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"196","傲慢の塔：96系","32704","32831","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"197","傲慢の塔：97系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"198","傲慢の塔：98系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"199","傲慢の塔：99系","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"200","傲慢の塔：100系","32576","32831","32768","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"201","ウィザードクエストダンジョン","32640","33535","32704","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"202","Unknown","32640","33535","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"203","Unknown","32640","33535","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"204","Unknown","32640","33535","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"205","Unknown","32640","33535","32704","32895","1","1","0","0","1","1","1","0","1","1","1","1","1"
"206","Unknown","32640","33535","32704","32895","1","1","0","0","1","1","1","0","1","1","1","1","1"
"207","Unknown","32640","33535","32704","32895","1","1","0","0","1","1","1","0","1","1","1","1","1"
"208","Unknown","32640","33535","32704","32895","1","1","0","0","1","1","1","0","1","1","1","1","1"
"209","ダークエルフのダンジョン","32640","33535","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"210","ダークエルフのダンジョン","32640","33535","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"211","ダークエルフのダンジョン","32640","33535","32704","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"213","ダークエルフクエストダンジョン","32704","32767","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"217","変種アリダンジョン","32640","32767","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"221","がロッド試験ダンジョン","32704","32831","32704","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"237","ジムダンジョン","32704","32767","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"240","ケント城ダンジョン1階","32640","32767","33024","33151","1","1","0","0","0","1","1","1","1","1","1","1","1"
"241","ケント城ダンジョン2階","32704","32831","32832","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"242","ケント城ダンジョン3階","32704","32831","32896","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"243","ケント城ダンジョン4階","32640","32767","32832","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"244","汚染された祝福の地","32704","33023","32768","33087","1","1","0","0","0","1","1","1","1","1","1","1","1"
"248","ギラン城ダンジョン1階","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"249","ギラン城ダンジョン2階","32704","32831","32832","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"250","ギラン城ダンジョン3階","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"251","ギラン城ダンジョン：伯爵の部屋","32768","32831","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"252","ハイネ城ダンジョン1階","32576","32767","32832","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"253","ハイネ城ダンジョン2階","32704","32831","32832","33023","1","1","1","0","0","1","1","1","1","1","1","1","1"
"254","バルバドスの隠れ家","32576","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"255","ドワーフ鉱山","32640","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"256","荒野","32640","32895","32768","33023","1","1","0","0","0","1","1","1","1","1","1","1","1"
"257","アデン城ダンジョン1階","32640","32831","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"258","アデン城ダンジョン2階","32640","32831","32768","33151","1","1","0","0","0","1","1","1","1","1","1","1","1"
"259","アデン城ダンジョン3階","32704","32767","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"260","オーク耐性リニューアル","32768","32831","32832","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"261","第1オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"262","隠された第1オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"263","第2オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"264","第3オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"265","第4オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"266","第5オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"267","隠された第2オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"268","第6オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"269","第7オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"270","象牙の塔の秘密研究所","32704","32767","32768","32831","1","1","0","0","0","1","1","1","1","1","1","1","1"
"271","水晶の洞窟","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"272","水晶の洞窟","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"273","水晶の洞窟","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"274","水晶の洞窟","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"275","水晶の洞窟","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"276","水晶の洞窟","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"277","水晶の洞窟","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"278","水晶の洞窟2階","32704","32895","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"279","第8オーク部隊の前哨基地","32704","32895","32768","32959","1","1","0","0","0","1","1","1","1","1","1","1","1"
"280","象牙の塔：バルログ陣営4階","32832","32959","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"281","象牙の塔：バルログ陣営5階","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"282","象牙の塔：バルログ陣営6階","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"283","象牙の塔：バルログ陣営7階","32704","32831","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"284","象牙の塔：バルログ陣営8階","32640","32767","32768","32895","1","1","0","0","0","1","1","1","1","1","1","1","1"
"285","象牙の塔：ヤヒ陣営4階(PC)","32832","32959","32704","32831","1","1","0","0","1","1","1","1","1","1","1","1","1"
"286","象牙の塔：ヤヒ陣営5階(PC)","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
"287","象牙の塔：ヤヒ陣営6階(PC)","32704","32831","32768","32895","1","1","0","0","1","1","1","1","1","1","1","1","1"
