"item_id","name","bless","enchantlvl","attr_enchantlvl","price"
"57","ツルギ","1","9","0","700000"
"57","ツルギ","1","10","0","1500000"
"57","ツルギ","1","11","0","4000000"
"58","デスナイト フレイムブレード","0","0","0","8000000"
"58","デスナイト フレイムブレード","0","1","0","8000000"
"58","デスナイト フレイムブレード","0","2","0","8000000"
"58","デスナイト フレイムブレード","0","3","0","8000000"
"58","デスナイト フレイムブレード","0","4","0","8000000"
"58","デスナイト フレイムブレード","0","5","0","8000000"
"58","デスナイト フレイムブレード","0","6","0","8000000"
"58","デスナイト フレイムブレード","0","7","0","8000000"
"58","デスナイト フレイムブレード","0","8","0","15000000"
"58","デスナイト フレイムブレード","0","9","0","40000000"
"58","デスナイト フレイムブレード","0","10","0","90000000"
"58","デスナイト フレイムブレード","0","11","0","150000000"
"58","デスナイト フレイムブレード","1","0","0","8000000"
"58","デスナイト フレイムブレード","1","1","0","8000000"
"58","デスナイト フレイムブレード","1","2","0","8000000"
"58","デスナイト フレイムブレード","1","3","0","8000000"
"58","デスナイト フレイムブレード","1","4","0","8000000"
"58","デスナイト フレイムブレード","1","5","0","8000000"
"58","デスナイト フレイムブレード","1","6","0","8000000"
"58","デスナイト フレイムブレード","1","7","0","8000000"
"58","デスナイト フレイムブレード","1","8","0","15000000"
"58","デスナイト フレイムブレード","1","9","0","40000000"
"58","デスナイト フレイムブレード","1","10","0","90000000"
"58","デスナイト フレイムブレード","1","11","0","150000000"
"61","\aH真冥王の執行剣","0","0","0","10000000"
"61","\aH真冥王の執行剣","0","1","0","22000000"
"61","\aH真冥王の執行剣","0","2","0","35000000"
"61","\aH真冥王の執行剣","0","3","0","50000000"
"61","\aH真冥王の執行剣","0","4","0","80000000"
"61","\aH真冥王の執行剣","0","5","0","150000000"
"61","\aH真冥王の執行剣","1","0","0","10000000"
"61","\aH真冥王の執行剣","1","1","0","22000000"
"61","\aH真冥王の執行剣","1","2","0","35000000"
"61","\aH真冥王の執行剣","1","3","0","50000000"
"61","\aH真冥王の執行剣","1","4","0","80000000"
"61","\aH真冥王の執行剣","1","5","0","150000000"
"62","ジェネラル グレートソード","0","0","0","650000"
"62","ジェネラル グレートソード","0","1","0","650000"
"62","ジェネラル グレートソード","0","2","0","650000"
"62","ジェネラル グレートソード","0","3","0","650000"
"62","ジェネラル グレートソード","0","4","0","650000"
"62","ジェネラル グレートソード","0","5","0","650000"
"62","ジェネラル グレートソード","0","6","0","650000"
"62","ジェネラル グレートソード","0","7","0","850000"
"62","ジェネラル グレートソード","0","8","0","900000"
"62","ジェネラル グレートソード","0","9","0","1800000"
"62","ジェネラル グレートソード","0","10","0","4500000"
"62","ジェネラル グレートソード","0","11","0","12000000"
"62","ジェネラル グレートソード","0","12","0","56000000"
"62","ジェネラル グレートソード","1","0","0","650000"
"62","ジェネラル グレートソード","1","1","0","650000"
"62","ジェネラル グレートソード","1","2","0","650000"
"62","ジェネラル グレートソード","1","3","0","650000"
"62","ジェネラル グレートソード","1","4","0","650000"
"62","ジェネラル グレートソード","1","5","0","650000"
"62","ジェネラル グレートソード","1","6","0","650000"
"62","ジェネラル グレートソード","1","7","0","850000"
"62","ジェネラル グレートソード","1","8","0","900000"
"62","ジェネラル グレートソード","1","9","0","1800000"
"62","ジェネラル グレートソード","1","10","0","4500000"
"62","ジェネラル グレートソード","1","11","0","12000000"
"62","ジェネラル グレートソード","1","12","0","56000000"
"67","エンシェント グレートソード","0","0","0","150000"
"67","エンシェント グレートソード","1","0","0","150000"
"68","エンシェント ソード","0","0","0","150000"
"68","エンシェント ソード","1","0","0","150000"
"76","ロンドゥ デュアルブレード","0","0","0","1500000"
"76","ロンドゥ デュアルブレード","0","1","0","1500000"
"76","ロンドゥ デュアルブレード","0","2","0","1500000"
"76","ロンドゥ デュアルブレード","0","3","0","1500000"
"76","ロンドゥ デュアルブレード","0","4","0","1500000"
"76","ロンドゥ デュアルブレード","0","5","0","1500000"
"76","ロンドゥ デュアルブレード","0","6","0","1500000"
"76","ロンドゥ デュアルブレード","0","7","0","1500000"
"76","ロンドゥ デュアルブレード","0","8","0","3800000"
"76","ロンドゥ デュアルブレード","0","9","0","9900000"
"76","ロンドゥ デュアルブレード","0","10","0","2500000"
"76","ロンドゥ デュアルブレード","0","11","0","5000000"
"76","ロンドゥ デュアルブレード","0","12","0","100000000"
"76","ロンドゥ デュアルブレード","1","0","0","1500000"
"76","ロンドゥ デュアルブレード","1","1","0","1500000"
"76","ロンドゥ デュアルブレード","1","2","0","1500000"
"76","ロンドゥ デュアルブレード","1","3","0","1500000"
"76","ロンドゥ デュアルブレード","1","4","0","1500000"
"76","ロンドゥ デュアルブレード","1","5","0","1500000"
"76","ロンドゥ デュアルブレード","1","6","0","1500000"
"76","ロンドゥ デュアルブレード","1","7","0","1500000"
"76","ロンドゥ デュアルブレード","1","8","0","3800000"
"76","ロンドゥ デュアルブレード","1","9","0","9900000"
"76","ロンドゥ デュアルブレード","1","10","0","25000000"
"76","ロンドゥ デュアルブレード","1","11","0","50000000"
"76","ロンドゥ デュアルブレード","1","12","0","100000000"
"81","ブラインド デュアルブレード","0","0","0","14000"
"81","ブラインド デュアルブレード","0","1","0","15000"
"81","ブラインド デュアルブレード","0","2","0","16000"
"81","ブラインド デュアルブレード","0","3","0","17000"
"81","ブラインド デュアルブレード","0","4","0","18000"
"81","ブラインド デュアルブレード","0","5","0","19000"
"81","ブラインド デュアルブレード","0","6","0","20000"
"81","ブラインド デュアルブレード","0","7","0","80000"
"81","ブラインド デュアルブレード","0","8","0","250000"
"81","ブラインド デュアルブレード","0","9","0","400000"
"81","ブラインド デュアルブレード","0","10","0","950000"
"81","ブラインド デュアルブレード","0","11","0","2500000"
"81","ブラインド デュアルブレード","1","0","0","14000"
"81","ブラインド デュアルブレード","1","1","0","15000"
"81","ブラインド デュアルブレード","1","2","0","16000"
"81","ブラインド デュアルブレード","1","3","0","17000"
"81","ブラインド デュアルブレード","1","4","0","18000"
"81","ブラインド デュアルブレード","1","5","0","19000"
"81","ブラインド デュアルブレード","1","6","0","20000"
"81","ブラインド デュアルブレード","1","7","0","80000"
"81","ブラインド デュアルブレード","1","8","0","250000"
"81","ブラインド デュアルブレード","1","9","0","400000"
"81","ブラインド デュアルブレード","1","10","0","950000"
"81","ブラインド デュアルブレード","1","11","0","2500000"
"84","ダークネス デュアルブレード","0","0","0","3000000"
"84","ダークネス デュアルブレード","0","1","0","3000000"
"84","ダークネス デュアルブレード","0","2","0","3000000"
"84","ダークネス デュアルブレード","0","3","0","3000000"
"84","ダークネス デュアルブレード","0","4","0","3000000"
"84","ダークネス デュアルブレード","0","5","0","3000000"
"84","ダークネス デュアルブレード","0","6","0","3000000"
"84","ダークネス デュアルブレード","0","7","0","3000000"
"84","ダークネス デュアルブレード","0","8","0","18000000"
"84","ダークネス デュアルブレード","0","9","0","28000000"
"84","ダークネス デュアルブレード","0","10","0","58000000"
"84","ダークネス デュアルブレード","0","11","0","68000000"
"84","ダークネス デュアルブレード","0","12","0","78000000"
"84","ダークネス デュアルブレード","1","0","0","3000000"
"84","ダークネス デュアルブレード","1","1","0","3000000"
"84","ダークネス デュアルブレード","1","2","0","3000000"
"84","ダークネス デュアルブレード","1","3","0","3000000"
"84","ダークネス デュアルブレード","1","4","0","3000000"
"84","ダークネス デュアルブレード","1","5","0","3000000"
"84","ダークネス デュアルブレード","1","6","0","3000000"
"84","ダークネス デュアルブレード","1","7","0","3000000"
"84","ダークネス デュアルブレード","1","8","0","18000000"
"84","ダークネス デュアルブレード","1","9","0","28000000"
"84","ダークネス デュアルブレード","1","10","0","58000000"
"84","ダークネス デュアルブレード","1","11","0","68000000"
"84","ダークネス デュアルブレード","1","12","0","78000000"
"86","\aHレッドシャドウ デュアルブレード","0","1","0","9000000"
"86","\aHレッドシャドウ デュアルブレード","0","2","0","15000000"
"86","\aHレッドシャドウ デュアルブレード","0","3","0","40000000"
"86","\aHレッドシャドウ デュアルブレード","0","4","0","85000000"
"86","\aHレッドシャドウ デュアルブレード","0","5","0","15000000"
"86","\aHレッドシャドウ デュアルブレード","1","1","0","9000000"
"86","\aHレッドシャドウ デュアルブレード","1","2","0","15000000"
"86","\aHレッドシャドウ デュアルブレード","1","3","0","40000000"
"86","\aHレッドシャドウ デュアルブレード","1","4","0","85000000"
"86","\aHレッドシャドウ デュアルブレード","1","5","0","150000000"
"162","ブラインド クロウ","0","0","0","14000"
"162","ブラインド クロウ","0","1","0","15000"
"162","ブラインド クロウ","0","2","0","16000"
"162","ブラインド クロウ","0","3","0","17000"
"162","ブラインド クロウ","0","4","0","18000"
"162","ブラインド クロウ","0","5","0","19000"
"162","ブラインド クロウ","0","6","0","20000"
"162","ブラインド クロウ","0","7","0","80000"
"162","ブラインド クロウ","0","8","0","250000"
"162","ブラインド クロウ","0","9","0","400000"
"162","ブラインド クロウ","0","10","0","950000"
"162","ブラインド クロウ","0","11","0","2500000"
"162","ブラインド クロウ","1","0","0","14000"
"162","ブラインド クロウ","1","1","0","15000"
"162","ブラインド クロウ","1","2","0","16000"
"162","ブラインド クロウ","1","3","0","170000"
"162","ブラインド クロウ","1","4","0","180000"
"162","ブラインド クロウ","1","5","0","190000"
"162","ブラインド クロウ","1","6","0","200000"
"162","ブラインド クロウ","1","7","0","800000"
"162","ブラインド クロウ","1","8","0","2500000"
"162","ブラインド クロウ","1","9","0","4000000"
"162","ブラインド クロウ","1","10","0","9500000"
"162","ブラインド クロウ","1","11","0","25000000"
"164","ダークネス クロウ","0","0","0","3000000"
"164","ダークネス クロウ","0","1","0","3000000"
"164","ダークネス クロウ","0","2","0","3000000"
"164","ダークネス クロウ","0","3","0","3000000"
"164","ダークネス クロウ","0","4","0","3000000"
"164","ダークネス クロウ","0","5","0","3000000"
"164","ダークネス クロウ","0","6","0","3000000"
"164","ダークネス クロウ","0","7","0","3000000"
"164","ダークネス クロウ","0","8","0","18000000"
"164","ダークネス クロウ","0","9","0","28000000"
"164","ダークネス クロウ","0","10","0","58000000"
"164","ダークネス クロウ","0","11","0","68000000"
"164","ダークネス クロウ","0","12","0","78000000"
"164","ダークネス クロウ","1","0","0","3000000"
"164","ダークネス クロウ","1","1","0","3000000"
"164","ダークネス クロウ","1","2","0","3000000"
"164","ダークネス クロウ","1","3","0","3000000"
"164","ダークネス クロウ","1","4","0","3000000"
"164","ダークネス クロウ","1","5","0","3000000"
"164","ダークネス クロウ","1","6","0","3000000"
"164","ダークネス クロウ","1","7","0","3000000"
"164","ダークネス クロウ","1","8","0","18000000"
"164","ダークネス クロウ","1","9","0","28000000"
"164","ダークネス クロウ","1","10","0","58000000"
"164","ダークネス クロウ","1","11","0","68000000"
"164","ダークネス クロウ","1","12","0","78000000"
"177","ブラインド クロスボウ","0","0","0","14000"
"177","ブラインド クロスボウ","0","1","0","15000"
"177","ブラインド クロスボウ","0","2","0","16000"
"177","ブラインド クロスボウ","0","3","0","17000"
"177","ブラインド クロスボウ","0","4","0","18000"
"177","ブラインド クロスボウ","0","5","0","19000"
"177","ブラインド クロスボウ","0","6","0","20000"
"177","ブラインド クロスボウ","0","7","0","80000"
"177","ブラインド クロスボウ","0","8","0","250000"
"177","ブラインド クロスボウ","0","9","0","400000"
"177","ブラインド クロスボウ","0","10","0","950000"
"177","ブラインド クロスボウ","0","11","0","2500000"
"177","ブラインド クロスボウ","1","0","0","14000"
"177","ブラインド クロスボウ","1","1","0","15000"
"177","ブラインド クロスボウ","1","2","0","16000"
"177","ブラインド クロスボウ","1","3","0","17000"
"177","ブラインド クロスボウ","1","4","0","18000"
"177","ブラインド クロスボウ","1","5","0","19000"
"177","ブラインド クロスボウ","1","6","0","20000"
"177","ブラインド クロスボウ","1","7","0","80000"
"177","ブラインド クロスボウ","1","8","0","250000"
"177","ブラインド クロスボウ","1","9","0","400000"
"177","ブラインド クロスボウ","1","10","0","950000"
"177","ブラインド クロスボウ","1","11","0","2500000"
"180","クロスボウ","0","6","0","28000"
"180","クロスボウ","0","9","0","320000"
"180","クロスボウ","1","6","0","28000"
"180","クロスボウ","1","9","0","320000"
"189","ダークネス クロスボウ","0","0","0","300000"
"189","ダークネス クロスボウ","0","1","0","300000"
"189","ダークネス クロスボウ","0","2","0","300000"
"189","ダークネス クロスボウ","0","3","0","300000"
"189","ダークネス クロスボウ","0","4","0","300000"
"189","ダークネス クロスボウ","0","5","0","300000"
"189","ダークネス クロスボウ","0","6","0","300000"
"189","ダークネス クロスボウ","0","7","0","300000"
"189","ダークネス クロスボウ","0","8","0","1800000"
"189","ダークネス クロスボウ","0","9","0","2800000"
"189","ダークネス クロスボウ","0","10","0","18000000"
"189","ダークネス クロスボウ","0","11","0","35000000"
"189","ダークネス クロスボウ","0","12","0","68000000"
"189","ダークネス クロスボウ","1","0","0","300000"
"189","ダークネス クロスボウ","1","1","0","300000"
"189","ダークネス クロスボウ","1","2","0","300000"
"189","ダークネス クロスボウ","1","3","0","300000"
"189","ダークネス クロスボウ","1","4","0","300000"
"189","ダークネス クロスボウ","1","5","0","300000"
"189","ダークネス クロスボウ","1","6","0","300000"
"189","ダークネス クロスボウ","1","7","0","300000"
"189","ダークネス クロスボウ","1","8","0","1800000"
"189","ダークネス クロスボウ","1","9","0","2800000"
"189","ダークネス クロスボウ","1","10","0","18000000"
"189","ダークネス クロスボウ","1","11","0","35000000"
"189","ダークネス クロスボウ","1","12","0","68000000"
"190","サイハの弓","0","0","0","2000000"
"190","サイハの弓","0","1","0","2000000"
"190","サイハの弓","0","2","0","2000000"
"190","サイハの弓","0","3","0","2000000"
"190","サイハの弓","0","4","0","2000000"
"190","サイハの弓","0","5","0","2000000"
"190","サイハの弓","0","6","0","2000000"
"190","サイハの弓","0","7","0","2000000"
"190","サイハの弓","1","0","0","2000000"
"190","サイハの弓","1","1","0","2000000"
"190","サイハの弓","1","2","0","2000000"
"190","サイハの弓","1","3","0","2000000"
"190","サイハの弓","1","4","0","2000000"
"190","サイハの弓","1","5","0","2000000"
"190","サイハの弓","1","6","0","2000000"
"190","サイハの弓","1","7","0","2000000"
"191","エンジェル スレイヤー","0","0","0","8500000"
"191","エンジェル スレイヤー","0","1","0","8500000"
"191","エンジェル スレイヤー","0","2","0","8500000"
"191","エンジェル スレイヤー","0","3","0","8500000"
"191","エンジェル スレイヤー","0","4","0","8500000"
"191","エンジェル スレイヤー","0","5","0","8500000"
"191","エンジェル スレイヤー","0","6","0","8500000"
"191","エンジェル スレイヤー","0","7","0","8500000"
"191","エンジェル スレイヤー","0","8","0","25000000"
"191","エンジェル スレイヤー","0","9","0","58000000"
"191","エンジェル スレイヤー","0","10","0","110000000"
"191","エンジェル スレイヤー","0","11","0","190000000"
"191","エンジェル スレイヤー","1","0","0","8500000"
"191","エンジェル スレイヤー","1","1","0","8500000"
"191","エンジェル スレイヤー","1","2","0","8500000"
"191","エンジェル スレイヤー","1","3","0","8500000"
"191","エンジェル スレイヤー","1","4","0","8500000"
"191","エンジェル スレイヤー","1","5","0","8500000"
"191","エンジェル スレイヤー","1","6","0","8500000"
"191","エンジェル スレイヤー","1","7","0","8500000"
"191","エンジェル スレイヤー","1","8","0","25000000"
"191","エンジェル スレイヤー","1","9","0","58000000"
"191","エンジェル スレイヤー","1","10","0","110000000"
"191","エンジェル スレイヤー","1","11","0","190000000"
"205","ルナ ロング ボウ","0","0","0","3000000"
"205","ルナ ロング ボウ","0","1","0","3000000"
"205","ルナ ロング ボウ","0","2","0","3000000"
"205","ルナ ロング ボウ","0","3","0","3000000"
"205","ルナ ロング ボウ","0","4","0","3000000"
"205","ルナ ロング ボウ","0","5","0","3000000"
"205","ルナ ロング ボウ","0","6","0","3000000"
"205","ルナ ロング ボウ","0","7","0","3000000"
"205","ルナ ロング ボウ","0","8","0","18000000"
"205","ルナ ロング ボウ","0","9","0","38000000"
"205","ルナ ロング ボウ","0","10","0","70000000"
"205","ルナ ロング ボウ","0","11","0","125000000"
"205","ルナ ロング ボウ","0","12","0","190000000"
"205","ルナ ロング ボウ","1","0","0","3000000"
"205","ルナ ロング ボウ","1","1","0","3000000"
"205","ルナ ロング ボウ","1","2","0","3000000"
"205","ルナ ロング ボウ","1","3","0","3000000"
"205","ルナ ロング ボウ","1","4","0","3000000"
"205","ルナ ロング ボウ","1","5","0","3000000"
"205","ルナ ロング ボウ","1","6","0","3000000"
"205","ルナ ロング ボウ","1","7","0","3000000"
"205","ルナ ロング ボウ","1","8","0","18000000"
"205","ルナ ロング ボウ","1","9","0","38000000"
"205","ルナ ロング ボウ","1","10","0","70000000"
"205","ルナ ロング ボウ","1","11","0","125000000"
"205","ルナ ロング ボウ","1","12","0","190000000"
"512","蒼天のダガー","0","0","0","55000"
"512","蒼天のダガー","0","1","0","55000"
"512","蒼天のダガー","0","2","0","55000"
"512","蒼天のダガー","0","3","0","55000"
"512","蒼天のダガー","0","4","0","55000"
"512","蒼天のダガー","0","5","0","55000"
"512","蒼天のダガー","0","6","0","55000"
"512","蒼天のダガー","0","7","0","55000"
"512","蒼天のダガー","0","8","0","70000"
"512","蒼天のダガー","0","9","0","2800000"
"512","蒼天のダガー","0","10","0","18000000"
"512","蒼天のダガー","0","11","0","35000000"
"512","蒼天のダガー","0","12","0","68000000"
"512","蒼天のダガー","1","0","0","55000"
"512","蒼天のダガー","1","1","0","55000"
"512","蒼天のダガー","1","2","0","55000"
"512","蒼天のダガー","1","3","0","55000"
"512","蒼天のダガー","1","4","0","55000"
"512","蒼天のダガー","1","5","0","55000"
"512","蒼天のダガー","1","6","0","55000"
"512","蒼天のダガー","1","7","0","55000"
"512","蒼天のダガー","1","8","0","70000"
"512","蒼天のダガー","1","9","0","2800000"
"512","蒼天のダガー","1","10","0","18000000"
"512","蒼天のダガー","1","11","0","35000000"
"512","蒼天のダガー","1","12","0","68000000"
"513","蒼天のグレートソード","0","0","0","55000"
"513","蒼天のグレートソード","0","1","0","55000"
"513","蒼天のグレートソード","0","2","0","550000"
"513","蒼天のグレートソード","0","3","0","550000"
"513","蒼天のグレートソード","0","4","0","550000"
"513","蒼天のグレートソード","0","5","0","550000"
"513","蒼天のグレートソード","0","6","0","550000"
"513","蒼天のグレートソード","0","7","0","550000"
"513","蒼天のグレートソード","0","8","0","700000"
"513","蒼天のグレートソード","0","9","0","28000000"
"513","蒼天のグレートソード","0","10","0","180000000"
"513","蒼天のグレートソード","0","11","0","350000000"
"513","蒼天のグレートソード","0","12","0","680000000"
"513","蒼天のグレートソード","1","0","0","550000"
"513","蒼天のグレートソード","1","1","0","550000"
"513","蒼天のグレートソード","1","2","0","550000"
"513","蒼天のグレートソード","1","3","0","550000"
"513","蒼天のグレートソード","1","4","0","550000"
"513","蒼天のグレートソード","1","5","0","550000"
"513","蒼天のグレートソード","1","6","0","550000"
"513","蒼天のグレートソード","1","7","0","550000"
"513","蒼天のグレートソード","1","8","0","700000"
"513","蒼天のグレートソード","1","9","0","28000000"
"513","蒼天のグレートソード","1","10","0","180000000"
"513","蒼天のグレートソード","1","11","0","350000000"
"513","蒼天のグレートソード","1","12","0","680000000"
"514","蒼天のグレートソード","0","0","0","550000"
"514","蒼天のグレートソード","0","1","0","550000"
"514","蒼天のグレートソード","0","2","0","550000"
"514","蒼天のグレートソード","0","3","0","550000"
"514","蒼天のグレートソード","0","4","0","550000"
"514","蒼天のグレートソード","0","5","0","550000"
"514","蒼天のグレートソード","0","6","0","550000"
"514","蒼天のグレートソード","0","7","0","550000"
"514","蒼天のグレートソード","0","8","0","18000000"
"514","蒼天のグレートソード","0","9","0","28000000"
"514","蒼天のグレートソード","0","10","0","180000000"
"514","蒼天のグレートソード","0","11","0","350000000"
"514","蒼天のグレートソード","0","12","0","680000000"
"514","蒼天のグレートソード","1","0","0","550000"
"514","蒼天のグレートソード","1","1","0","550000"
"514","蒼天のグレートソード","1","2","0","550000"
"514","蒼天のグレートソード","1","3","0","550000"
"514","蒼天のグレートソード","1","4","0","550000"
"514","蒼天のグレートソード","1","5","0","550000"
"514","蒼天のグレートソード","1","6","0","550000"
"514","蒼天のグレートソード","1","7","0","550000"
"514","蒼天のグレートソード","1","8","0","18000000"
"514","蒼天のグレートソード","1","9","0","28000000"
"514","蒼天のグレートソード","1","10","0","180000000"
"514","蒼天のグレートソード","1","11","0","350000000"
"514","蒼天のグレートソード","1","12","0","680000000"
"515","蒼天のグレートソード","0","0","0","550000"
"515","蒼天のグレートソード","0","1","0","550000"
"515","蒼天のグレートソード","0","2","0","550000"
"515","蒼天のグレートソード","0","3","0","550000"
"515","蒼天のグレートソード","0","4","0","550000"
"515","蒼天のグレートソード","0","5","0","550000"
"515","蒼天のグレートソード","0","6","0","550000"
"515","蒼天のグレートソード","0","7","0","550000"
"515","蒼天のグレートソード","0","8","0","18000000"
"515","蒼天のグレートソード","0","9","0","28000000"
"515","蒼天のグレートソード","0","10","0","180000000"
"515","蒼天のグレートソード","0","11","0","350000000"
"515","蒼天のグレートソード","0","12","0","680000000"
"515","蒼天のグレートソード","1","0","0","550000"
"515","蒼天のグレートソード","1","1","0","550000"
"515","蒼天のグレートソード","1","2","0","550000"
"515","蒼天のグレートソード","1","3","0","550000"
"515","蒼天のグレートソード","1","4","0","550000"
"515","蒼天のグレートソード","1","5","0","550000"
"515","蒼天のグレートソード","1","6","0","550000"
"515","蒼天のグレートソード","1","7","0","550000"
"515","蒼天のグレートソード","1","8","0","18000000"
"515","蒼天のグレートソード","1","9","0","28000000"
"515","蒼天のグレートソード","1","10","0","180000000"
"515","蒼天のグレートソード","1","11","0","350000000"
"515","蒼天のグレートソード","1","12","0","680000000"
"20011","マジック ヘルム ","0","0","0","200"
"20011","マジック ヘルム ","0","1","0","2000"
"20011","マジック ヘルム ","0","2","0","3000"
"20011","マジック ヘルム ","0","3","0","20000"
"20011","マジック ヘルム ","0","4","0","20000"
"20011","マジック ヘルム ","0","5","0","250000"
"20011","マジック ヘルム ","0","6","0","800000"
"20011","マジック ヘルム ","0","7","0","2500000"
"20011","マジック ヘルム ","0","8","0","9500000"
"20011","マジック ヘルム ","0","9","0","25000000"
"20011","マジック ヘルム ","0","10","0","57000000"
"20011","マジック ヘルム ","0","11","0","250000000"
"20011","マジック ヘルム ","1","0","0","200"
"20011","マジック ヘルム ","1","1","0","2000"
"20011","マジック ヘルム ","1","2","0","30000"
"20011","マジック ヘルム ","1","3","0","20000"
"20011","マジック ヘルム ","1","4","0","20000"
"20011","マジック ヘルム ","1","5","0","250000"
"20011","マジック ヘルム ","1","6","0","800000"
"20011","マジック ヘルム ","1","7","0","2500000"
"20011","マジック ヘルム ","1","8","0","9500000"
"20011","マジック ヘルム ","1","9","0","25000000"
"20011","マジック ヘルム ","1","10","0","57000000"
"20011","マジック ヘルム ","1","11","0","250000000"
"20020","ジェネラル ヘルム ","0","0","0","50000"
"20020","ジェネラル ヘルム ","0","1","0","60000"
"20020","ジェネラル ヘルム ","0","2","0","70000"
"20020","ジェネラル ヘルム ","0","3","0","80000"
"20020","ジェネラル ヘルム ","0","4","0","90000"
"20020","ジェネラル ヘルム ","0","5","0","100000"
"20020","ジェネラル ヘルム ","0","6","0","110000"
"20020","ジェネラル ヘルム ","0","7","0","500000"
"20020","ジェネラル ヘルム ","0","8","0","1100000"
"20020","ジェネラル ヘルム ","0","9","0","2500000"
"20020","ジェネラル ヘルム ","0","10","0","4500000"
"20020","ジェネラル ヘルム ","1","0","0","50000"
"20020","ジェネラル ヘルム ","1","1","0","60000"
"20020","ジェネラル ヘルム ","1","2","0","70000"
"20020","ジェネラル ヘルム ","1","3","0","80000"
"20020","ジェネラル ヘルム ","1","4","0","90000"
"20020","ジェネラル ヘルム ","1","5","0","100000"
"20020","ジェネラル ヘルム ","1","6","0","110000"
"20020","ジェネラル ヘルム ","1","7","0","500000"
"20020","ジェネラル ヘルム ","1","8","0","1100000"
"20020","ジェネラル ヘルム ","1","9","0","2500000"
"20020","ジェネラル ヘルム ","1","10","0","4500000"
"20030","ビショップ サークレット ","0","0","0","50000"
"20030","ビショップ サークレット ","0","1","0","60000"
"20030","ビショップ サークレット ","0","2","0","70000"
"20030","ビショップ サークレット ","0","3","0","80000"
"20030","ビショップ サークレット ","0","4","0","90000"
"20030","ビショップ サークレット ","0","5","0","100000"
"20030","ビショップ サークレット ","0","6","0","110000"
"20030","ビショップ サークレット ","0","7","0","500000"
"20030","ビショップ サークレット ","0","8","0","1100000"
"20030","ビショップ サークレット ","0","9","0","2500000"
"20030","ビショップ サークレット ","0","10","0","4500000"
"20030","ビショップ サークレット ","1","0","0","50000"
"20030","ビショップ サークレット ","1","1","0","60000"
"20030","ビショップ サークレット ","1","2","0","70000"
"20030","ビショップ サークレット ","1","3","0","80000"
"20030","ビショップ サークレット ","1","4","0","90000"
"20030","ビショップ サークレット ","1","5","0","100000"
"20030","ビショップ サークレット ","1","6","0","110000"
"20030","ビショップ サークレット ","1","7","0","500000"
"20030","ビショップ サークレット ","1","8","0","1100000"
"20030","ビショップ サークレット ","1","9","0","2500000"
"20030","ビショップ サークレット ","1","10","0","4500000"
"20033","ブレス オブ エルム ","0","0","0","30000"
