"id","note","type","gfxId","isDetectionable","base","dice","diceCount","poisonType","poisonDelay","poisonTime","poisonDamage","monsterNpcId","monsterCount","teleportX","teleportY","teleportMapId","skillId","skillTimeSeconds"
"27","IT5F Aian Golem","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45372","3","0","0","0","0","0"
"28","IT5F Mimic","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45141","3","0","0","0","0","0"
"29","IT5F Living Ammo","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45322","3","0","0","0","0","0"
"30","IT6F Silhouette","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45162","3","0","0","0","0","0"
"31","IT6F Death","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45221","3","0","0","0","0","0"
"32","IT7F silhouette","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45162","4","0","0","0","0","0"
"33","IT7F Death","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45221","4","0","0","0","0","0"
"34","IT8F Aian Golem","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45372","5","0","0","0","0","0"
"35","IT8F Silhouette","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45162","5","0","0","0","0","0"
"36","IT8F Death","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45221","5","0","0","0","0","0"
"37","IT8F Living Ammo","L1MonsterTrap","0","0","0","0","0","-","0","0","0","45322","5","0","0","0","0","0"
"38","Hanko Miro Rubber Bone Soldier","L1MonsterTrap","0","0","0","0","0","-","0","0","0","46057","4","0","0","0","0","0"
"39","Hranco Mirolababonacha","L1MonsterTrap","0","0","0","0","0","-","0","0","0","46058","4","0","0","0","0","0"
"40","Hanko miro rubber nipple","L1MonsterTrap","0","0","0","0","0","-","0","0","0","46059","4","0","0","0","0","0"
"41","Hanko Miro Rubber Bone Knife","L1MonsterTrap","0","0","0","0","0","-","0","0","0","46056","4","0","0","0","0","0"
"42","Hanko Mirostat Branch","L1TeleportTrap","0","0","0","0","0","-","0","0","0","0","4","32679","32742","482","0","0"
"43","Brain start point where Diego closed","L1TeleportTrap","0","0","0","0","0","n","0","0","0","0","0","32736","32800","483","0","0"
"44","Parakeize the goblins","L1SkillTrap","0","0","0","0","0","-","0","0","0","0","0","0","0","0","33","0"
"45","Goblin house blind","L1SkillTrap","0","0","0","0","0","-","0","0","0","0","0","0","0","0","20","5"
"46","Goguryeo Mansion Slow","L1SkillTrap","0","0","0","0","0","-","0","0","0","0","0","0","0","0","29","5"
"47","Haymaker Heist Strikes","L1SkillTrap","0","0","0","0","0","-","0","0","0","0","0","0","0","0","43","5"
"48","The Goblin House Teleport","L1TeleportTrap","0","0","0","0","0","-","0","0","0","0","0","32730","32829","5140","0","0"
"49","The Goblin House Teleport","L1TeleportTrap","0","0","0","0","0","-","0","0","0","0","0","32749","32813","5140","0","0"
"50","The Goblin House Teleport","L1TeleportTrap","0","0","0","0","0","-","0","0","0","0","0","32747","32867","5140","0","0"
"51","The Goblin House Teleport","L1TeleportTrap","0","0","0","0","0","-","0","0","0","0","0","32785","32819","5140","0","0"
"52","The Goblin House Teleport","L1TeleportTrap","0","0","0","0","0","-","0","0","0","0","0","32797","32869","5140","0","0"
"53","Round Trap 1","L1PetRaceTrap","6674","0","0","0","0","i","0","0","0","0","0","0","0","0","0","0"
"54","Round Trap 2","L1PetRaceTrap","0","0","0","0","0","j","0","0","0","0","0","0","0","0","0","0"
"55","Square trap 1","L1PetRaceTrap","6675","0","0","0","0","g","0","0","0","0","0","0","0","0","0","0"
"56","Square trap 2","L1PetRaceTrap","0","0","0","0","0","h","0","0","0","0","0","0","0","0","0","0"
"57","Pet Finals","L1PetRaceTrap","0","0","0","0","0","f","0","0","0","0","0","0","0","0","0","0"
"58","Wheel recognition","L1PetRaceTrap","0","0","0","0","0","b","0","0","0","0","0","0","0","0","0","0"
"59","Wheel recognition 1","L1PetRaceTrap","0","0","0","0","0","a","0","0","0","0","0","0","0","0","0","0"
"60","Wheel Recognition 2","L1PetRaceTrap","0","0","0","0","0","c","0","0","0","0","0","0","0","0","0","0"
"61","Ivory Tower Stone Golem Trap","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900058","1","0","0","0","0","0"
"62","Ivory Tower Iron Golem Trap","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900060","1","0","0","0","0","0"
"63","Ivory tower gelatin cubes","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900061","1","0","0","0","0","0"
"64","Ivory Tower Living Armor (Small)","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900062","1","0","0","0","0","0"
"65","Ivory Tower Living Armor (Large)","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900063","1","0","0","0","0","0"
"66","Ivory Tower Dancing Sword","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900064","1","0","0","0","0","0"
"67","Ivory Tower Ball Lightning","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900065","1","0","0","0","0","0"
"68","Elder of Ivory Tower","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900066","1","0","0","0","0","0"
"69","Ivory Tower Lamia","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900068","1","0","0","0","0","0"
"70","Ivory tower elder","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900069","1","0","0","0","0","0"
"71","Ivory Tower Chimera","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900067","1","0","0","0","0","0"
"72","Ivory Tower Warlock","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900070","1","0","0","0","0","0"
"73","Ivory Tower","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900071","1","0","0","0","0","0"
"74","Ivory Tower Silhouette","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900072","1","0","0","0","0","0"
"75","Ivory tower ghost","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900073","1","0","0","0","0","0"
"76","Ivory tower fallen soul","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900074","1","0","0","0","0","0"
"77","Ivory Tower of Beres","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900075","1","0","0","0","0","0"
"78","Ivory Tower","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900076","1","0","0","0","0","0"
"79","Followers of Ivory Tower Balrog","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900077","1","0","0","0","0","0"
"80","Ipod Tower of Vaporet","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900078","1","0","0","0","0","0"
"81","Ivory Tower Lesser Demon","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900079","1","0","0","0","0","0"
"82","Ivory Tower Gargoyles","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900081","1","0","0","0","0","0"
"83","Ivory Tower Pasazu","L1MonsterTrap","0","0","0","0","0","-","0","0","0","900080","1","0","0","0","0","0"
