"item_id","name","type","acctype","grade","material","weight","invgfx","grdgfx","itemdesc_id","ac","safenchant","use_royal","use_knight","use_mage","use_elf","use_darkelf","use_dragonknight","use_blackwizard","use_warrior","add_str","add_con","add_dex","add_int","add_wis","add_cha","add_hp","add_mp","add_hpr","add_mpr","add_sp","min_lvl","max_lvl","m_def","haste_item","damage_reduction","weight_reduction","hit_rate","dmg_rate","bow_hit_rate","bow_dmg_rate","bless","trade","cant_delete","max_use_time","defense_water","defense_wind","defense_fire","defense_earth","regist_stun","regist_stone","regist_sleep","regist_freeze","regist_sustain","regist_blind","regist_DESPERADO","PVPcalcPcDefense","PVPweaponTotalDamage","MainId","MainId2","MainId3","Set_Id","Magic_name","ignore_reduction_by_armor"
"9500","GM Transformation Ring","ring","0","1","gold","5000","2895","6680","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"11284","Transformation Control Ring","ring","9","0","gold","3000","7547","3166","658","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20001","Leather Cap","helm","0","-1","leather","10000","451","18","0","0","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20090","0","0","33",,"0"
"20002","Leather Helmet","helm","0","-1","leather","30000","456","18","0","-1","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20090","0","0","33",,"0"
"20003","Iron Helm","helm","0","-1","iron","50000","507","18","0","-3","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20091","0","0","40",,"0"
"20004","Shadow Mask","helm","0","-1","cloth","10000","1038","2866","816","-2","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20005","Night Food","helm","0","-1","cloth","30000","915","18","0","-1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20006","Night Visor","helm","0","-1","iron","40000","166","357","140","-3","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20007","Dowavish Iron Helm","helm","0","-1","iron","40000","52","18","0","-2","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20008","Minor Windhelm","helm","0","-1","leather","50000","895","18","662","-1","4","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20009","Demon Helm","helm","0","-1","iron","50000","714","18","555","-2","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20099","0","0","1",,"0"
"20010","Death Knight Helmet","helm","0","-1","iron","50000","713","15243","0","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20100","0","0","2",,"0"
"20011","Magic Helm","helm","0","-1","iron","35000","1204","18","229","-2","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20012","Wizard Hat","helm","0","-1","cloth","20000","526","1503","0","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20111","0","0","39",,"0"
"20013","Magic Helm: Swiftness","helm","0","-1","mithril","50000","168","357","291","-1","4","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20014","Magic Helm: Healing","helm","0","-1","mithril","50000","167","357","292","-1","4","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20015","Magic Helm: Strength","helm","0","-1","mithril","50000","170","357","293","-1","4","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20016","Mambo Hat","helm","0","-1","leather","10000","1628","4111","1287","1","4","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0",,"0"
"20017","\aF Mommy Road Crown","helm","0","-1","gold","20000","1420","3513","1123","-2","6","1","0","0","1","1","0","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0",,"0"
"20018","Melchior's Hat","helm","0","-1","cloth","20000","1233","3257","982","-2","4","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20019","Crown","helm","0","-1","gold","30000","184","462","139","-3","4","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20020","General Helm","helm","0","-1","steel","45000","1896","4957","1758","-2","6","1","1","0","0","1","1","0","1","0","0","0","0","0","0","0","10","0","0","0","40","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20021","Helm of Agility","helm","0","-1","leather","13000","913","18","631","-1","6","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20022","Barranca Helm","helm","0","-1","leather","50000","1527","3818","1163","-2","4","0","1","0","1","1","1","0","1","0","1","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20023","Windhelm","helm","0","-1","leather","50000","903","18","663","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20024","Anti-King's Helm","helm","0","-1","iron","15000","959","18","0","-3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20118","0","0","3",,"0"
"20025","Balthazar's Hat","helm","0","-1","cloth","20000","1231","3255","980","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20026","Night Vision","helm","0","-1","cloth","25000","1001","18","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20027","Red Night Hood","helm","0","-1","cloth","20000","916","18","0","-2","6","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20028","Initiate's Helm","helm","0","-1","leather","40000","445","18","1330","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20029","Sema's Hat","helm","0","-1","cloth","20000","1234","3258","983","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","15","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20030","Bishop's Circlet","helm","0","-1","leather","18000","1903","4964","0","-1","6","0","0","1","1","0","0","1","0","0","0","0","0","0","0","10","0","0","1","0","40","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20031","Yahi Helmet","helm","0","-1","bone","1000","1994","5045","1715","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20131","0","0","42",,"0"
"20032","dark headband","helm","0","-1","cloth","5000","1071","2935","872","-1","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20033","Breath of Elm","helm","0","-1","leather","13000","267","18","275","-2","6","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20034","Orcish Helm","helm","0","-1","iron","30000","54","18","0","-1","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20135","0","0","34",,"0"
"20035","Elven Leather Helmet","helm","0","-1","leather","3000","53","18","0","-1","6","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20036","Magic Helmet: Night Vision","helm","0","-1","mithril","50000","167","18","304","-1","4","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20037","Mask of Truth","helm","0","-1","wood","10000","1319","3372","1051","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20038","Studded leather cap","helm","0","-1","leather","20000","445","18","0","-2","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20148","0","0","36",,"0"
"20039","Helm of Stamina","helm","0","-1","leather","13000","908","18","0","-1","6","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20040","Caspar's Hat","helm","0","-1","cloth","20000","1232","3256","981","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20041","Kurt Helm","helm","0","-1","iron","50000","1245","3261","1010","-3","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20150","0","0","4",,"0"
"20042","Kerenis' Circlet","helm","0","-1","iron","5000","969","18","0","-3","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20151","0","0","5",,"0"
"20043","Helm","helm","0","-1","iron","30000","55","18","0","-1","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20044","Pirate Food","helm","0","-1","leather","15000","1764","4342","1449","-2","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20155","0","0","41",,"0"
"20045","Bone Helmet","helm","0","-1","bone","30000","453","18","0","-3","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20124","0","0","37",,"0"
"20046","Pumpkin Helmet","helm","0","-1","vegetation","25000","950","2474","0","0","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20047","Pumpkin Mask","helm","0","-1","vegetation","20000","951","2474","0","0","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20048","Helm of Chaos","helm","0","-1","bone","5000","1993","5044","1710","-1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20049","Ant Queen Golden Wing","cloak","0","-1","gold","10000","1248","15334","1003","-4","4","1","1","0","1","0","1","1","1","0","0","0","0","0","0","50","0","0","0","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20050","Ant Queen Silver Wing","cloak","0","-1","silver","1000","1249","15342","1004","-2","4","0","0","1","1","1","0","1","1","0","0","0","0","0","0","0","70","0","5","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20051","The majesty of the monarch","cloak","0","-1","cloth","10000","941","13","0","-2","4","1","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20052","Dowavish Cloak","cloak","0","-1","cloth","10000","27","3812","0","0","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20053","Wolfskin Cloak","cloak","0","-1","leather","5000","1339","3439","1091","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20054","Earth Cloak","cloak","0","-1","cloth","20000","1081","2941","878","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20055","Mana Cloak","cloak","0","-1","cloth","10000","1007","13","769","-2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20056","Magic Cloak","cloak","0","-1","cloth","10000","265","3808","111","-1","4","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20057","Underworld King's Cloak","cloak","0","-1","cloth","10000","1908","4969","0","-5","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20109","0","0","43",,"0"
"20058","General Mantle","cloak","0","-1","cloth","9000","1897","4958","0","-2","4","1","1","0","0","1","1","0","1","0","0","0","0","0","0","20","0","3","0","0","40","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20059","Water Cloak","cloak","0","-1","cloth","20000","1092","2939","876","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20060","Pirate Cloak","cloak","0","-1","cloth","10000","1767","4345","1489","-2","4","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20061","Wind Cloak","cloak","0","-1","cloth","20000","1094","2940","877","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20062","Balrog Bloody Cloak","cloak","0","-1","cloth","10000","1718","4314","1409","-5","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20063","Protection Cloak","cloak","0","-1","cloth","10000","30","3810","0","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20064","Red Knight Cloak","cloak","0","-1","cloth","10000","29","13","0","-1","4","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20065","Red Cloak","cloak","0","-1","cloth","10000","907","13","0","-2","4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20066","Black Tiger Leather Cloak","cloak","0","-1","leather","5000","1510","3732","1197","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20067","Bishop's Cloak","cloak","0","-1","cloth","9000","1904","4965","1766","-2","4","0","0","1","1","0","0","1","0","0","0","0","0","0","0","10","0","0","3","0","40","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20068","Aden Knights' Cloak","cloak","0","-1","cloth","10000","1223","3249","975","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20069","Yahi Cloak","cloak","0","-1","bone","1000","2006","5056","1718","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20131","0","0","42",,"0"
"20070","Dark Cloak","cloak","0","-1","cloth","20000","1074","2932","869","-3","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20071","Fire Cloak","cloak","0","-1","cloth","20000","1082","2938","875","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20072","Orcish Cloak","cloak","0","-1","cloth","10000","29","3824","0","0","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20135","0","0","34",,"0"
"20073","Elven Cloak","cloak","0","-1","cloth","10000","28","3814","105","-1","6","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20074","Divine Cloak of Protection","cloak","0","-1","silver","30000","8160","15452","874","-3","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","20","0","0","4","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20075","Cloak of Death","cloak","0","-1","bone","10000","1966","5023","1713","-3","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","100","50","-10","0","0","45","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20076","Cloak of Corruption","cloak","0","-1","cloth","10000","1667","4269","1381","-2","4","0","0","0","0","1","0","0","0","0","1","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20077","Invisibility Cloak","cloak","0","-1","cloth","10000","272","3806","110","-1","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
"20078","Cloak of Chaos","cloak","0","-1","bone","5000","1979","5037","1709","-3","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","45","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0"
