"item_id","name"
"20086","Doublet Romzitz"
"20087","Doublet Lomwitz"
"20088","Doublet Romchets"
"20089","Leather Armor"
"20090","Leather vest"
"20091","Iron Plate Mail"
"20092","Ancient Leather Armor"
"20093","Ancient Robe"
"20094","Ancient Scale Mail"
"20095","Ancient Plate Mail"
"20096","Ring Mail"
"20097","Wooden Armor"
"20098","Dark Forester Armor"
"20099","Demon Armor"
"20100","Death Knight Armor"
"20101","Banded Mail"
"20102","Rastabud Leather Armor"
"20103","Rastabud Robe"
"20104","Rastabud Studded Leather Armor"
"20105","Rastabud Chainmail"
"20106","Lyre Robe"
"20107","\aF Lich Robe"
"20108","Lindvior Magic Armor"
"20109","Demon King's Robe"
"20110","Magic Chain Mail"
"20111","Wizard Clothing"
"20112","Mambo Coat"
"20113","General Armor"
"20114","Cotton Robe"
"20115","Sprint Mail"
"20116","Barranca Armor"
"20117","Baphomet Armor"
"20118","Anti-King Armor"
"20119","Valakas Magic Armor"
"20120","Belted leather vest"
"20121","Black Wizard Robe"
"20122","Scale Mail"
"20123","Beast Summoner Robe"
"20124","Bone Armor"
"20125","Chain Mail"
"20126","Initiate Armor"
"20127","Blue Dragon Scale Mail"
"20128","Crystal Plate Mail"
"20129","Bishop's Robe"
"20130","Antharas Magic Armor"
"20131","Yahi Armor"
"20132","Dark Robe"
"20133","Dark Executioner's Plate Mail"
"20134","Ice Queen Dress"
"20135","Orcish Ring Mail"
"20136","Orcish Chain Mail"
"20137","Elven Chain Mail"
"20138","Elven Plate Mail"
"20139","Elven Breastplate"
"20140","Ancient Leather Armor"
"20141","Ancient Robe"
"20142","Ancient Scale Mail"
"20143","Ancient Plate Mail"
"20144","Armor of Death"
"20145","Hard Leather Vest"
"20146","Green Dragon Scale Mail"
"20147","Studded Leather Armor"
"20148","Studded leather vest"
"20149","Bronze Plate Mail"
"20150","Kurt Armor"
"20151","Robe of Kerenis"
"20152","Robe of Corruption"
"20153","Papilion Magic Armor"
"20154","Plate Mail"
"20155","Pirate Chest Armor"
"20156","White Dragon Scale Mail"
"20157","Plate Worm Lind Armor"
"20158","Robe of Chaos"
"20159","Red Dragon Scale Mail"
"20160","Black Elder Robe"
"20161","Illusion Armor"
"20162","Leather Gloves"
"20163","Iron Glove"
"20164","Shadow Gloves"
"20165","Demon Gloves"
"20166","Death Knight Gloves"
"20167","Lizardman Gloves"
"20168","General Gloves"
"20169","Barranca Gloves"
"20170","Anti-King Gauntlet"
"20171","Protection Gloves"
"20172","Water Globe"
"20173","Initiate's Gloves"
"20174","Ice Globe"
"20175","Crystal Globe"
"20176","Bishop Grove"
"20177","Earth Globe"
"20178","Assassin King's Gloves"
"20179","Yahi Gloves"
"20180","Dark Gloves"
"20181","Fire Glove"
"20182","Gloves"
"20183","Globe of Death"
"20184","Kurtz Gloves"
"20185","Kerenis' Gloves"
"20186","Gloves of Corruption"
"20187","Power Glove"
"20188","Pirate's Gloves"
"20189","Wind Gloves"
"20190","Gloves of Chaos"
"20191","Bracers"
"20192","Leather Boots"
"20193","Leather Sandals"
"20194","Iron Boots"
"20195","Shadow Boots"
"20196","Dark Forester Boots"
"20197","Demon Boots"
"20198","Death Knight Boots"
"20199","Rastabud Boots"
"20200","Beast King's Boots"
"20201","General Boots"
"20202","Barranca Boots"
"20203","Anti-King Boots"
"20204","Byleth Boots"
"20205","boots"
"20206","Initiate's Boots"
"20207","Water Boots"
"20208","Bishop Boots"
"20209","Yahi Boots"
"20210","dark boots"
"20211","Ice Queen Sandals"
"20212","Studded leather sandals"
"20213","Low Boots"
"20214","Kurtz boots"
"20215","Kerenis's Boots"
"20216","Boots of Corruption"
"20217","Pirate Boots"
"20218","Black Elder Sandals"
"20219","Leather Shield"
"20220","Iron Shield"
"20221","Bone Shield"
"20222","Wooden Shield"
"20223","Dowavish Round Shield"
"20224","Rastabud Round Shield"
"20225","7 mana crystals"
"20226","Magic Book"
"20227","Medusa Shield"
"20228","General Shield"
"20229","Reflection Shield"
"20230","Red Knight Shield"
"20231","Tower Shield"
"20232","Initiate's Shield"
"20233","Bishop's Book"
"20234","Shield of Faith"
"20235","Eva Shield"
"20236","Elven Shield"
"20237","Orcish Shield"
"20238","Silver Knight Shield"
"20239","Small Shield"
"20240","Death Shield"
"20241","Studded Leather Shield"
"20242","Large Shield"
"20243","Valley Sign"
"20244","Minor Amulet of Charm"
"20245","Minor Amulet of Agility"
"20246","Minor Amulet of Strength"
"20247","Minor Amulet of Intelligence"
"20248","Minor Amulet of the Mind"
"20249","Minor Amulet of Stamina"
"20250","Doppelganger Amulet"
"20251","Duperguenon Amulet"
"20252","Lyre Amulet"
"20253","Demon King's Amulet"
"20254","Amulet of Charm"
"20255","Ring of the Underworld King"
"20256","Amulet of Agility"
"20257","Black Wizard Amulet"
"20258","Beast Summoner Amulet"
"20259","Island Mark"
"20260","Iris Amulet"
"20261","Yahi Amulet"
"20262","Nutritious Amulet"
"20263","Orc Warrior Amulet"
"20264","Amulet of Strength"
"20265","Seal of Harmony"
"20266","Amulet of Intelligence"
"20267","Amulet of the Spirit"
"20268","Amulet of Stamina"
"20269","Bone Amulet"
"20270","Saiha's Amulet"
"20271","Shining Saiha Necklace"
"20272","Famous bow ring"
"20273","Horsepower Gloves"
"20274","Shining Magical Gloves"
"20277","Doppelganger Light Ring"
"20278","Doppelganger Left Ring"
"20279","Liar Ring"
"20280","Magic Protection Ring"
"20281","Transformation Control Ring"
"20282","Initiate's Silver Ring"
"20283","Initiate's Cloak"
"20284","Summon Control Ring"
"20285","Water Ring"
"20286","Guardian's Ring"
"20287","Guardian Ring"
"20288","Teleport Control Ring"
"20289","Abyss Ring"
"20290","Yahi's Ring"
"20291","Nutritious Ring"
"20293","Cursed Diamond Ring"
"20294","Cursed Ruby Ring"
"20295","Cursed Sapphire Ring"
"20296","Cursed Emerald Ring"
"20297","Seal of Mental Strength"
"20298","Zenith ring"
"20299","The Price of Death"
"20300","Earth Ring"
"20301","Seal of Stamina"
"20302","Wind Ring"
"20303","Magic Resist Ring"
"20304","Fire Ring"
"20305","Saiha's Ring"
"20306","Minor Body Belt"
"20307","Minor Soul Belt"
"20308","Minor Mind Belt"
"20309","Shining Body Belt"
"20310","Shining Soul Belt"
"20311","Shining Mind Belt"
"20312","Body Belt"
"20313","dark belt"
"20314","Ancient Giant's Ring"
"20315","Nutritious Belt"
"20316","Soul Belt"
"20317","Auger Belt"
"20318","Brave Belt"
"20319","Mind Belt"
"20320","Titan Belt"
"20321","Troll Belt"
"20322","Leather jacket"
"20342","Death Robe"
"20343","Rabbit Cap"
"20345","High Cory's Choker"
"20346","High Raccoon Choker"
"20347","Hakama"
"20348","visiting clothes"
"20349","Amulet of the Upper Eden"
"20350","Snowman Necklace"
"20351","Snowman's Ginseng"
"20352","Snowman socks"
"20353","Cathar Armor"
"20354","Holy Warrior Boots"
"20355","Holy Warrior's Gloves"
"20356","Cathar Helm"
"20357","Cathar Shield"
"20358","Slave Amulet"
"20359","Amulet of Promise"
"20360","Amulet of Liberation"
"20361","Hound Amulet"
"20362","Demon Amulet"
"20363","Amulet of the Warrior"
"20364","Shogun's Amulet"
"20365","Great General's Amulet"
"20366","Monarch's Scale Mail"
"20367","Warrior's Plate Mail"
"20368","Elven Leather Armor"
"20369","Methodist Robe"
"20370","Reversal Cloak"
"20371","Reverse Boots"
"20372","Turnaround Glove"
"20373","Helm of Reversal"
"20374","Reversal Shield"
"20375","Reversal Doublet"
"20376","Monarch's Necklace"
"20377","Knight's Apprentice Necklace"
"20378","Elven Apprentice Necklace"
"20379","Wizard's Apprentice Necklace"
"20380","Halloween Blessing Hat"
"20381","Vivid headband"
"20382","Red Mask"
"20383","Horse Helm"
"20384","Lord Helm"
"20385","Knight Helm"
"20386","Elven Helm"
"20387","Wizard Helmet"
"20388","Dark Elf Helmet"
"20389","Elven Helm of %i"
"20390","Helm of the Dark Lord"
"20391","Lord Armor"
"20392","Elven Armor"
"20393","Elven Armor"
"20394","Knight Armor"
"20395","True Dark King's Armor"
"20396","Shivain's Shield"
"20397","Road Shield"
"20398","Knight Shield"
"20399","Wizard Cloak"
"20400","Dark Elf Cloak"
"20401","Elven Cloak of %i"
"20402","Mantle of the True Dark King"
"20403","Elven Boots"
"20404","Wizard Boots"
"20405","Dark Elf Boots"
"20406","Elven Boots"
"20407","Militia Boots"
"20408","Boots of the Dark King"
"20409","Bracers"
"20410","True Dark King's Gloves"
"20411","Amulet of Pain"
"20412","Amulet of Anguish"
"20413","Amulet of Hope"
"20414","Amulet of Good Luck"
"20415","Amulet of Passion"
"20416","Amulet of Truth"
"20417","Miracle Amulet"
"20418","Amulet of Compassion"
"20419","High Bear's Choker"
"20420","Lucky Cat Scarf"
"20421","Amulet of Iris"
"20422","Shining Ancient Amulet"
"20423","Amulet of the Red Curse"
"20424","Amulet of Blue Spell"
"20425","Green Curse Amulet"
"20426","Amulet of Light"
"20427","Amulets"
"20428","Ring of Hope"
"20429","Ring of Passion"
"20430","Lucky Ring"
"20431","Ring of Truth"
"20432","Miracle Ring"
"20433","Ring of Courage"
"20434","Iris' Ring"
"20435","Baron's Earth Ring"
"20436","Baron's Water Ring"
"20437","Baron's Fire Ring"
"20438","Baron's Wind Ring"
"20439","Earl's Earth Ring"
"20440","Earl's Water Ring"
"20441","Earl's Fire Ring"
"20442","Count's Wind Ring"
"20443","Duke's Earth Ring"
"20444","Duke's Water Ring"
"20445","Duke's Fire Ring"
"20446","Duke's Wind Ring"
"20447","Warlord's Earth Ring"
"20448","Warlord's Water Ring"
"20449","Warlord's Fire Ring"
"20450","Warlord's Wind Ring"
"20451","Hero's Ring"
"20452","Captain Drake's Transforming Turban"
"20453","Iris Transformation Turban"
"20454","Nightvald's transformation turban"
"20455","Succubus Queen's Transformation Turban"
"20456","Red Uniform"
"20457","Blue Uniform"
"20458","Red Orc Mask"
"20459","Red Oak Earrings"
"20460","Glorious Amulet"
"20461","Warrior Transformation Turban (Male)"
"20462","Warrior Transformation Turban (Female)"
"21000","Succubus Costume"
"21001","Snowman Costume"
"21002","Ice Golem Costume"
"21003","Brave Earrings"
"21004","Warrior Earrings"
"21005","Hero's Earrings"
"21006","Spirit Earrings"
"21007","Spirit Earrings"
"21008","Wrathful Earrings"
"21009","Passion Earrings"
"21010","Brave Earrings"
"21011","Immortality Earrings"
"21012","Honor Earrings"
"21013","Tolerance Earrings"
"21014","Spirit Earrings"
"21015","Wisdom Earrings"
"21016","Truth Earrings"
"21017","Domination Earrings"
"21018","Helio Charm"
"21019","Purifying Earrings"
"21020","Dancing Earrings"
"21021","Twin earrings"
"21022","Friendship Earrings"
"21023","The ultimate earrings"
"21024","Runaway Earrings"
"21025","Familiar Earrings"
"21026","Bloodline Earrings"
"21027","Slave's Earrings"
"21028","%i Strength T-shirt"
"21029","Agility T-shirt by %i"
"21030","%i charm T-shirt"
"21031","%i Intelligence T-shirt"
"21032","%i Life T-shirt"
"21033","Magical T-shirt by %i"
"21034","Rabbit Ring"
"21035","Illusion Helmet"
"21036","Illusion Shirt"
"21037","Illusion Shield"
"21038","Illusion Boots"
"21039","Scorching Circlet"
"21040","Scorching Shield"
"21041","Scorching Boots"
"21042","Scorching Gloves"
"21043","Ironclad Amulet"
"21044","Heji's Amulet"
"21045","Secret Amulet"
"21046","Talisman of Desperation"
"21047","Lucky Coin"
"21048","Repaired ring"
"21049","Repaired earrings"
"21050","Repaired necklace"
"21051","Wet Helm"
"21052","Wet Cloak"
"21053","Wet Armor"
"21054","Wet gloves"
"21055","Wet boots"
"21056","Wet Shield"
"21057","Training Knight's Cloak"
"21058","Training Knight's Cloak"
"21059","Poison Serpent Cloak"
"21060","Solid Pumpkin Armor"
"21061","The most set of ghosts of men"
"21062","Female ghosts most set"
"21063","Men's swimwear: briefs"
"21064","Men's swimwear: trunks"
"21065","Women's swimwear: one-piece"
"21066","Women's Swimwear Bikini"
"21067","Halloween Pumpkin Armor"
"21068","Ultimate Halloween Armor"
"21069","Belt of Rebirth"
"21070","Belt of Rebirth"
"21071","Amulet of Rebirth"
"21072","Fellowship Earrings"
"21073","Belt of Rebirth"
"21074","Fellowship Earrings"
"21075","Fellowship Earrings"
"21076","Fellowship Earrings"
"21077","Fellowship Earrings"
"21078","Fellowship Earrings"
"21079","Fellowship Earrings"
"21080","Fellowship Earrings"
"21081","Ice Queen Earrings"
"21082","Ice Queen Earrings"
"21083","Ice Queen Earrings"
"21084","Ice Queen Earrings"
"21085","Ice Queen Earrings"
"21086","Ice Queen Earrings"
"21087","Ice Queen Earrings"
"21088","Ice Queen Earrings"
"21089","Ice Queen Earrings"
"21090","Ice Queen Earrings"
"21091","Ice Queen Earrings"
"21093","Wet cap"
"21094","Wet hood"
"21095","Arnold's Gloves"
"22000","Ancient Archer's Guard"
"22001","Dragon Scale Guard"
"22002","Crystal Guard"
"22003","Ancient Warrior's Guard"
"22004","Dragon Knight's Cloak"
"22005","Shilen's Cloak"
"22006","Illusionist's Spellbook"
"22007","Theban Osiris Belt"
"22008","Demon King's Ring"
"22009","Ring of Spirit"
"22010","Aden's Guard's Transformation Turban"
"22011","Black Wizard Transformation Turban"
"22012","Harpy Transformation Turban"
"22013","Aden's Guard's Transformation Turban"
"22014","Aden's Guard's Transformation Turban"
"22015","Aden's Guard's Transformation Turban"
"22016","Black Wizard Transformation Turban"
"22017","Black Wizard Transformation Turban"
"22018","Black Wizard Transformation Turban"
"22019","Harpy Transformation Turban"
"22020","Harpy Transformation Turban"
"22021","Harpy Transformation Turban"
"22022","Captain Drake's Transforming Turban"
"22023","Captain Drake's Transforming Turban"
"22024","Captain Drake's Transforming Turban"
"22025","Iris Transformation Turban"
"22026","Iris Transformation Turban"
"22027","Iris Transformation Turban"
"22028","Nightvald's transformation turban"
"22029","Nightvald's transformation turban"
"22030","Nightvald's transformation turban"
"22031","Succubus Queen's Transformation Turban"
"22032","Succubus Queen's Transformation Turban"
"22033","Succubus Queen's Transformation Turban"
"22034","Heavensward Gloves"
"22035","Azure Mantle"
"22036","Heavensward Boots"
"22037","Heavensward Robe"
"22038","Heavenly Plate Mail"
"22039","Heavensward Leather Armor"
"22040","Heavensward Hood"
"22041","Heavensward Gloves"
"22042","Heavensward Gloves"
"22043","Heavensward Gloves"
"22044","Azure Mantle"
"22045","Azure Mantle"
"22046","Azure Mantle"
"22047","Heavensward Boots"
"22048","Heavensward Boots"
"22049","Heavensward Boots"
"22050","Heavensward Robe"
"22051","Heavensward Robe"
"22052","Heavensward Robe"
"22053","Heavenly Plate Mail"
"22054","Heavenly Plate Mail"
"22055","Heavenly Plate Mail"
"22056","Heavensward Leather Armor"
"22057","Heavensward Leather Armor"
"22058","Heavensward Leather Armor"
"22059","Heavensward Hood"
"22060","Heavensward Hood"
"22061","Heavensward Hood"
"22062","Heavenly Ring"
"22063","Blue Sky Earrings"
"22064","Azure Necklace"
"22065","10th Anniversary Golden Shirt"
"22066","10th Anniversary Silver Drill"
"22067","Durable buckskin helm"
"22068","A sturdy crown of tree branches"
"22069","Aulakia Helm"
"22070","Durable Aulakia Helm"
"22071","Shilen's Leaf Crown"
"22072","Shining Shilen Leaf Crown"
"22073","Initiate's Earrings"
"22074","Guard Captain's Earrings"
"22075","Guard Captain's Amulet"
"22076","Guard Captain's Ring"
"22167","Ice Queen Earrings"
"22192","Kukulkan Shield"
"22193","Kukulcan Mask"
"22194","Zeb Requis Fang"
"22195","Zeb Requi's Evil Eye"
"22196","Antharas Grand Plate Mail"
"22197","Antharas Grand Scale Mail"
"22198","Antharas Grand Leather Armor"
"22199","Antharas Grand Robe"
"22200","Papillon Hydro Plate Mail"
"22201","Papilion Hydro Scale Mail"
"22202","Papilion Hydro Leather Armor"
"22203","Papilion Hydro Robe"
"22204","Lindvior Storm Plate Mail"
"22205","Lindvior Storm Scale Mail"
"22206","Lindvior Storm Leather Armor"
"22207","Lindvior Storm Robe"
"22208","Valakas Flame Plate Mail"
"22209","Valakas Flame Scale Mail"
"22210","Valakas Flame Leather Armor"
"22211","Valakas Flame Robe"
"22212","Taras Globe"
"22213","Taras Boots"
"22214","\aF Seer's Mind's Eye"
"22215","Special Strength T-shirt"
"22216","Special Agility T-shirt"
"22217","Specially designed attractive T-shirt"
"22218","Special Intelligence T-shirt"
"22219","Special Life T-shirt"
"22220","Magical Special T-Shirt"
"22221","Special stun-resistant T-shirt"
"22222","Specially designed hold-resistant T-shirt"
"22223","Special Magic Resistance T-shirt"
"22224","Snapfur Healing Ring"
"22225","Snap Fur Concentration Ring"
"22226","Snapfur Health Ring"
"22227","Snapfur Mannering"
"22228","Snapfur Magic Resistance Ring"
"22229","Roomtis Red Earrings"
"22230","Roomtis Blue Earrings"
"22231","Roomtis Purple Earrings"
"22232","Close-Range Attack Rune"
"22233","Ranged Attack Rune"
"22234","Magic Attack Rune"
"22235","Close-Range Hit Rune"
"22236","Long-Range Hit Rune"
"22237","Magic Hit Rune"
"22238","Chipped Dowavish Sword (Damaged)"
"22239","Chipped Dwavish Sword (Clash)"
"22240","Tattered Orcish Bow (Damage)"
"22241","Tattered Orcish Bow (Crash)"
"22242","Broken Elder Staff (damage)"
"22243","Broken Elder Staff (crash)"
"22244","Squishy mail fragment"
"22245","Succubus's Used Boots"
"22246","Fire Defense Rune"
"22247","Wind Defense Rune"
"22248","Water Defense Rune"
"22249","Earth Defense Rune"
"22250","Wondrous Feather Cloak"
"22251","Wondrous Feather Boots"
"22252","Wondrous Feather Gloves"
"22253","Guardian Rabbit Transformation Hat"
"22254","Guardian Guard"
"22255","Wizard's Guard"
"22256","Stamina Guard"
"22257","Extreme pitching"
"22258","Ultimate Armor"
"22259","Extreme Boots"
"22260","Ice Queen's Glamorous Tiara"
"22261","Stone Globe"
"22262","Famous Archer's Gloves"
"22263","Rebel Shield"
"22300","Trainee's Strong Throw"
"22301","Initiate's Sturdy Armor"
"22302","Initiate's Sturdy Cloak"
"22303","Initiate's Strong Armor"
"22304","Sturdy Initiate Boots"
"22305","Initiate's Strong Shield"
"22306","Initiate's Sacred Throw"
"22307","Initiate's Sacred Robes"
"22308","Initiate's Sacred Mantle"
"22309","Holy Initiate's Gloves"
"22310","Holy Initiate Boots"
"22311","Initiate's Sacred Shield"
"22312","Initiate T-Shirt"
"22320","Earth Spirit Ring"
"22321","Wind Spirit Ring"
"22322","Water Spirit Amulet"
"22323","Fire Spirit Earrings"
"22324","Earth Spirit Belt"
"22325","Water Spirit Belt"
"22326","Wind Spirit Belt"
"22327","Fire Spirit Belt"
"22328","Veteran Plate Mail"
"22329","Veteran Leather Armor"
"22330","Veteran Robe"
"22331","Veteran Shield"
"22332","Veteran T-shirt"
"22333","Veteran High Boots"
"22334","Veteran Bone Helm"
"22335","Veteran Magic Cloak"
"22336","Dragon Relic"
"22337","Initiate's Belt"
"22338","Initiate's Ring"
"22339","Amulet of the Initiate"
"22340","Pure White Elf Tea: MR"
"22341","Pure White Elf Tea: MR"
"22342","Pure White Elf Tea: MR"
"22343","Pure White Elven Tea: STUN"
"22344","Pure White Elven Tea: STUN"
"22345","Pure White Elven Tea: STUN"
"22346","Pure White Elf Tea: HOLD"
"22347","Pure White Elf Tea: HOLD"
"22348","Pure White Elf Tea: HOLD"
"22349","Pure White Tea: MR"
"22350","Pure White Tea: MR"
"22351","Pure White Tea: MR"
"22352","Pure White Tea: STUN"
"22353","Pure White Tea: STUN"
"22354","Pure White Tea: STUN"
"22355","Pure White Tea: HOLD"
"22356","Pure White Tea: HOLD"
"22357","Pure White Tea: HOLD"
"22358","Ring of Knowledge"
"22359","Boots of Wisdom"
"22360","Commander's Helm"
"22361","Gelatin Stamina Necklace"
"22362","Gelatin Necklace of Wisdom"
"22363","Ring of Strength"
"22364","Ring of Agility"
"22365","Former team pitcher"
"22366","Kurtz's Legacy"
"30000","Halloween Pumpkin Grove 2012"
"30001","Halloween Pumpkin Armor 2011"
"30002","Halloween Festival Hat"
"30177","Belt of Strength"
"30178","Belt of Intelligence"
"30179","Belt of Agility"
"30180","Spirit Belt"
"90015","Phantom Plate Mail"
"90016","Fantasy Leather Armor"
"90017","Robe of Illusion"
"90018","Illusion Cloak"
"90019","Illusionary Shield"
"90020","Magic Book of Illusions"
"90021","Fantasy Boots"
"90022","Fantasy Gloves"
"90023","Helm of Illusion"
"91000","Elmore Leather Armor"
"91001","Elmore Robe"
"91002","Elmore Plate Mail"
"91003","Ring of Love"
"91004","Ring of Faith"
"91005","Container ring"
"91006","Trust Ring"
"91007","Friendship Ring"
"91008","Eternity Ring"
"93001","Magic Helm"
"93002","Magic Cloak"
"93003","Iron Boots"
"93004","Fire Glove"
"93008","Elven Shield"
"93009","T-shirt"
"120011","Magic Helm"
"120016","Mambo Hat"
"120043","Helm"
"120054","Earth Cloak"
"120056","Magic Cloak"
"120059","Water Cloak"
"120074","Divine Cloak of Protection"
"120077","Invisibility Cloak"
"120085","T-shirt"
"120101","Banded Mail"
"120110","Magic Chain Mail"
"120112","Mambo Coat"
"120128","Crystal Plate Mail"
"120137","Elven Chain Mail"
"120149","Bronze Plate Mail"
"120154","Plate Mail"
"120182","Gloves"
"120242","Large Shield"
"120244","Minor Amulet of Charm"
"120245","Minor Amulet of Agility"
"120246","Minor Amulet of Strength"
"120247","Minor Amulet of Intelligence"
"120248","Minor Amulet of the Mind"
"120249","Minor Amulet of Stamina"
"120254","Amulet of Charm"
"120256","Amulet of Agility"
"120264","Amulet of Strength"
"120266","Amulet of Intelligence"
"120267","Amulet of the Spirit"
"120268","Amulet of Stamina"
"120280","Magic Protection Ring"
"120285","Water Ring"
"120289","Abyss Ring"
"120300","Earth Ring"
"120302","Wind Ring"
"120304","Fire Ring"
"120306","Minor Body Belt"
"120307","Minor Soul Belt"
"120308","Minor Mind Belt"
"120309","Shining Body Belt"
"120310","Shining Soul Belt"
"120311","Shining Mind Belt"
"120312","Body Belt"
"120316","Soul Belt"
"120317","Auger Belt"
"120319","Mind Belt"
"120320","Titan Belt"
"120321","Troll Belt"
"122358","Ring of Knowledge"
"122363","Ring of Strength"
"122364","Ring of Agility"
"202022","Great Wizard's Hat"
"220034","Orcish Helm"
"220043","Helm"
"220056","Magic Cloak"
"220101","Banded Mail"
"220115","Sprint Mail"
"220122","Scale Mail"
"220125","Chain Mail"
"220135","Orcish Ring Mail"
"220136","Orcish Chain Mail"
"220147","Studded Leather Armor"
"220154","Plate Mail"
"220213","Low Boots"
"220237","Orcish Shield"
"220293","Cursed Diamond Ring"
"220294","Cursed Ruby Ring"
"220295","Cursed Sapphire Ring"
"220296","Cursed Emerald Ring"
"222290","Snapfer Wisdom Ring"
"222291","Snapfur Warrior Ring"
"222295","Elixir of Agility Rune: Level 55"
"222296","Elixir of Stamina Rune: Level 55"
"222297","Elixir of Intelligence Rune: Level 55"
"222298","Elixir of Wisdom Rune: Level 55"
"222299","Elixir of Power Rune: Level 55"
"222300","Magic Protection Plate Mail"
"222301","Magic Protection Scale Mail"
"222302","Magic Protection Leather Armor"
"222303","Magic Protection Gloves"
"222304","Projection Necklace"
"222305","Boots of Power"
"222306","Sage's Necklace"
"222307","Boots of Strength"
"222308","Boots of Agility"
"222309","Boots of Knowledge"
"222310","Clipboard Necklace"
"222311","Sema's Ring"
"222312","Elixir Rune of Agility: Level 70"
"222313","Stamina Elixir Rune: Level 70"
"222314","Elixir Rune of Knowledge: Level 70"
"222315","Elixir Rune of Wisdom: Level 70"
"222316","Elixir of Strength Rune: Level 70"
"222317","Gloves of Fury"
"222318","Raon's Finest Ring (Stan)"
"222319","Raon's Highest Quality Ring (Sleep)"
"222320","Raon's Finest Ring (Petrification)"
"222321","Raon's finest ring (hold)"
"222322","Raon's Finest Ring (Darkness)"
"222323","Raon's Finest Ring (Frozen)"
"222324","Divine Magic Helm"
"222325","Divine Magic Helm"
"222326","16th Anniversary Steel Gaiters"
"222327","steel gaiters"
"222328","Magic Defense Gaiters"
"222329","Black Star Gaiters"
"222330","Blessed Snapper Healing Ring"
"222331","Blessed Snapper's Focus Ring"
"222332","Blessed Snapper Health Ring"
"222333","Blessed Snapper Mannering"
"222334","Blessed Snapper Magic Resistance Ring"
"222335","Blessed Snapper's Ring of Wisdom"
"222336","Blessed Snapper Warrior Ring"
"222337","Roomtis' Red Light Earrings"
"222338","Roomtis Blue Light Earrings"
"222339","Roomtis violet earrings"
"222340","Roomtis Black Earrings"
"222341","Roomtis Black Earrings"
"222342","Black Knight's Visor"
"222343","Shieldwing Bracers"
"222344","Sacred Elm Blessing"
"222345","Shield Wing Power Gloves"
"222346","Necklace of Divine Strength"
"222347","Necklace of Divine Agility"
"222348","Necklace of Divine Knowledge"
"222349","Sacred Eternity Necklace"
"222350","Ogre King's Belt"
"222351","Sacred Elven Plate Mail"
"222352","Strength sentences"
"222353","Agile writing"
"222354","Knowledge Texts"
"222355","Sacred Elven Shield"
"232355","Strength sentence (growth)"
"232356","Agile Writing (Growth)"
"232357","Knowledge Text (Growth)"
"232358","Strength sentence (recovery)"
