"id","note","npcid","info","rndXY","groupid","is_yn","is_ment","ment"
"59","Alfia","5047","出現デー:月,火,水,木,金,土,日
出現タイム:3時20分,6時20分,9時20分,12時20分,15時20分,18時20分,21時20分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32505,33060,0","0","0","0","0",""
"61","Ancient Guardian","707026","出現デー:月,火,水,木,金,土,日
出現タイム:23時20分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32907,32781,1700","0","0","0","0",""
"62","Titan Golem","707037","出現デー:月,火,水,木,金,土,日
出現タイム:23時30分,5時30分,11時30分,17時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32822,32925,1703","20","0","0","0",""
"63","Harpy Queen","707023","出現デー:月,火,水,木,金,土,日
出現タイム:22時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32921,32735,1700","15","0","0","0",""
"64","Cockatrice King","707024","出現デー:月,火,水,木,金,土,日
出現タイム:22時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32823,32739,1700","15","0","0","0",""
"65","Ogre King","707025","出現デー:月,火,水,木,金,土,日
出現タイム:22時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32911,32868,1700","15","0","0","0",""
"66","Great Minotaur","707022","出現デー:月,火,水,木,金,土,日
出現タイム:22時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32672,32735,1700","15","0","0","0",""
"67","Drake King","707017","出現デー:月,火,水,木,金,土,日
出現タイム:23時30分,5時30分,11時30分,17時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32817,32946,1700","15","0","0","0",""
"68","Chimera Grade","76021","出現デー:月,火,水,木,金,土,日
出現タイム:2時00分,4時00分,6時00分,8時00分,10時00分,12時00分,14時00分,16時00分,18時00分,20時00分,22時00分,0時00分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32758,32756,28","20","0","0","0",""
"69","Huos","7210006","出現デー:月,火,水,木,金,土,日
出現タイム:23時30分,5時30分,11時30分,17時30分,21時20分
ランダムタイム:1分
削除タイム:3600秒
出現座標:33130,32965,814","0","0","0","0",""
"70","Arioch","45671","出現デー:月,火,水,木,金,土,日
出現タイム:23時30分,5時30分,11時30分,17時30分,21時20分
ランダムタイム:1分
削除タイム:3600秒
出現座標:33332,32451,4","15","0","0","0",""
"71","Wind Dragon Guardian","450796","出現デー:月,火,水,木,金,土,日
出現タイム:6時00分,12時00分,18時00分,0時00分
ランダムタイム:1分
削除タイム:3600秒
出現座標:34206,32877,4","0","0","0","0",""
"72","Mino Shaman","450802","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:34175,32808,4","15","0","0","0",""
"73","El Shabet","5136","出現デー:月,火,水,木,金,土,日
出現タイム:17時28分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32899,33244,4","0","0","0","0",""
"74","Sandworm","5135","出現デー:月,火,水,木,金,土,日
出現タイム:23時00分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32899,33244,4","0","0","0","0",""
"75","Death Knight","45601","出現デー:月,火,水,木,金,土,日
出現タイム:6時10分,12時10分,18時10分,0時10分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32774,32785,813","15","0","0","0",""
"76","Bigfoot Mayo","5146","出現デー:月,火,水,木,金,土,日
出現タイム:4時10分,8時10分,12時10分,16時10分,20時10分,0時10分
ランダムタイム:1分
削除タイム:3600秒
出現座標:34144,32233,4","0","0","0","0",""
"77","Giant Morning Star","45610","出現デー:月,火,水,木,金,土,日
出現タイム:3時20分,6時20分,9時20分,12時20分,15時20分,18時20分,21時20分
ランダムタイム:1分
削除タイム:3600秒
出現座標:34241,33368,4","0","0","0","0",""
"78","daemon","45649","出現デー:月,火,水,木,金,土,日
出現タイム:3時10分,6時10分,9時10分,12時10分,15時10分,18時10分,21時10分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32707,32823,284","0","0","0","0",""
"79","chaos","45625","出現デー:月,火,水,木,金,土,日
出現タイム:3時01分,6時01分,9時01分,12時01分,15時01分,18時01分,21時01分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32707,32823,284","0","0","0","0",""
"80","Black Knight Chief Kurtz","45600","出現デー:月,火,水,木,金,土,日
出現タイム:2時20分,4時20分,6時20分,8時20分,10時20分,12時20分,14時20分,16時20分,18時20分,20時20分,22時20分,0時20分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32635,32959,0","0","0","0","0",""
"81","Phoenix","7210022","出現デー:月,火,水,木,金,土,日
出現タイム:3時30分,6時30分,9時30分,12時30分,15時30分,18時30分,21時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:33723,32255,4","0","0","0","0",""
"82","Upbound","5044","出現デー:月,火,水,木,金,土,日
出現タイム:2時50分,4時50分,6時50分,8時50分,10時50分,12時50分,14時50分,16時50分,18時50分,20時50分,22時50分,0時50分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32530,32820,0","0","0","0","0",""
"83","Distortion Zenith Queen","7310015","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32791,32786,101","0","0","0","0",""
"84","Mistrust Sheer","7310021","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32763,32801,102","0","0","0","0",""
"85","Fear Vampire","7310028","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32769,32812,103","0","0","0","0",""
"86","Death Zombie Road","7310034","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32666,32863,104","0","0","0","0",""
"87","Hell Cougar","7310041","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32629,32865,105","0","0","0","0",""
"88","Immortal Mummy Lord","7310046","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分,19時46分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32650,32850,106","0","0","1","0",""
"89","Brutal Iris","7310051","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32671,32854,107","0","0","0","0",""
"90","Dark Knight Baldr","7310056","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32669,32860,108","0","0","0","0",""
"91","Forever Rich","7310061","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32667,32863,109","0","0","0","0",""
"92","Part Ugnus","7310066","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32761,32801,110","0","0","0","0",""
"93","Death Grim Reaper","7310077","出現デー:月,火,水,木,金,土,日
出現タイム:2時30分,4時30分,6時30分,8時30分,10時30分,12時30分,14時30分,16時30分,18時30分,20時30分,22時30分,0時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32722,32903,111","0","0","0","0",""
"94","The Fearsome Lindbior","450803","出現デー:月,火,水,木,金,土,日
出現タイム:18時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:34264,32795,4","0","0","0","0",""
"95","Fearful Antharas","7000098","出現デー:月,火,水,木,金,土,日
出現タイム:17時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32697,32824,37","0","0","0","0",""
"96","Water Dragon Guardian","7220010","出現デー:月,火,水,木,金,土,日
出現タイム:3時30分,6時30分,9時30分,12時30分,15時30分,18時30分,21時30分
ランダムタイム:1分
削除タイム:3600秒
出現座標:32752,32843,63","25","0","0","0",""
