"id","location","count","npc_templateid","locx","locy","randomx","randomy","heading","respawn_delay","mapid","movement_distance"
"35","Teleporter in Hida Village^Fuffa","1","50030","32631","32792","0","0","6","0","4","100"
"37","Dillon","1","50014","32669","32811","0","0","6","0","1","0"
"39","Coliseum Manager","1","50061","33055","33362","0","0","4","0","4","100"
"40","Coliseum Assistant Manager","1","50062","33060","33362","0","0","6","0","4","100"
"41","Coliseum Manager","1","50037","33505","32762","0","0","4","0","4","0"
"42","Coliseum Assistant Manager","1","50038","33497","32761","0","0","6","0","4","0"
"43","guard","1","50084","33516","32739","0","0","6","0","88","0"
"44","Coliseum Assistant Manager","1","50019","33678","33223","0","0","5","0","97","0"
"45","Coliseum Manager","0","50018","32551","33006","0","0","4","0","0","0"
"46","Coliseum Assistant Manager","1","50019","32546","33006","0","0","5","0","91","0"
"47","Coliseum Manager","1","50028","32573","32751","0","0","4","0","4","100"
"48","Coliseum Assistant Manager","1","50029","32573","32756","0","0","6","0","4","100"
"50","Coliseum Assistant Manager","1","50019","33093","32750","0","0","5","0","93","0"
"52","Coliseum Assistant Manager","1","50019","32599","33141","0","0","5","0","94","0"
"53","Coliseum Manager","1","50041","33746","32528","0","0","4","0","4","100"
"54","Coliseum Assistant Manager","1","50042","33751","32528","0","0","6","0","4","100"
"55","Teleporter Oberle","1","50023","32751","32796","0","0","4","0","15","0"
"56","Teleporter^Royal Palace Gatekeeper","1","50021","32734","32784","0","0","4","300","15","0"
"57","Teleporter^Royal Palace Gatekeeper","1","50052","32733","32784","0","0","4","300","29","0"
"59","Teleporter^Royal Palace Gatekeeper","1","50035","32733","32789","0","0","5","300","52","0"
"60","Teleporter^Royal Palace Gatekeeper","1","50067","32579","32811","0","0","6","300","64","0"
"61","Teleporter^Royal Palace Gatekeeper","1","50040","32865","32803","0","0","6","300","66","0"
"62","Teleporter^Royal Palace Gatekeeper","1","50047","32891","32524","0","0","4","300","300","0"
"63","Fairy Princess","1","70853","32968","32443","0","0","5","0","4","100"
"64","sepia","1","50031","32713","32842","0","0","6","0","32","0"
"65","Kent Relic Merchant Niki","1","50118","32749","32795","0","0","4","0","15","0"
"66","Teleport Scroll Craftsman Consul","1","50127","32755","32889","0","0","5","0","320","0"
"72","Teleporter Duval","1","50064","32721","32443","0","0","6","0","4","100"
"73","Teleporter Dials","1","50072","32805","32794","0","0","3","0","310","0"
"74","Teleporter^Diabes","0","50073","32958","32857","0","0","2","0","320","0"
"75","The Great Void Teleporter","0","50074","32963","32938","0","0","6","0","320","0"
"76","Teleporter ^ Fortress Gatekeeper","0","50075","33000","32928","0","0","4","300","320","0"
"77","Spirit Orb","1","50076","32922","32798","0","0","6","0","430","0"
"78","Spirit Orb","1","50077","32804","33047","0","0","6","0","420","0"
"79","Spirit Orb","1","50078","32736","32807","0","0","6","0","444","0"
"80","Lair Manager Greda","1","50501","33352","32776","0","0","6","0","4","100"
"81","Lair Manager^Ginebra","1","50502","33400","32861","0","0","6","0","4","100"
"82","Hideout Manager Noella","1","50503","33359","32790","0","0","6","0","4","100"
"83","Hideout Manager ^ Nicolin","1","50504","33345","32674","0","0","6","0","4","100"
"84","Hideout Manager Diane","1","50505","33385","32656","0","0","6","0","4","100"
"85","Den Manager Duana","1","50506","33414","32852","0","0","6","0","4","100"
"86","Hideout Manager Leonora","1","50507","33460","32841","0","0","6","0","4","100"
"87","Lair Manager Lutinda","1","50508","33371","32791","0","0","6","0","4","100"
"88","Hideout Manager ^ Livina","1","50509","33425","32692","0","0","6","0","4","100"
"89","Hideout Manager ^ Marina","1","50510","33342","32662","0","0","6","0","4","100"
"90","Lair Manager Margery","1","50511","33367","32762","0","0","6","0","4","100"
"91","Hideout Manager Mary","1","50512","33361","32671","0","0","6","0","4","100"
"92","Den Warden Mennefa","1","50513","33405","32740","0","0","6","0","4","100"
"93","Hideout Manager Minerva","1","50514","33383","32775","0","0","4","0","4","100"
"94","Hideout Manager Mirjam","1","50515","33380","32714","0","0","6","0","4","100"
"95","Den Warden Manager Bereska","1","50516","33476","32667","0","0","4","0","4","100"
"96","Lair Manager Berenice","1","50517","33398","32812","0","0","4","0","4","100"
"97","Hideout Manager ^ Babyna","1","50518","33458","32699","0","0","4","0","4","100"
"98","Lair Manager Beth","1","50519","33397","32657","0","0","6","0","4","100"
"99","Hideout Manager Sarah","1","50520","33419","32708","0","0","4","0","4","100"
"100","Hideout Manager ^ Saroma","1","50521","33378","32829","0","0","6","0","4","100"
"101","Lair Manager Sigrid","1","50522","33376","32874","0","0","6","0","4","100"
"102","Hideout Manager Elma","1","50523","33444","32871","0","0","6","0","4","100"
"103","Lair Manager Memira","1","50524","33498","32803","0","0","4","0","4","100"
"104","Lair Manager Ellaria","1","50525","33342","32711","0","0","6","0","4","100"
"105","Lair Manager Elinora","1","50526","33362","32683","0","0","4","0","4","100"
"106","Hideout Manager ^ Enma","1","50527","33373","32656","0","0","4","0","4","100"
"107","Hideout Manager Osa","1","50528","33425","32719","0","0","6","0","4","100"
"108","Eve","1","50529","33458","32655","0","0","6","0","4","100"
"109","Hideout Manager Ione","1","50530","33390","32850","0","0","4","0","4","100"
"110","Hideout Manager Justin","1","50531","33440","32667","0","0","6","0","4","100"
"111","Hideout Manager Geraldine","1","50532","33402","32793","0","0","4","0","4","100"
"112","Hideout Manager Joanna","1","50533","33448","32731","0","0","4","0","4","100"
"113","Hideout Manager ^ Julia","1","50534","33354","32733","0","0","4","0","4","100"
"114","Hideout Manager Juliana","1","50535","33383","32805","0","0","6","0","4","100"
"115","Hideout Manager ^ Gilda","1","50536","33410","32676","0","0","6","0","4","100"
"116","Hideout Manager ^ Caleria","1","50537","33398","32823","0","0","6","0","4","100"
"117","Lair Manager Carmel","1","50538","33472","32680","0","0","6","0","4","100"
"118","Hideout Manager Karin","1","50539","33436","32843","0","0","4","0","4","100"
"119","Lair Manager Catriona","1","50540","33367","32715","0","0","6","0","4","100"
"120","Den Manager Tessa","1","50541","33429","32872","0","0","6","0","4","100"
"121","Den Manager Teodora","1","50542","33404","32756","0","0","4","0","4","100"
"122","Hideout Manager ^Tekla","1","50543","33376","32699","0","0","6","0","4","100"
"123","Hideout Manager Paulina","1","50544","33484","32793","0","0","4","0","4","100"
"124","Hideout Manager Henrietta","1","50545","33427","32658","0","0","6","0","4","100"
"125","Den Manager Nadine","1","50546","33914","33388","0","0","4","0","4","100"
"126","Lair Manager Nash","1","50547","34092","33352","0","0","4","0","4","100"
"127","Hideout Manager Natalia","1","50548","33899","33216","0","0","4","0","4","100"
"128","Hideout Manager Nona","1","50549","33931","33212","0","0","2","0","4","100"
"129","Hideout Manager Nita","1","50550","34042","33111","0","0","2","0","4","100"
"130","Hideout Manager Diana","1","50551","34125","33369","0","0","6","0","4","100"
"131","Hideout Manager Dorie","1","50552","34041","33131","0","0","6","0","4","100"
"132","Hideout Manager Dina","1","50553","34105","33393","0","0","6","0","4","100"
"133","Hideout Manager Levins","1","50554","34061","33398","0","0","6","0","4","100"
"134","Lair Manager Lucy","1","50555","34100","33112","0","0","6","0","4","100"
"135","Lair Manager Rosiri","1","50556","33933","33407","0","0","6","0","4","100"
"136","Lair Manager Rothis","1","50557","34002","33326","0","0","6","0","4","100"
"137","Lair Manager ^Lessier","1","50558","33964","33416","0","0","4","0","4","100"
"138","Lair Manager Lucinda","1","50559","34128","33112","0","0","2","0","4","100"
"139","Hideout Manager Liz","1","50560","34072","33354","0","0","4","0","4","100"
"140","Hideout Manager Rija","1","50561","34092","33392","0","0","6","0","4","100"
"141","Hideout Manager Mariel","1","50562","33933","33296","0","0","2","0","4","100"
"142","Lair Manager McCurry","1","50563","34028","33110","0","0","2","0","4","100"
"143","Hideout Manager ^Meyo","1","50564","34003","33402","0","0","4","0","4","100"
"144","Hideout Manager ^ Mei","1","50565","33897","33317","0","0","4","0","4","100"
"145","Hideout Manager ^Mera","1","50566","33977","33203","0","0","5","0","4","100"
"146","Hideout Manager Morin","1","50567","34144","33398","0","0","6","0","4","100"
"147","Lair Manager Mitchell","1","50568","34095","33371","0","0","6","0","4","100"
"148","Lair Manager Micheli","1","50569","33956","33323","0","0","4","0","4","100"
"149","Hideout Manager Mindy","1","50570","34072","33381","0","0","4","0","4","100"
"150","Hideout Manager Beverly","1","50571","33954","33402","0","0","4","0","4","100"
"151","Lair Manager Beth","1","50572","34125","33355","0","0","6","0","4","100"
"152","Den Manager Bella","1","50573","33911","33290","0","0","4","0","4","100"
"153","Hideout Manager Bonnier","1","50574","33890","33352","0","0","2","0","4","100"
"154","Hideout Manager ^ Bobby","1","50575","34074","33397","0","0","6","0","4","100"
"155","Hideout Manager Brittany","1","50576","34158","33143","0","0","6","0","4","100"
"156","Hideout Manager Bianca","1","50577","33920","33295","0","0","2","0","4","100"
"157","Hideout Manager ^ Violet","1","50578","33948","33307","0","0","6","0","4","100"
"158","Hideout Manager Sadie","1","50579","33915","33194","0","0","2","0","4","100"
"159","Hideout Manager Serre","1","50580","33890","33384","0","0","6","0","4","100"
"160","Hideout Manager ^ Selina","1","50581","34125","33392","0","0","6","0","4","100"
"161","Hideout Manager ^ Sophia","1","50582","33918","33408","0","0","4","0","4","100"
"162","Hideout Manager Sherry","1","50583","33895","33395","0","0","4","0","4","100"
"163","Hideout Manager ^ Severe","1","50584","33916","33398","0","0","4","0","4","100"
"164","Hideout Manager Cindy","1","50585","34125","33402","0","0","6","0","4","100"
"165","Hideout Manager Sylvia","1","50586","34146","33166","0","0","4","0","4","100"
"166","Lair Manager Alana","1","50587","34012","33373","0","0","4","0","4","100"
"167","Hideout Manager Amie","1","50588","34146","33372","0","0","6","0","4","100"
"168","Lair Manager ^Aberi","1","50589","33913","33364","0","0","4","0","4","100"
"169","Hideout Manager Acacia","1","50590","34059","33377","0","0","6","0","4","100"
"170","Hideout Manager Angelina","1","50591","33923","33303","0","0","6","0","4","100"
"171","Hideout Manager Angelica","1","50592","34125","33161","0","0","6","0","4","100"
"172","Hideout Manager Eddie","1","50593","34023","33385","0","0","6","0","4","100"
"173","Lair Manager Ebony","1","50594","34105","33408","0","0","4","0","4","100"
"174","Hideout Manager Angeline","1","50595","34078","33372","0","0","4","0","4","100"
"175","Hideout Manager Odia","1","50596","34159","33403","0","0","6","0","4","100"
"176","Hideout Manager Ophelia","1","50597","33904","33349","0","0","4","0","4","100"
"177","Hideout Manager ^ Wanda","1","50598","33922","33327","0","0","6","0","4","100"
"178","Hideout Manager Isabel","1","50599","33940","33404","0","0","4","0","4","100"
"179","Hideout Manager ^Genes","1","50600","33973","33273","0","0","4","0","4","100"
"180","Den Manager Zenith","1","50601","34056","33110","0","0","6","0","4","100"
"181","Hideout Manager Joan","1","50602","33906","33330","0","0","6","0","4","100"
"182","Hideout Manager ^ Judith","1","50603","33985","33300","0","0","6","0","4","100"
"183","Lair Manager ^Chereny","1","50604","34128","33130","0","0","6","0","4","100"
"184","Hideout Manager ^Karot","1","50605","33916","33373","0","0","2","0","4","100"
"185","Lair Manager Kalisha","1","50606","34105","33120","0","0","4","0","4","100"
"186","Hideout Manager Candice","1","50607","34132","33419","0","0","6","0","4","100"
"187","Teleporter^Kinin","0","50608","34109","33350","0","0","4","0","4","100"
"188","Den Manager Tamara","1","50609","34142","33142","0","0","4","0","4","100"
"189","Hideout Manager ^Teresa","1","50610","33916","33229","0","0","2","0","4","100"
"190","Lair Manager Prolance","1","50611","33986","33402","0","0","4","0","4","100"
"191","Hideout Manager ^ Florina","1","50612","33919","33316","0","0","6","0","4","100"
"192","Hideout Manager Helena","1","50613","34031","33132","0","0","6","0","4","100"
"193","Hideout Manager ^ Nobita","1","50614","33582","33339","0","0","6","0","4","100"
"194","Hideout Manager Dyne","1","50615","33626","33446","0","0","6","0","4","100"
"195","Hideout Manager Delia","1","50616","33625","33397","0","0","6","0","4","100"
"196","Hideout Manager Lorena","1","50617","33583","33305","0","0","6","0","4","100"
"197","Lair Manager Morna","1","50618","33619","33380","0","0","6","0","4","100"
"198","Hideout Manager Miriam","1","50619","33626","33225","0","0","6","0","4","100"
"199","Hideout Manager Adina","1","50620","33610","33218","0","0","6","0","4","100"
"200","Hideout Manager Edri","1","50621","33632","33247","0","0","6","0","4","100"
"201","Lair Manager Elshire","1","50622","33618","33266","0","0","4","0","4","100"
"202","Hideout Manager^Zenia","1","50623","33629","33209","0","0","4","0","4","100"
"203","Lair Manager Triona","1","50624","33576","33233","0","0","4","0","4","100"
"205","Integrated Warehouse Keeper ^ Nodim","1","60008","33431","32816","0","0","5","0","4","100"
"207","Integrated Warehouse Keeper Karim","1","60007","32618","32800","0","0","5","0","4","100"
"208","Integrated Warehouse Keeper ^ Kardim","1","60017","33922","33345","0","0","4","0","4","100"
"209","Calvas","1","60018","33962","33243","0","0","4","0","4","100"
"210","Integrated Warehouseman Hakim","1","60030","33601","33235","0","0","5","0","4","100"
"211","Integrated Warehouse Keeper^Hirim","1","60021","34054","32287","0","0","5","0","4","100"
"212","Integrated Warehouse Keeper Dorin","1","60001","32575","32946","0","0","5","0","0","0"
"213","Integrated Warehouse Keeper ^ Juke","1","60016","34001","33351","0","0","4","0","4","100"
"214","Integrated Warehouseman Timpkin","1","60019","34086","33144","0","0","4","0","4","100"
"215","Integrated Warehouse Keeper Slam","1","60003","33065","32777","0","0","5","0","4","100"
"216","Integrated Warehouse Keeper Kuhatin","1","60027","32746","32444","0","0","5","0","4","100"
"217","Integrated Warehouse Manager ^ Exelon","1","60013","33723","32490","0","0","5","0","4","100"
"218","Integrated Warehouse Keeper Saurum","1","60009","33422","32812","0","0","5","0","4","100"
"219","Elf Warehouse Keeper ^ El","1","60028","33067","32343","0","0","5","0","4","100"
"220","Integrated Warehouse Keeper Ogi","1","60015","32873","32535","0","0","4","0","300","0"
"221","Integrated Warehouse Keeper ^ Rayas","1","60031","32877","32910","0","0","5","0","304","0"
"222","Integrated Warehouse Keeper Bakhof","1","60002","32749","32786","0","0","5","0","15","0"
"223","Integrated Warehouse Keeper Bogin","1","60022","32749","32786","0","0","5","0","29","0"
"225","Integrated Warehouse Keeper^Tofen","1","60012","32742","32815","0","0","7","0","52","0"
"226","Integrated Warehouse Keeper ^ Cliom","1","60014","32851","32796","0","0","2","0","66","0"
"227","Integrated Warehouse Keeper^Hydrim","1","60029","32558","32847","0","0","7","0","64","0"
"228","Warehouse Keeper Garin","0","60032","32978","32860","0","0","4","0","320","0"
"229","Integrated Warehouse Keeper ^ Zidar","1","60035","32609","32920","0","0","6","0","400","0"
"230","Integrated Warehouse Keeper Cowl","1","60033","32806","32797","0","0","4","0","310","0"
"231","Integrated Warehouse Keeper ^ Kudo","1","60034","32425","33068","0","0","5","0","440","0"
"232","Integrated Warehouse Keeper Tiggs","1","60036","32575","32664","0","0","5","0","401","0"
"233","Pet Manager Cobb","1","70664","33690","32499","0","0","2","0","4","100"
"234","Pet Manager Hans","1","70836","32764","32448","0","0","6","0","4","0"
"235","Pet Manager Rick","1","70544","33039","32746","0","0","4","0","4","100"
"236","Pet Manager Elan","1","70873","33649","33410","0","0","4","0","4","100"
"237","Pet Manager Johnson","0","70532","32450","32990","0","0","5","0","0","0"
"238","Kevin the Pet Manager","1","70632","33492","32688","0","0","6","0","4","100"
"239","Pet Manager Almon","1","70617","33340","32724","0","0","4","0","4","100"
"241","Pet Manager ^ Mild","1","70749","34079","32296","0","0","5","0","4","100"
"242","Pet Manager ^Pow","1","70723","33921","33174","0","0","4","0","4","100"
"243","General Goods Merchant Pandora","1","70014","32641","32950","0","0","6","0","0","0"
"245","Scroll Merchant Belita","1","70033","33383","32730","0","0","6","0","4","100"
"246","Potion Merchant Randall","1","70028","33488","32777","0","0","4","0","4","100"
"247","General Goods Merchant Mayer","1","70030","33455","32820","0","0","6","0","4","100"
"249","General Goods Merchant Britt","1","70082","33641","33286","0","0","6","0","4","100"
"250","General Goods Merchant Chicky","0","70090","32649","33020","0","0","6","0","70","0"
"251","General Goods Merchant Tyrone","0","70091","32634","32682","0","0","6","0","70","0"
"252","General Goods Merchant Bius","1","70063","34065","32289","0","0","4","0","4","100"
"254","General Goods Merchant Pagol","1","70067","32790","32817","0","0","7","0","75","0"
"255","General Goods Merchant Melisa","1","70052","33999","33141","0","0","4","0","4","100"
"256","Potion Merchant Rozen","1","70049","34003","33248","0","0","6","0","4","100"
"257","General Goods Merchant Raon","1","70048","34152","33124","0","0","4","0","4","100"
"259","Potion Merchant Catherine","1","70057","34126","33149","0","0","6","0","4","100"
"261","General Goods Merchant Lotte","1","70021","32596","32743","0","0","4","0","4","100"
"262","General Goods Merchant Isoria","1","70018","33065","32733","0","0","4","0","4","100"
"264","General Goods Merchant Ashur","1","70071","32866","33250","0","0","5","0","4","100"
"265","Jackson, General Goods Merchant","1","70079","32752","32432","0","0","5","0","4","100"
"266","General Goods Merchant Berry","1","70045","33739","32492","0","0","4","0","4","100"
"267","Orc Merchant^Passim","1","70025","32634","32813","0","0","6","0","4","100"
"268","General Goods Merchant Buak","1","70081","32799","32896","0","0","4","0","63","0"
"269","General Goods Merchant Squatty","1","70088","32870","32893","0","0","6","0","304","0"
"272","General Goods Merchant Emmaelt","0","70092","32986","32861","0","0","4","0","320","0"
"273","General Goods Merchant ^ Karp","1","70093","32788","32806","0","0","4","0","310","0"
"274","General Goods Merchant Pony","1","70097","32424","33032","0","0","4","0","440","0"
"275","Smuggler Popo","1","70098","32848","32991","0","0","7","0","410","0"
"278","Weapon and Armor Merchant Shivan","1","70083","33624","33283","0","0","4","0","4","100"
"279","Arms and Armor Merchant Mandora","1","70061","34068","32295","0","0","6","0","4","100"
"280","Weapon and Armor Merchant ^Defuman","1","70047","34006","33110","0","0","4","0","4","100"
"281","Weapons and Armor Merchant ^Ketty","1","70024","32637","32783","0","0","4","0","4","100"
"282","Arms and Armor Merchant Andin","1","70016","33070","32754","0","0","4","0","4","100"
"283","Weapon and Armor Merchant Ralph","1","70044","33717","32517","0","0","4","0","4","100"
"284","Weapon and Armor Merchant Virgil","1","70032","33436","32751","0","0","6","0","4","100"
"285","Weapon and Armor Merchant Fega","1","70058","34152","33103","0","0","4","0","4","100"
"286","Hunter Derek","1","70026","33496","32777","0","0","4","0","4","100"
"287","Weapon and Armor Merchant Duron","1","70095","32433","33032","0","0","6","0","440","0"
"288","Magic Instructor Varis","1","70062","32793","32811","0","0","7","0","76","0"
"289","Magic Instructor Christ","1","70066","32769","32852","0","0","3","0","76","0"
"290","Magic Instructor Horn","1","70080","32730","32788","0","0","4","0","16","0"
"291","Crystal Merchant Ellie","1","70060","32791","32818","0","0","4","0","75","0"
"292","Magic Instructor ^Sedia","1","70087","32878","32904","0","0","4","0","304","0"
"293","Fireworks Merchant Stella","1","70036","33476","32734","0","0","6","0","4","100"
"294","Fireworks Merchant Lucky","1","70050","33953","33361","0","0","5","0","4","100"
"295","Arms and Armor Merchant Franco","1","70068","34021","32261","0","0","4","0","4","100"
"298","Forgotten Island Manager","0","70086","33446","33476","0","0","6","0","4","100"
"300","Wharf Manager Peace","1","70011","32633","32969","0","0","0","0","0","0"
"301","Wharf Manager Peace","1","70022","32560","32723","0","0","4","0","4","100"
"302","Dock Manager Duran","1","70094","32753","32860","0","0","6","0","445","0"
"304","Leather Dealer Philip","1","70043","33451","32756","0","0","4","0","4","100"
"305","Evert the Cloth Merchant","1","70038","33416","32771","0","0","6","0","4","100"
"306","Pet Merchant Eishinu","1","70055","33941","33188","0","0","4","0","4","100"
"307","Cooking Ingredients Merchant Shar","1","70053","34022","33112","0","0","4","0","4","100"
"308","Pet Trader Rodney","0","70077","32798","32419","0","0","6","0","4","100"
"309","Margaret, the Cooking Ingredient Merchant","1","70029","33451","32751","0","0","6","0","4","100"
"310","Jason the Lumberjack","1","70040","33452","32764","0","0","6","0","4","100"
"313","Innkeeper Loria","1","70019","32627","32758","0","0","4","0","4","100"
"314","Innkeeper Serena","1","70012","32596","32929","0","0","4","0","0","0"
"315","Innkeeper Subin","1","70054","33988","33311","0","0","5","0","4","100"
"316","Innkeeper Ellie","1","70084","33599","33273","0","0","4","0","4","100"
"319","Innkeeper Morley","1","70031","33431","32785","0","0","4","0","4","100"
"320","Innkeeper Enke","1","70065","34062","32252","0","0","4","0","4","100"
"321","Innkeeper Miele","1","70096","32448","33045","0","0","4","0","440","0"
"322","Explorer's Assistant","1","50081","32852","32798","0","0","5","0","480","0"
"324","Evolution Seed Crafter^Raiders","1","70526","32593","32931","0","0","4","0","0","0"
"326","Item Crafter Lumiere","1","70676","34122","33148","0","0","5","0","4","100"
"327","Item Crafter Rudiel","1","70841","33078","32323","0","0","7","0","4","100"
"328","Item Crafter Naruen","1","70837","33066","32358","0","0","6","0","4","100"
"329","Priest Ebrol","1","70872","32739","32815","0","0","5","0","62","0"
"332","Guardian of the Forest ^ Fairy Queen","1","70852","33157","32276","0","0","5","0","4","100"
"333","Item Crafter Nelfa","1","70838","32741","32787","0","0","5","0","17","0"
"334","Arachne, Guardian of the Forest","1","70846","33139","32262","0","0","5","0","4","100"
"335","Arachne, Guardian of the Forest","1","70846","33113","32241","0","0","5","0","4","100"
"336","Arachne, Guardian of the Forest","1","70846","33086","32229","0","0","5","0","4","100"
"337","Arachne, Guardian of the Forest","1","70846","33063","32232","0","0","5","0","4","100"
"338","Arachne, Guardian of the Forest","1","70846","33057","32266","0","0","5","0","4","100"
"339","Arachne, Guardian of the Forest","1","70846","33087","32297","0","0","5","0","4","100"
"340","Arachne, Guardian of the Forest","1","70846","33098","32354","0","0","5","0","4","100"
"341","Arachne, Guardian of the Forest","1","70846","33110","32386","0","0","5","0","4","100"
"342","Arachne, Guardian of the Forest","1","70846","33086","32400","0","0","5","0","4","100"
"343","Arachne, Guardian of the Forest","1","70846","33053","32389","0","0","5","0","4","100"
"344","Pan, Guardian of the Forest","1","70850","33009","32403","0","0","5","0","4","100"
"345","Pan, Guardian of the Forest","1","70850","32987","32378","0","0","5","0","4","100"
"346","Pan, Guardian of the Forest","1","70850","32971","32350","0","0","5","0","4","100"
"347","Pan, Guardian of the Forest","1","70850","33004","32327","0","0","5","0","4","100"
"348","Pan, Guardian of the Forest","1","70850","33031","32306","0","0","5","0","4","100"
"349","Pan, Guardian of the Forest","1","70850","33014","32273","0","0","5","0","4","100"
"350","Pan, Guardian of the Forest","1","70850","33042","32263","0","0","5","0","4","100"
"351","Pan, Guardian of the Forest","1","70850","33070","32262","0","0","5","0","4","100"
"352","Pan, Guardian of the Forest","1","70850","33103","32294","0","0","5","0","4","100"
"353","Pan, Guardian of the Forest","1","70850","33155","32328","0","0","5","0","4","100"
"354","Herbert the Tailor","1","70641","33503","32777","0","0","4","0","4","100"
"355","Leatherworker Bamut","1","70690","33976","33166","0","0","4","0","4","100"
"356","Pet Item Crafter ^ Nose","1","70671","33918","33174","0","0","4","0","4","100"
"357","Forest Guardian ^Fairy","1","70851","33158","32276","0","0","5","0","4","100"
"358","Forest Guardian ^Fairy","1","70851","33155","32276","0","0","5","0","4","100"
"359","Forest Guardian ^Fairy","1","70851","33156","32277","0","0","5","0","4","100"
"360","Forest Guardian ^Fairy","1","70851","33156","32274","0","0","5","0","4","100"
"361","Forest Guardian ^Fairy","1","70851","33144","32343","0","0","5","0","4","100"
"362","Forest Guardian ^Fairy","1","70851","33121","32376","0","0","5","0","4","100"
"363","Forest Guardian ^Fairy","1","70851","33099","32369","0","0","5","0","4","100"
"364","Forest Guardian ^Fairy","1","70851","33073","32374","0","0","5","0","4","100"
"365","Forest Guardian ^Fairy","1","70851","33032","32422","0","0","5","0","4","100"
"366","Forest Guardian ^Fairy","1","70851","33003","32414","0","0","5","0","4","100"
"367","Forest Guardian ^Fairy","1","70851","32984","32386","0","0","5","0","4","100"
"368","Forest Guardian ^Fairy","1","70851","32964","32351","0","0","5","0","4","100"
"369","Forest Guardian ^Fairy","1","70851","33020","32299","0","0","5","0","4","100"
"370","Forest Guardian ^Fairy","1","70851","33072","32246","0","0","5","0","4","100"
"371","Blacksmith Kup","1","70904","32830","32971","0","0","5","0","304","0"
"372","Item Crafter Caliph","1","70762","33701","32512","0","0","6","0","4","0"
"373","Blacksmith Ibelvin","1","70662","32814","32854","0","0","5","0","66","0"
"374","Blacksmith Landis","1","70771","32644","33369","0","0","5","0","4","100"
"375","Item Crafter Robin Hood","1","70840","33069","32320","0","0","6","0","4","0"
"376","Seal Exchanger Yuno","1","70568","32617","32722","0","0","5","0","4","100"
"377","Eno","1","70707","32821","32911","0","0","6","0","320","100"
"378","Leona the Adventurer","1","70674","34073","33147","0","0","4","0","4","100"
"379","Item Crafter Sarrshahr","1","70607","33403","32833","0","0","5","0","4","100"
"380","Item Crafter^Piercing","1","70908","32859","32879","0","0","5","0","304","0"
"381","Item Crafter Blaise","1","70605","33538","32847","0","0","4","0","4","100"
"382","Magical Catalyst^Alchemist","0","70520","33072","33395","0","0","4","0","4","100"
"384","Brave Recruitment Group Lyra","1","70811","32746","32427","0","0","4","0","4","100"
"385","Magical Catalyst^Alchemist","1","70520","32429","33037","0","0","4","0","440","0"
"386","Magical Catalyst^Alchemist","1","71113","32988","32982","0","0","6","0","400","0"
"387","Magical Catalyst^Alchemist","1","71114","32574","32686","0","0","6","0","400","0"
"388","Guardian of the Forest, Ent","1","70848","33121","32236","0","0","5","0","4","100"
"389","Guardian of the Forest, Ent","1","70848","33140","32253","0","0","5","0","4","100"
"390","Guardian of the Forest, Ent","1","70848","33168","32286","0","0","5","0","4","100"
"391","Guardian of the Forest, Ent","1","70848","33152","32312","0","0","5","0","4","100"
"392","Guardian of the Forest, Ent","1","70848","33128","32336","0","0","5","0","4","100"
"393","Guardian of the Forest, Ent","1","70848","33103","32349","0","0","5","0","4","100"
